,brain,muscle,lung,liver,heart
NM_001006665,1.39368,0.122813,6.47436,0.451739,0.361807
NM_006015,4.53071,4.81889,4.41446,1.89139,3.21286
NM_139135,3.5738,3.11858,4.60603,2.65288,2.52096
NM_017837,2.64636,2.38176,2.87066,6.42829,1.39292
NM_032283,2.15673,3.42989,9.93484,2.6686,2.67665
NM_006142,1.0732,0.0593289,41.978,0.0135535,0.0126522
NM_022078,2.86286,3.64985,1.19955,1.77475,1.73488
NM_021969,0,0.515615,0.51169,17.3882,0.785412
NM_006600,48.7206,37.4155,32.705,30.0181,15.9355
NM_152365,0.226879,0,1.45163,0.85012,0.0461388
NM_001013642,11.4281,1.11282,6.95862,2.39589,8.53651
NM_052943,0.267079,0.749283,3.56135,0.127628,6.36352
NM_003047,4.5675,1.50165,7.25812,0.440504,2.22709
NM_015023,5.95449,21.8163,11.6309,4.52438,8.08669
NM_032125,4.52487,3.79906,2.24177,4.34843,2.39406
NR_033926,1.91266,2.16519,18.219,2.26482,0.621089
NM_001193308,0.0343817,0,1.69991,0.0524304,0.010488
NM_032872,0.0497567,0,2.45999,0.0758766,0.015178
NM_004672,0.43477,1.33034,6.86833,0.770073,3.85957
NM_003665,0.0972108,0.656858,166.323,37.4247,0.864185
NM_207397,0.0265797,0,2.2263,0,0
NM_005281,1.41524,0.0739502,1.5261,0.0675748,0.0946217
NM_006990,13.0191,6.3291,24.0759,4.67485,9.98649
NM_001029882,2.74555,4.33324,5.20363,0.856024,2.22826
NM_001042729,0.308273,0.240291,10.758,0.946054,0.461552
NM_001042747,0.190644,0.148603,7.08771,0.585047,0.389179
NM_005248,0.270297,0.21069,10.4726,0.8295,0.651144
NM_002038,6.53638,2.07576,38.7792,7.25813,7.30159
NM_022872,4.9153,1.56092,29.1691,5.45825,5.4904
NM_022873,3.71108,1.17851,22.0181,4.12096,4.14538
NM_001143912,0.574089,0.4252,0.300388,0.0800122,0.272711
NM_001143914,0.880035,1.07292,0.844519,0.246158,0.752167
NM_001143915,1.36638,1.3716,1.37104,0.335581,0.794622
NM_152660,0.95685,0.77369,0.499482,0.145594,0.496241
NM_177424,39.385,7.58637,59.596,8.45124,9.4833
NM_014110,11.9694,5.96332,4.72543,5.82254,6.50359
NM_001039477,4.68334,1.18441,8.72143,2.97274,2.32682
NM_001105556,0.963983,0.337185,8.95952,0.840161,0.948345
NM_004848,0.332613,0.00380185,1.70534,0.417964,0.203067
NM_002946,16.8619,13.3718,9.76644,5.03599,6.87754
NM_001009568,0.000836362,0,0.990881,9.02E-08,0
NM_014474,0.075728,0,1.12152,0.085641,0.00888289
NM_018053,0.966736,1.59795,1.66856,2.94019,1.21814
NM_001990,1.13017,1.67099,1.74525,0.583927,1.36681
NR_027268,34.7854,19.0624,33.7857,38.7845,17.1192
NM_000952,0.233517,0.0179636,0.442711,0.147983,0.0637652
NM_001164721,0.121805,0.0234254,0.577279,0.192975,0.0831519
NM_001164722,0.159944,0.0365159,0.89994,0.300814,0.12962
NM_001164723,0.245104,0.0471385,1.16173,0.388328,0.336465
NM_014280,28.6622,13.9317,28.4246,16.0143,13.9968
NM_016311,72.8471,53.8083,23.3795,23.1013,71.4017
NM_178190,14.6151,14.3245,9.12461,7.09196,8.96693
NM_178191,4.47586,3.04561,5.65587,4.47638,2.88488
NM_031459,2.6234,3.12965,4.13287,2.50594,0.87843
NM_001127350,0.961177,3.37415,1.08733,4.33267,2.00465
NM_017638,0.523086,1.83626,0.591747,2.35791,1.09097
NM_001048183,1.29178,2.44684,1.30539,2.13881,1.23192
NM_023923,1.67324,2.58219,2.15341,2.42757,1.75432
NM_001048199,0.120521,0.727519,0.649471,0.507326,0.177638
NR_030725,0.0431734,0.735736,0.843706,0.899271,0.231491
NR_030726,0.0443998,0.756636,0.745614,0.924766,0.191403
NR_002909,1.81047,0.789997,9.18246,1.81599,0.90188
NR_036473,0.705395,0.307802,4.96368,1.90635,0.455926
NM_001048194,0.0318058,0.541944,0.555384,0.76851,0.0521674
NM_001048195,0.0438709,0.747502,0.766084,1.06005,0.0719563
NM_001269,0.0652906,1.11248,0.95357,1.57761,0.107088
NM_017846,2.06943,0.947642,2.21991,1.41489,1.28216
NR_003109,0.813033,0.206076,1.70235,0.307684,0.570737
NR_024127,1.2197,1.94252,9.05607,1.41877,0.958441
NR_003077,1.02266,2.14548,12.4175,2.22786,0.712599
NR_002987,3.35663,0,13.0667,3.72533,1.92001
NR_002976,1.79672,2.00954,14.5222,0.405065,0.8823
NR_003035,0.457905,0,7.69444,0.399019,0.620808
NM_001135218,0.021721,0.676965,0.272606,0.0348863,0.331403
NM_005644,4.30856,12.6467,6.5143,6.92033,5.87653
NM_006582,0.859053,1.76892,0.880199,0.494496,0.661278
NM_024482,0.929644,2.43315,1.21077,0.680205,0.526973
NM_001173128,5.4106,5.50137,5.76723,5.11412,3.73997
NM_001172828,11.8519,12.2281,13.3658,11.0661,8.2397
NM_001166005,0.297587,1.32639,1.51811,1.26522,0.4236
NM_001166007,0.547854,2.44139,2.79499,1.43049,0.735827
NM_004437,0.399434,1.81766,1.95913,0.955144,0.492979
NM_203342,0.262045,1.16803,1.33655,0.684244,0.372997
NM_203343,0.523609,2.43925,3.49284,1.72585,0.726511
NM_001003682,0.262874,0.411531,3.18275,0.156254,0.199608
NM_001171868,0.252781,0.211276,2.68112,0.173926,0.278863
NM_005626,18.3512,45.2501,61.7379,13.6102,15.6973
NM_016011,2.25547,1.38162,0.28352,1.3733,1.44033
NM_001195001,0.551872,2.68676,0.835735,0.47414,0.407108
NM_005704,0.480146,2.33718,0.727084,0.412517,0.354198
NM_133177,0.511953,2.49249,0.775245,0.439844,0.377659
NM_133178,0.534392,2.60169,0.80919,0.459122,0.39421
NM_002379,0.131231,0,0.45863,0.00696033,8.36E-22
NR_034182,1.01194,0.251178,0.520465,0.091325,0.0405796
NM_006762,27.2556,2.31266,132.401,26.1296,14.907
NM_014654,27.2948,0.685567,14.2672,4.78548,4.37953
NM_001020658,6.61823,14.4429,7.94771,2.84714,5.53389
NM_014676,6.77024,14.7349,8.10633,2.91171,5.65688
NM_024522,1.51193,1.71414,0,0,0.00569393
NM_004814,6.18379,4.1699,7.30608,4.35694,3.54472
NM_016505,24.6918,3.24342,10.0997,4.11639,12.0784
NM_001199038,0.00415914,4.4224,0.499136,2.19281,0.0177621
NM_001199037,0.00862852,9.17514,1.03552,4.54977,0.0368492
NM_178865,0.0176797,23.2788,3.60944,10.7464,0.0755037
NM_018565,0.00950514,10.6049,1.37506,5.15757,0.040593
NM_022164,1.02403,7.80524,31.4766,4.79632,18.8391
NM_012392,1.57633,1.81207,3.74076,1.41946,0.871005
NR_033686,7.88614,6.86751,14.1602,8.35389,3.91755
NR_033688,8.50153,10.6965,21.2173,7.5784,5.07619
NM_001856,1.08785,0.312964,1.49704,0.0510684,0.348604
NM_001703,5.85076,0.1873,0.278288,0.00987416,0.546907
NM_144569,0.0631269,0.00802649,0.938362,0,0.0213962
NM_001195100,41.1883,67.5303,35.545,15.1306,24.7133
NM_001195101,40.7781,54.4725,28.9657,11.6012,18.2503
NM_080391,3.45092,9.0557,5.73004,1.48236,3.00061
NM_006559,46.208,32.0322,37.8334,17.4379,20.2626
NM_018056,1.37254,2.88381,3.59478,2.196,0.658917
NM_012316,12.8817,21.7141,10.7628,7.28436,13.7285
NM_175852,5.01093,5.16971,10.2629,13.6756,4.30165
NM_024296,2.14559,7.36585,1.42888,0.24387,2.12476
NM_018134,0.772233,0.216692,0.286552,0.0850826,0.0204084
NM_001099434,0.227425,0,3.59894,0.224602,0.197333
NM_019118,0.645629,0.44705,2.59387,1.18599,1.5223
NM_003757,16.0454,50.6953,53.9396,25.4996,13.59
NR_026850,0.255638,0.120853,2.08253,0.283755,0.537474
NM_032648,0.0855778,0.962977,7.78186,2.9829,1.5315
NM_005356,0.0178456,0.0204214,2.76497,0.112742,0.0399205
NM_001042771,0.0209683,0.0239947,2.45479,0.13247,0.0469059
NM_004964,4.56796,3.6341,18.8513,12.0098,6.7951
NM_023009,172.012,6.80256,75.3618,23.7945,5.59611
NM_001167676,0.263345,0.334839,1.33931,0.112329,0.190417
NM_052841,1.19763,0.177987,2.60531,0.44177,0.392218
NM_001143888,4.21732,2.64357,3.50474,2.30382,2.34936
NM_001143889,2.28827,1.54679,3.05851,2.6456,1.93451
NM_001143890,3.56066,2.12757,5.82058,4.76194,2.73273
NM_018045,6.00646,3.76521,4.99224,3.28147,3.34638
NM_001145720,0.473404,0,0.0315827,0.00887151,0.00828156
NM_001040441,2.07515,1.17457,1.19839,0.714567,1.46796
NM_001135255,4.85719,2.60091,3.75103,1.638,1.98173
NM_005610,4.82055,2.58061,3.72171,1.62574,1.96692
NM_001135256,5.51943,2.53373,4.33878,1.84948,2.37627
NM_001161708,0.892713,31.9673,2.53767,0.609547,4.74161
NM_030786,1.09979,23.5001,3.3268,0.730324,3.71732
NM_020888,0.282939,0.208626,2.68694,0.356759,0.261002
NM_001198972,0.388319,0.286335,2.54676,0.35134,0.228285
NM_001198973,2.4997,0.923408,11.7871,2.81465,1.18621
NM_003680,20.8534,35.5818,27.9437,20.064,5.96756
NM_022753,5.28876,3.12966,4.3429,0.989983,1.73012
NM_001171940,2.49482,2.73848,0.299517,0.333065,4.63134
NM_001171941,1.86348,2.62719,0.0168939,0.271237,8.27808
NM_153756,2.0203,4.67839,0.12456,0.666264,9.89034
NM_002143,58.587,0.0393816,0.0120538,5.05E-36,4.33E-28
NM_033504,3.80163,0.965616,10.3821,0.699991,1.64198
NM_001127361,1.78397,2.12592,4.68826,0.652455,1.08308
NM_153341,2.56832,3.06058,6.74992,0.939325,1.55929
NM_001199199,2.56326,2.65609,4.62363,10.3235,1.60909
NM_013411,2.24812,2.32936,4.05541,9.05502,1.41124
NR_037591,2.21264,1.89008,3.38627,4.80924,1.05419
NM_001625,1.43039,3.35163,5.11613,5.42205,3.45823
NR_037592,1.42605,2.51958,4.00631,2.34617,2.30939
NM_052998,2.05281,0.221681,0.821471,0.0326725,0.175374
NM_018207,2.50272,4.09485,0.892027,0.27841,0.541449
NM_152493,4.91902,5.7119,3.06421,1.66982,5.40483
NM_004427,17.6023,73.006,66.1081,28.5743,21.9881
NM_198040,1.36806,1.15769,0.671001,0.0882163,0.953165
NM_145238,0.256997,0.410618,0.105298,0.185919,0.457555
NM_052896,0.351079,0.00119038,0.0205722,0,0.0101542
NM_032884,0.440821,0,0,0,0
NM_005268,0.383196,0,0.631524,0.0139132,0.0649401
NM_153212,0.036009,0,0.424487,0,0
NM_001005752,0.0687724,0.0349772,1.04883,0.199761,0
NM_002060,1.19793,6.27218,22.6885,7.96644,8.41114
NM_001164824,1.70359,0.521999,1.06429,1.46842,0.995815
NM_001164825,1.5892,0.790693,1.6684,2.20672,1.17457
NM_138428,2.20325,1.29122,2.55982,3.23837,1.75131
NM_001080418,3.94009,0,0.0574885,0.0198749,0.0278299
NM_001195156,1.85736,2.49656,34.5371,8.13108,6.45721
NM_007167,3.36379,1.29827,1.75461,1.42403,1.93739
NM_024772,1.35373,0.834432,1.61287,1.05997,1.1012
NM_005066,27.4949,32.4561,16.4715,12.5276,18.8087
NM_005095,5.34576,4.23441,4.98733,2.37757,4.51267
NM_024874,8.98542,7.63637,6.62252,9.9448,12.129
NM_001014839,23.3627,0.969865,1.05418,0.43079,0.873788
NM_001014841,27.961,0.910864,1.28387,0.563098,0.58865
NM_014284,7.72862,0.809365,0.644313,0.296845,1.40397
NM_178548,2.48767,0.114155,0.304628,0.0488967,0.0912903
NM_001199779,10.3054,13.2593,9.68166,11.5001,4.83762
NM_001199780,0.75388,1.46169,0.563224,2.65292,0.450186
NM_002794,2.10506,2.85158,2.27042,2.48006,1.32149
NM_152374,38.4175,3.14304,5.75782,1.68266,3.07349
NM_022111,0.182799,0.00289081,0.0183673,0,0.0771682
NM_017629,3.13374,3.47619,4.6607,1.592,5.03885
NM_012199,4.74814,2.88575,3.99636,2.20462,3.33065
NM_024852,1.26559,0.940532,1.45343,0.493214,0.825378
NM_014466,0.338852,0,4.91955,0.011811,0.0220512
NM_017825,5.06792,9.38424,6.41625,3.6257,3.70928
NM_005202,0.60278,0.537083,2.06978,0.144347,0.396758
NM_014408,15.591,12.7845,24.3718,23.1754,18.0483
NM_018067,28.3107,64.916,29.3531,1.69435,29.8567
NM_005119,22.5718,51.4799,21.1642,12.6823,22.0897
NM_024676,0.195176,0.0330567,0.487274,0.0629308,0.0837655
NM_018166,0.620967,1.40639,10.8207,0.997674,1.35753
NM_032017,3.0685,58.7464,20.9766,6.1912,10.7414
NM_032881,10.9484,36.0716,17.3367,21.5552,16.9117
NM_145047,4.35955,1.92755,6.58345,0.430904,0.731447
NM_031280,7.01552,25.7579,11.3585,27.3715,16.5859
NM_000760,0.271706,0.087173,6.92366,0.47459,0.234089
NM_156039,0.169877,0.0545021,9.05147,0.296722,0.146357
NM_000831,2.17643,0,0.0240887,0.00386655,0.203933
NM_025079,0.135551,0.798559,18.7534,1.57492,0.735095
NM_022756,29.4174,15.5672,21.9355,5.67808,9.23711
NM_024700,4.20485,3.31519,2.65122,2.37301,2.77406
NM_003462,3.36319,0.486273,8.27163,3.80829,0.494627
NM_013285,5.98959,16.0936,10.1742,4.9638,5.14816
NM_001038633,5.46787,0.19341,1.03092,2.91972,3.32196
NM_017850,5.25441,3.53149,2.93,3.36023,2.20422
NM_018101,0.177621,0.0609776,0.468364,0.00773897,0.0650191
NM_001099439,0.866079,0,0.0230265,0,0.00603798
NM_173641,0.273357,0,0,0,0
NM_001031740,0.659516,0.225449,0.0223252,0.269158,0.130373
NM_001113482,0.249545,0.51786,0.219381,0.224545,0.0169708
NM_152496,3.17926,1.08525,0.422119,0.891626,0.0961229
NM_024640,5.2056,1.99467,6.80154,6.85813,1.84278
NM_001142726,8.98614,2.52244,9.58891,6.33158,7.4346
NM_198446,1.9876,0.647939,2.20749,1.15683,1.13769
NM_005955,2.40398,2.19999,2.76378,1.09996,1.68004
NM_005540,3.25119,1.43283,8.03804,1.53659,1.412
NM_006802,10.0679,6.40976,7.86967,6.26565,4.01862
NM_016037,5.9763,33.871,6.45329,6.10324,7.94549
NM_002699,1.907,0.127898,0.0650098,0,0.022729
NM_022157,9.66952,6.27627,8.3632,1.68023,7.47068
NR_037633,0.140866,0.00132862,1.27E-06,0.00101327,0.0774963
NR_037635,0.53722,0.212707,1.00947,0.464786,0.337925
NR_037636,0.934881,0.370154,1.72255,0.774649,0.554634
NR_037637,0.771009,0.585904,2.1879,1.22618,0.721474
NM_012333,0.0104412,0.48168,2.28628,1.05248,0.765257
NR_037632,0.00724766,0.767168,2.92235,1.67624,1.00218
NM_017821,3.27339,0,0.198604,0.0291065,0.344165
NM_001136275,21.2838,2.17876,10.1204,10.0262,8.51243
NM_024595,19.5734,5.30725,11.1077,12.0853,12.2396
NM_001184979,60.0326,79.7824,53.5692,36.918,115.322
NM_004552,52.1811,69.3508,46.5637,32.0721,100.521
NM_012090,8.58062,1.18423,17.218,2.55682,3.35828
NM_033044,5.06644,1.88127,16.6585,0.893806,10.0285
NM_015038,1.21036,0.58801,1.07507,0.286024,2.23615
NM_181809,1.83314,0.0951819,0.452895,0.0632817,0.15553
NR_003929,0.804806,0.323556,0.477431,0.196169,0.204471
NM_001135653,2.23235,50.6794,5.67218,4.01504,5.66616
NM_001135654,3.12018,71.7924,7.38542,4.16092,8.17141
NM_003819,3.01866,68.3997,7.3882,5.43002,7.54841
NM_014571,1.60582,1.18335,6.41205,0.944429,6.21182
NM_032526,0.387999,3.52382,0,0,1.98389
NM_016257,36.5361,1.28228,0.495351,0.0083695,0.328143
NM_001195007,1.33894,1.45395,0.239883,1.09742,0.162536
NM_001720,0.901877,0.0546274,0.544604,0.104555,0.0310994
NM_022120,0.616733,0.0256636,0.121751,0.127027,0.492562
NM_017646,3.41205,1.04121,2.81021,2.40374,4.25323
NM_001033082,0.464807,0,1.16297,0.843288,0.103527
NM_001136493,1.21735,0.01769,2.31082,14.3825,0.0440124
NM_032793,1.74067,0.0252938,3.30427,20.5673,0.0629306
NM_001105530,19.5741,5.23822,47.318,17.5721,10.4811
NM_006367,17.1816,4.59792,41.5441,15.4242,9.20044
NM_000310,20.3582,3.4239,22.868,4.87885,6.27845
NM_001142604,37.3639,2.44923,30.5403,7.96176,7.80779
NM_012421,8.7212,4.87828,4.77648,1.79084,5.03389
NM_005857,14.8891,13.1348,13.5187,23.7111,19.4651
NM_001852,4.63103,0,1.27751,0.0944341,0.0587695
NM_022733,6.91176,4.05344,4.41328,3.44928,0.671404
NM_001198978,11.9026,5.01865,6.97369,8.64968,2.38332
NM_001198979,5.12465,2.58325,3.58859,4.45255,1.44539
NM_001198980,9.4907,4.44968,7.36444,7.66842,2.11322
NM_023070,1.35951,0.169019,0.335836,0.342241,0.180221
NM_198494,1.65785,0.108408,0.631851,1.08142,0.685851
NM_022774,1.16053,0.616207,0.331217,1.30253,1.07997
NM_152373,1.58007,0.17114,0.960669,5.75397,1.24564
NM_014747,26.8672,0.289233,1.68081,0.241616,0.216342
NR_024567,0.663138,0.16475,0.00505779,0.187415,0.32296
NM_001142587,2.05738,5.95141,1.72181,2.03024,2.36969
NM_001142588,1.33012,3.37561,1.80616,1.15148,1.88089
NM_001142589,1.91369,6.28042,2.08722,2.41104,1.55474
NM_014223,1.9991,5.78308,1.67303,1.97273,2.30247
NM_004700,0.150415,0.370825,0.111743,0.0124173,0.0309109
NM_172163,0.33693,0.83065,0.250304,0.0278149,0.0692405
NM_133467,2.62991,5.64433,12.3606,8.20045,2.12642
NM_001905,2.93466,4.76055,2.91563,9.29864,1.22741
NM_001031694,0.469036,0.414055,0.948199,0.267528,1.11866
NM_001172218,0.144622,0.837027,0.448692,0.101225,0.930494
NM_001172219,0.378079,1.45335,0.612498,0.199186,0.582841
NM_001172220,0.597011,2.29462,0.967033,0.314534,0.920242
NM_001172222,0.747446,4.4722,6.57211,1.24393,3.64554
NM_012236,0.221887,1.28432,0.688492,0.155307,1.42758
NM_001956,0,0,2.246,0,0.214161
NM_001127714,0.401696,0.0918391,0.816709,0.0452733,0.137096
NM_024503,0.332859,0.0760998,0.676692,0.0375147,0.113601
NM_001198850,3.61432,3.31602,1.7602,0.763906,1.85467
NM_001198851,3.0278,3.13667,1.4983,0.457785,1.30807
NM_001198852,5.95258,7.99189,3.79239,1.14597,3.30033
NM_014947,4.73406,5.32389,2.39315,0.723308,2.29106
NM_173642,4.1123,0.0871044,0.366205,0.010118,2.64465
NM_001146192,1.4064,0.221357,1.32542,0.748024,0.0890763
NM_032257,0.632301,0.0287919,0.439405,0.198565,0.229054
NM_001077447,22.1261,6.95488,12.9792,22.3776,9.83986
NM_024664,0.942354,1.55784,3.02299,3.72484,1.73814
NM_001080850,0.957295,0.105769,0.476179,0.11506,0.102039
NM_006347,2.889,1.15076,2.9742,1.09165,1.47659
NM_001146289,0.638536,0.392936,1.81676,1.98289,0.456286
NM_022356,0.735209,0.452426,2.0917,2.28296,0.525367
NM_001017922,0.770319,0.402462,1.22903,1.28503,0.587821
NM_018538,0.910873,0.521985,1.19757,1.89168,0.830924
NM_015911,1.24667,3.87363,1.35963,2.70455,1.34158
NM_006516,18.9203,0.994882,7.90094,0.330233,4.24782
NM_001101376,0.870345,0,19.5749,0,0
NM_001159936,1.03884,0.708898,1.9399,2.71849,0.57835
NM_006824,14.4605,5.64372,4.56362,6.87069,4.19502
NM_001195831,0.231563,0.0192019,1.74916,0.538363,0.0647969
NR_030778,5.12E-08,0,1.17E-07,0.148578,0.00626247
NM_144626,3.96236,0,10.8443,0.24948,0.0372624
NM_001164829,0.0314033,0.0239573,2.68915,0.209797,0
NM_182517,0.0117078,0.00893181,1.16122,0.0782172,0
NM_005424,0.706006,2.99851,14.3832,0.936595,2.96152
NM_005373,1.03809,0.0770543,0.182777,0.15158,0.351468
NM_001255,0.390979,0.0186422,0.672778,0,0.1789
NM_022821,41.6648,6.36555,21.05,10.9004,7.8869
NM_052877,3.98496,1.71971,8.003,7.50001,1.68614
NM_201542,6.60721,5.02501,9.93965,8.42062,3.08741
NM_015284,1.11188,1.80816,1.23239,0.902179,0.926695
NM_001190880,1.14245,0.610417,2.28372,1.51447,0.378515
NM_031207,1.34796,0.845267,3.16233,2.09713,0.524142
NM_002840,3.82311,0.217508,6.7484,11.012,0.154964
NM_130440,4.09418,0.233271,7.15541,11.8119,0.166192
NM_006279,0.944324,2.85706,0.415038,0.37976,0.617108
NM_174963,0.186689,0.879918,0.184699,0.146283,0.201468
NM_174964,0.634725,1.9203,0.278967,0.255258,0.414792
NM_174965,0.167404,1.13961,0.113778,0.104952,0.188971
NM_174966,0.120071,0.99765,0.389759,0.0760634,0.159733
NM_174967,0.291331,1.9834,0.198007,0.182646,0.328867
NM_174968,0.270487,1.27483,0.267598,0.211939,0.291896
NM_174969,1.4555,4.40301,0.517049,0.585334,0.95115
NM_174970,0.535325,3.64416,0.266874,0.335612,0.604295
NM_174971,0.404824,1.9081,0.326944,0.317194,0.436859
NM_014652,10.3611,23.7637,1.66226,2.47404,6.7881
NM_001039589,1.92512,1.35171,0.658844,3.42501,0.817167
NM_001384,1.02678,4.23013,2.82498,2.64521,1.59217
NM_001039457,10.9314,12.8343,25.5003,25.3095,5.5405
NM_004047,9.20526,4.8044,11.3739,9.47428,3.45097
NM_003780,0.679071,2.17051,1.59191,0.680216,0.719496
NM_001005417,4.99955,10.572,9.00302,5.24137,4.33219
NM_152499,0.975919,0.1602,1.90995,0.305545,0.135727
NM_001024845,1.40679,0.074998,4.54182,0.126008,0.0690428
NM_006934,1.76395,0.0717971,1.99973,0.120629,0.0660961
NM_201649,1.08884,0.0268439,0.747583,0.0451017,0.0247123
NM_173484,0.0392323,0,0.390474,0,0.0106379
NM_001034023,2.16146,2.79353,1.58562,1.05601,0.942513
NM_001034024,3.13385,3.99059,1.81878,1.51535,0.997244
NM_019100,1.13237,0.398502,0.345026,0.209187,0.363704
NM_024066,13.4829,14.8247,7.97215,7.04529,6.92997
NM_018150,17.803,7.54774,4.73764,4.06787,4.99682
NM_024587,2.04531,2.37953,1.72504,11.8299,1.68456
NM_001145636,0.303459,0.0463012,1.18615,0.40194,0.0296219
NR_001456,3.45686,0,9.62889,1.25513,0
NR_001457,2.6678,0,23.2189,2.32472,1.20563
NM_004073,1.34071,0.535998,5.58852,0.498859,0.456813
NM_001013632,0.104082,0,1.08236,0,0.0428764
NM_003738,0.395298,0.0457754,0.0185294,0.0236189,0.0203372
NM_020365,4.22738,9.80842,2.05732,4.28524,4.7917
NM_001166588,2.16635,4.54906,2.21204,1.75918,3.07805
NM_024602,2.92026,14.3046,3.45842,8.5086,2.62314
NM_000374,9.12475,4.6075,7.31582,13.4191,5.91886
NR_036510,5.4409,2.29276,3.64049,7.85884,2.94529
NM_020883,0.862143,0.262019,0.358779,0.10078,0.210964
NR_024270,0.562161,0.264621,0.00927625,0.166764,0.0194592
NM_032756,0.51076,0.225134,0.052816,0.0593436,0.00923288
NM_025077,1.36321,0.828446,1.32422,2.05728,0.668156
NM_007170,3.40822,2.00877,3.16377,0.881879,0.505433
NR_033296,0.734389,2.53E-17,0.192367,0.162545,0.0201601
NR_033297,1.59494,0.091814,0.955402,0.107122,0.117081
NR_033298,0.963759,0.0412736,0.429487,0.0481553,0.0526322
NM_015506,2.7651,1.28352,0.0978673,7.83254,2.61895
NM_002574,1.91026,2.81632,3.58282,3.51485,1.49699
NM_181696,2.9243,4.30987,5.48452,5.38153,2.29222
NM_181697,88.0822,139.512,145.585,176.538,72.3721
NM_006066,1.64877,5.40729,6.13907,11.7914,1.69322
NM_153326,6.82144,5.19069,7.47374,26.9238,2.56344
NM_001195193,4.11679,1.39821,4.43346,0.434969,1.68914
NM_002482,4.26455,1.89265,4.78997,0.730208,3.42044
NM_152298,0.117332,0.234099,0.732726,2.5044,0.174074
NM_001114938,0.0805226,0.0767874,3.4064,0.0596423,0.0655014
NM_001190182,0.102513,0.0977578,4.33716,0.0759304,0.0833895
NM_021639,10.3196,15.1026,25.0497,14.2898,16.8602
NR_026768,0.586954,0,0.927932,0.0786881,0.752918
NM_016486,5.77468,7.24413,5.07896,8.33375,10.5311
NM_005897,4.29862,4.78395,0.98482,1.43703,3.44289
NM_015112,3.00844,38.9951,3.32563,1.02502,8.02597
NM_001114172,6.99087,1.1069,3.9747,1.23865,3.52838
NM_003629,4.99467,3.4419,4.92511,0.619574,7.59156
NM_005727,0.502225,0.431036,55.4843,1.10504,0.142988
NM_017739,4.98014,11.9427,5.13695,7.17608,12.5782
NR_024332,1.15217,0.0791956,0.764081,0.189666,1.13878
NM_001013615,2.73691,0.059083,0.759436,0.0400792,1.24677
NM_001142548,0.583665,0.901498,0.201691,0.0753489,0.287831
NM_006369,6.72236,21.4524,16.8421,7.06157,7.24268
NM_199044,2.96469,3.09537,4.29457,2.92092,2.5204
NM_001441,7.62476,1.04272,1.52945,3.00309,0.158832
NM_198973,1.42684,1.09908,2.11134,0.800208,0.803978
NR_024176,0.927882,0.366863,1.06468,0.313953,2.24694
NM_145279,0.829368,1.41486,6.70907,0.74948,1.37208
NM_201403,1.11107,1.7403,4.70491,0.77738,1.2072
NM_001042546,14.5896,3.38027,2.02169,5.80194,13.3624
NM_022745,10.681,8.61127,2.06588,6.22567,23.2876
NM_014774,23.0669,23.6799,27.0489,12.0653,18.3917
NM_000779,0.0576985,2.02121,33.3577,0.0167595,4.96045
NM_001099772,0.0561153,1.96563,32.498,0.0162997,4.97662
NR_002788,0.0392122,0.0179488,0.10948,0,0.644326
NM_000778,0.0961745,0,0.0870194,49.7741,0.11735
NM_178033,2.86361,0.635526,6.4809,0.446139,0.952942
NM_001010969,0,0,0,5.69519,0.00997461
NM_005764,0.0915128,0.122175,9.72326,0.717699,0.0372207
NM_003189,0.539746,0.1123,4.99148,0.445393,1.26728
NM_001136140,21.5165,15.7907,37.1424,52.5395,18.9661
NM_016308,24.064,18.7913,37.1783,49.1079,19.8943
NR_026878,0.0163168,0.460574,1.44894,0.0284369,0.0730013
NM_004474,0.00874999,0.0600776,0.200188,0.0114371,0.00355886
NM_001194986,0.0494669,0.186469,0.291115,0.656725,0.302976
NM_001011547,0.0101715,0.0148361,0.966756,0.240637,0.0696052
NM_001135181,0.152487,0.0093332,1.33736,0.151382,0.0437878
NM_019073,2.17447,0.477085,3.24602,0.576999,1.22688
NM_032785,2.60113,0,0.265435,0.00596481,0.0334089
NM_024603,4.46642,0.787225,1.17057,0.0134208,0.626418
NM_001144777,1.83728,0,0,0,0
NM_001144776,3.76908,0,0,0,0
NM_001144775,3.84396,0,0,0,0
NM_001144774,1.6258,0,0,0,0
NM_021952,1.36129,0,0,0,0
NM_007051,7.26905,26.4831,4.75933,5.89955,8.11593
NM_001262,1.28477,0.276901,2.14111,0.383955,1.34133
NM_078626,5.6058,2.45101,8.65129,2.40867,4.97622
NM_014372,124.981,39.3031,85.0088,28.5548,46.6709
NM_001080494,0.319041,0.313307,1.04504,0.218791,1.25625
NM_001144832,0.386041,0.379097,1.26443,0.0613905,1.51998
NM_001159969,43.9962,21.126,14.9757,7.33172,9.08328
NM_001981,10.8478,8.94982,5.29725,2.4586,6.57722
NM_024586,0.484759,1.23616,0.711224,0.884367,0.645896
NM_148906,0.631728,1.61045,0.926965,1.15221,0.841594
NM_148908,0.436639,1.40594,0.870559,0.918826,0.700112
NR_036662,0.623195,1.65703,1.07357,1.33486,0.820769
NM_148904,0.965773,2.66916,2.05389,3.98929,1.60903
NM_148905,1.36464,4.22104,3.10177,5.88074,1.91071
NM_148907,1.93756,5.35506,4.11963,7.12502,2.9489
NM_001101662,10.9097,58.2829,5.61844,9.74051,11.3052
NM_002525,7.11917,26.0008,3.44128,4.14441,6.24851
