,reads.1.RPKM,reads.2.RPKM,reads.3.RPKM,reads.4.RPKM,reads.5.RPKM,reads.6.RPKM,reads.7.RPKM,reads.8.RPKM,reads.9.RPKM,reads.10.RPKM
NM_001193511,0.732489,0.344287,0.583472,1.56693,1.89068,0.710012,0.698555,0.648608,1.67056,1.34274
NM_006301,0.5819,0.597628,0.645367,1.60506,3.28198,1.23247,1.21256,1.12588,2.12836,2.33072
NM_004178,0.442966,2.28675,1.04854,0.294504,0.654069,1.1522,0.402762,0.407291,0.406351,0.315283
NM_134323,1.54619,1.63744,1.41156,3.31027,1.86799,1.99389,2.38423,2.37517,2.58477,1.68446
NM_134324,0.252861,1.30539,0.43926,0.133827,0.275543,0.984545,0.17294,0.232496,0.177465,0.179976
NM_003717,0.581279,0.661243,0.496657,2.11299,0.986048,0.663763,1.08365,0.746996,1.34358,0.742303
NM_001130059,0.532083,0.803561,1.70278,1.30478,1.69977,1.13061,1.05982,1.61052,1.13855,1.72413
NM_001130060,1.26839,0.90832,1.82533,1.54404,1.83742,1.38491,1.49162,1.49802,1.8469,1.66037
NM_006856,1.04966,0.891855,1.99619,1.57013,1.79441,1.3635,1.46353,1.83831,1.76965,1.90715
NM_001002031,1.58251,0.626443,1.7517,1.21999,1.23216,0.998068,1.68273,1.41432,1.41765,1.94952
NM_005176,101.796,83.423,114.159,58.3918,74.2072,86.1446,90.2825,100.298,64.9418,89.6724
NM_020898,7.59357,3.47337,10.3754,5.90093,5.8484,5.89988,7.57913,8.49266,7.39347,8.63704
NR_026554,6.472,2.17665,7.11079,6.31552,3.8953,4.45052,6.39778,5.9526,6.00382,5.35527
NM_001143682,14.4138,7.83734,16.2644,12.7027,11.4923,11.346,13.7717,16.4485,13.249,13.7101
NM_014212,0.0241333,0.120108,0.553305,0.0736902,0.0716422,0.192905,0.242257,0.434189,0.146428,0.167791
NM_017409,1.78169,5.59508,31.3683,5.33816,7.02733,11.8095,10.0509,20.6927,6.42023,17.3973
NM_006897,0.28711,0.889095,5.91477,1.33125,1.35739,2.10371,1.98544,3.95382,0.838755,2.72494
NM_022658,0.150401,0.577432,3.7695,0.371768,0.807916,1.28807,1.40193,2.38377,0.84737,2.13405
NM_014620,0.000186204,0.0144809,0.0946039,0.0128827,0.0355634,0.212803,0.0354781,0.234356,0.0223794,0.084274
NR_003084,0,0.0398376,0.204283,8.09E-06,0.123572,0.132239,0.085522,0.203127,0.0396014,0.000303883
NM_153693,0.00306623,0.419987,1.1862,0.111645,0.371029,0.303672,0.380193,0.685112,0.184029,0.686623
NM_004503,0.20093,0.341913,2.29041,0.39477,0.135121,1.09607,0.963379,1.43926,0.40844,0.985902
NM_153633,0.117773,0.0720331,0.813297,0.436138,0.107333,0.0382022,0.228655,0.238982,0.48235,0.379446
NR_026656,0.458118,0.526151,1.05384,0.824961,0.592807,0.880259,0.530622,1.02146,0.997811,0.980041
NM_014311,2.56757,4.14519,3.68307,2.6452,3.96597,4.19227,3.14317,3.97468,3.03974,3.4832
NM_001127321,0.313948,0.510214,0.295178,0.382537,2.40101,0.663702,0.400414,0.511848,0.794286,1.58643
NM_001127322,0.223178,0.362677,0.209831,0.317412,1.70661,0.529254,0.284639,0.363867,0.564596,1.12778
NM_012117,2.25328,1.47565,1.95842,3.11829,3.93232,2.16234,2.38046,2.38876,3.80177,3.18722
NM_002136,0.65754,3.09206,0.643451,2.51947,9.50504,2.1626,1.0458,0.828625,3.2212,2.80853
NM_031157,20.4644,15.1112,34.7143,16.8228,18.6643,23.0525,24.1841,28.6693,19.7037,28.6075
NR_002944,2.90011,8.57878,1.23255,13.5682,7.30919,4.76932,5.93655,3.94924,12.6622,4.98346
NM_001136023,0.45836,0.327896,0.486987,1.07356,0.254346,0.658291,0.748503,0.563591,0.710228,0.406426
NM_016057,16.663,26.8778,18.9091,16.4587,20.7709,21.5945,18.0534,18.7529,17.3482,19.6904
NM_020370,0.390931,0.324268,0.552061,2.02265,1.9342,0.585906,0.686749,0.879169,2.10841,1.52079
NM_001130967,2.24035,1.39449,2.46588,7.64091,8.20562,3.5269,3.59101,3.14343,7.49319,5.40456
NM_001130968,2.30905,1.46942,3.99478,12.2181,7.13367,4.99764,6.63716,4.66169,11.5103,7.6761
NM_015481,2.49954,2.23033,2.82991,12.1799,5.62584,4.05186,5.06013,5.10947,11.5653,4.27324
NM_002205,9.35767,6.75837,7.21793,13.5744,3.94883,8.24034,10.0205,8.47447,10.9952,5.2963
NM_005337,1.76252,1.75802,1.3464,6.96216,0.889766,2.55927,3.24184,2.13547,5.67903,0.996549
NM_001184976,1.12875,0.49573,0.729553,4.9758,0.708134,0.954686,2.52055,1.73369,4.19035,1.2005
NM_000924,0.5648,0.736517,0.887493,1.70272,7.10982,1.3186,1.64911,1.61828,3.43051,4.86853
NM_001165975,0.991831,0.666143,1.30055,0.859268,4.61278,1.61397,1.03273,1.3435,1.64224,3.04955
NM_006741,36.7759,69.2092,122.642,24.0902,40.5493,69.6057,57.42,89.9393,28.651,73.1581
NM_001136030,1.02034,1.24353,1.61192,1.63752,11.7845,2.09186,1.4733,2.03256,4.76454,8.30473
NM_001098815,0.901931,0.812202,1.526,1.54084,12.4728,3.33071,1.23153,3.19022,4.35228,7.56982
NM_152637,8.83855,56.9911,11.5783,9.39267,6.48276,31.0609,14.2781,10.5123,2.71396,7.07854
NM_001144996,12.6571,6.19147,14.7343,3.75322,5.25768,7.51218,8.74045,11.7301,4.25705,9.09179
NM_001144997,2.43139,1.49734,2.42281,0.635418,1.09064,1.87769,1.80409,1.75188,1.02926,2.06617
NM_002206,25.4641,8.74975,32.3288,4.96377,10.2977,13.8959,18.5986,25.6011,8.29825,18.7538
NM_001487,18.2605,38.7168,38.1716,36.6559,22.4611,37.3755,28.8769,35.6266,30.2141,29.9498
NR_037655,34.5631,85.5049,82.3921,41.8745,47.3421,66.8844,54.2185,66.1101,42.0326,53.7592
NR_037658,0.833222,2.91296,1.34642,0.670254,1.74777,2.24952,1.50177,1.05768,1.2962,0.551703
NR_037656,0.233526,0.0674652,0.233421,0.365015,0.189319,0.202399,0.294874,0.305193,0.398108,0.137303
NR_037657,0.252053,0.0699387,0.265952,0.236694,0.216888,0.190141,0.308018,0.311011,0.322146,0.127739
NM_001199771,0.825934,1.59594,1.18326,0.62782,0.373469,1.06861,0.712704,1.11692,0.381978,0.866301
NM_002905,0.889956,1.71963,1.27498,0.676485,0.402417,1.15145,0.767947,1.2035,0.411584,0.93345
NM_001040034,82.619,92.1231,136.236,133.306,70.6557,108.066,113.028,120.211,121.882,99.981
NM_001780,73.4679,81.9196,121.149,118.544,62.8294,96.0969,100.509,106.899,108.384,88.9074
NM_005811,3.69775,1.29832,1.67957,1.70661,5.17062,2.07896,2.53742,2.29259,2.88616,3.75882
NR_026722,1.21367,0.364674,0.223279,0.508631,0.107162,0.337519,0.269003,0.305275,0.672922,0.418858
NR_026723,0.746418,0.332014,0.360189,0.624255,0.150259,0.359285,0.226026,0.472693,0.71776,0.716955
NM_033082,9.04323,8.64489,8.90367,8.66862,9.51836,9.56301,8.60791,8.06286,7.63771,8.59254
NM_014182,6.62235,14.4392,7.86427,10.5143,6.25433,11.1986,9.18956,7.54375,9.4612,6.60776
NM_032364,4.55125,5.39801,5.11984,6.12052,7.42803,5.36703,5.44727,5.41461,6.80916,6.57581
NR_036476,0.558082,0.273783,0.302419,0.889672,0.500972,0.444317,0.467785,0.503809,0.942643,0.371665
NR_036477,0.444346,0.366435,0.525412,1.05105,0.617642,0.60442,0.544857,0.678436,0.984457,0.527261
NR_036478,0.425072,0.494158,0.320291,1.00391,0.371993,0.490537,0.582143,0.262771,0.718328,0.715409
NR_036479,0.0976166,0.344765,0.0700842,0.25041,0.793554,0.145077,0.366128,0.235656,0.517369,0.305931
NM_002429,1.50877,1.32944,1.61246,8.83605,0.844118,2.70121,3.83749,2.33941,7.31303,1.48307
NM_001143853,4.19627,9.30771,4.05877,5.55249,6.77665,8.13541,6.10861,4.92424,4.15611,7.03674
NM_032345,2.41442,4.5194,1.99724,4.25976,1.53045,3.76449,2.43292,2.12671,4.26258,1.32806
NM_001345,0.154615,0.406036,0.377576,1.29339,0.274768,1.07782,1.41361,0.312305,0.986229,0.304722
NM_201444,0.111453,0.0901192,0.308773,1.01338,0.198064,0.193611,0.370925,0.491701,0.850006,0.219657
NM_201445,0.650517,0.113677,0.109444,0.62969,1.02599,0.244222,0.208544,0.283968,1.26136,0.570232
NM_201554,0.295717,0.239113,0.230211,1.32451,0.525519,0.51371,0.438668,0.597313,1.01647,0.582808
NM_006928,0.138738,0.529368,0.184397,0.329492,0.045762,0.277244,0.13927,0.0462237,0.116915,0.0918665
NM_001798,1.39046,1.67861,1.91945,1.99072,0.915687,1.63799,1.30782,0.995847,1.23007,1.42299
NM_052827,1.32701,1.41456,1.41316,1.502,1.50613,0.908689,1.73947,1.69379,1.54883,1.40785
NM_002868,27.9974,24.6145,35.4807,23.3621,64.8305,32.0746,29.2731,35.3676,36.2505,51.8658
NM_000456,0.868583,1.20377,0.699568,0.693239,0.684763,0.820974,1.14743,0.776335,0.627038,0.645082
NM_001032386,2.48377,3.44235,1.34873,1.98236,1.95817,2.34769,2.50672,2.21999,1.79307,1.84466
NM_001032387,2.1296,6.7256,2.98287,2.97339,3.45799,4.43758,2.70542,2.68202,3.00659,2.67969
NM_022465,1.15436,0.754043,1.86089,1.73486,1.90082,1.19845,1.35795,1.64958,1.77837,1.89898
NM_001029,6.05485,7.96401,4.95784,3.30147,4.85024,6.1218,5.64389,5.90782,3.28014,5.08317
NM_001005915,0.0823996,0.346601,0.142468,0.528664,0.178836,0.421334,0.378955,0.182613,0.0661393,0.236811
NM_001982,1.65239,5.34126,2.29365,5.92787,7.09806,4.48308,3.66179,3.46026,5.93195,5.18224
NM_006191,10.4834,13.9752,23.7927,11.4133,17.6352,15.45,14.3007,19.6094,13.687,21.0853
NM_001035267,34.1271,31.9215,63.6699,28.4535,48.5981,34.9346,41.0913,42.6911,34.4358,50.2726
NM_021104,167.66,310.608,332.708,269.375,180.634,297.396,252.711,286.811,229.737,255.25
NM_032786,1.87738,2.1686,4.99046,3.32627,2.11002,2.96424,3.14095,4.1931,3.04696,3.4301
NM_001184796,2.89625,6.04839,5.51726,5.76448,4.22974,5.65345,4.73231,5.4303,4.86489,4.55985
NM_015292,3.33386,6.96279,6.35138,6.63597,4.8692,6.50815,5.44776,6.25127,5.60039,5.24923
NM_001199629,2.80473,3.10555,7.48088,4.69053,7.16786,4.6489,4.95631,6.18284,5.25677,7.03264
NM_002475,9.69894,10.7392,23.6967,11.8712,22.6306,16.0763,14.9591,21.3797,15.9819,22.1551
NM_021019,57.875,68.6829,43.4232,115.995,42.6393,68.3542,83.1667,55.8026,96.8042,45.3192
NM_079423,63.0951,108.269,48.4985,121.85,58.4433,90.0174,73.0889,63.1069,101.419,53.8836
NM_001130420,2.33317,1.95337,5.62127,1.7591,6.31536,3.06826,3.00173,4.64464,3.1459,6.33433
NM_003075,4.66447,4.92234,9.84331,11.5547,11.1132,8.45711,8.3953,9.88958,12.0517,10.4219
NM_139067,2.74914,2.29459,6.05056,1.97531,7.41166,3.41913,3.4566,5.19956,3.60952,7.00438
NM_005785,3.2097,1.58323,2.1088,2.40205,5.12125,2.73463,2.44128,2.92705,2.57571,3.79956
NM_194358,1.98001,1.68006,2.27591,1.45141,2.17461,1.59818,1.84771,1.87077,1.87945,2.80966
NM_194359,3.49293,1.19611,1.94005,2.19052,6.63505,2.02437,2.63647,2.79394,3.53971,4.32291
NM_024068,5.93003,7.50919,9.75873,6.49999,12.7429,9.22066,6.93899,9.22392,7.87733,10.7343
NM_173596,0.261269,2.71511,0.464543,0.210168,0.209309,1.85933,0.56827,0.719018,0.145191,0.297206
NM_001135195,0.350219,3.49466,0.622697,0.688849,0.280569,1.41259,1.22424,0.450617,0.194622,0.398391
NM_173595,3.48935,3.26188,3.83337,4.7664,7.01963,4.3694,4.00375,4.14839,5.57933,5.84295
NM_144576,3.58563,0.814508,1.80632,0.577255,0.788997,1.38554,1.93661,1.66332,0.785643,1.5861
NM_001099337,23.5813,4.11125,4.83197,1.80689,4.21497,5.44634,9.97769,7.94569,2.70987,5.1345
NM_004077,40.5038,17.4781,36.5057,14.2911,27.1177,22.7767,28.4712,33.0874,19.6945,31.7967
NM_014255,10.9843,36.2038,11.3385,17.8318,17.5091,24.4645,15.6325,12.7738,14.0127,14.282
NM_001190991,1.78123,1.58197,1.84232,1.4499,1.87009,1.0768,1.92173,1.84673,1.5763,1.85175
NM_001127460,0.295993,0.563094,0.173507,0.550933,0.303778,0.403187,0.512532,0.221729,0.41984,0.236066
NM_001166279,0.684175,1.23638,0.56866,0.999307,0.639252,0.921195,0.730417,0.761298,0.806071,0.607636
NM_014871,0.707827,1.16004,0.588328,0.919091,0.661363,0.953064,0.755681,0.787628,0.83395,0.628649
NM_016584,0.0943562,0.140879,0.0940567,0.43217,0,0.282832,0.0947175,0.0943105,0.238543,0.046859
NM_005419,2.20677,3.75854,2.18401,5.92842,3.06958,3.5466,3.46801,3.0637,5.18182,2.85613
NM_198332,2.32637,3.96274,2.30238,6.25058,3.23608,3.73927,3.6564,3.22988,5.46339,3.01106
NM_001638,7.01448,70.1388,12.3307,10.4574,6.24984,37.515,15.5728,11.0257,2.7667,6.59122
NM_003920,0.813267,1.67614,1.64045,1.14913,0.956238,1.27146,1.16214,1.60662,1.103,1.01683
NM_207344,5.18361,17.1738,4.78716,4.00733,3.70289,10.4181,6.11412,5.03711,2.44859,4.011
NM_013267,1.51882,11.6258,2.00577,2.10618,3.46369,6.65762,2.93855,2.72013,1.54117,2.45867
NM_002898,2.1465,0.954976,1.55317,6.28601,1.46427,2.37322,3.38146,2.18257,5.23869,1.59452
NM_013449,4.64671,3.80318,6.89492,9.52043,5.62223,5.62431,6.58146,6.93564,8.82372,6.21885
NM_001686,337.022,147.991,163.629,79.5195,172.409,145.81,186.172,179.533,109.567,169.159
NM_006601,14.8556,26.7134,24.732,18.3847,30.9744,24.995,20.0637,22.8497,20.8605,28.2106
NM_001113201,6.42394,12.4277,2.97004,10.6455,12.1726,6.92776,5.50077,3.01953,10.4749,6.18559
NM_001113202,4.83751,20.0366,0.022716,11.8575,7.9628,6.37801,2.8858,0.170051,7.29807,0.882237
NM_001113203,32.673,34.0478,154.818,24.681,38.5986,60.7728,64.3192,106.871,33.9311,86.8042
NM_005594,10.3295,19.9814,4.77557,17.1166,19.5737,11.1396,8.84469,4.85372,16.8435,9.94566
NM_000946,0.437124,0.803261,0.670363,0.684482,0.89837,0.503951,0.573812,0.672172,1.02009,0.834936
NM_003725,18.6299,172.686,32.7987,30.2133,19.2392,92.6168,44.0606,33.5371,11.8034,17.8258
NM_003708,4.19412,44.0757,7.7359,5.89509,4.51724,23.6042,9.7951,6.84422,1.58687,3.93904
NM_007264,0.0939355,1.90118,0.374549,0.446178,0.185905,1.22014,0.408613,0.312967,0.15832,0.2488
NM_014830,0.575289,0.972678,0.612741,0.729921,0.873396,0.787407,0.75153,0.661655,0.796928,0.759254
NM_001178054,0.0960514,0.0478033,0.335113,0.195526,0.915137,0.239927,0.337467,0.336017,0.485657,0.313638
NM_013251,0.0253481,0.0126154,0.0884366,0.0515996,0.817094,0.0633171,0.0890579,0.0886752,0.128165,0.589612
NM_005379,0.0272126,0.0135433,0.0135631,0.249278,0.0538556,0.0951644,0.109267,0.095198,0.20639,0.0540571
NM_001130963,0.189816,0.0918772,0.260417,0.48731,0.12732,0.134149,0.160046,0.229478,0.341298,0.127797
NM_015257,0.157656,0.203535,0.119376,0.317887,0.282052,0.297179,0.354548,0.234547,0.464492,0.283107
NM_005967,3.73317,4.20339,5.25965,7.8631,6.84146,5.75995,5.88417,5.54086,8.42324,6.89709
NM_001178078,1.70622,2.04713,1.59353,4.16419,1.30536,1.98674,2.97467,1.83731,3.30913,1.36872
NM_001178079,0.451038,1.34055,0.496806,1.99438,0.573142,1.36512,0.917219,0.685422,1.48851,0.314345
NM_001178080,2.41702,2.85873,1.93178,5.72875,1.74544,3.30115,3.73749,2.53765,4.78864,2.07645
NM_001178081,2.12902,3.16386,1.84492,6.00905,1.56815,3.65506,2.84301,2.96989,4.86509,2.17691
NM_003153,1.87509,2.24972,1.75119,4.5768,1.43454,2.18319,3.26907,2.0191,3.63636,1.50417
NR_033659,1.64137,2.46275,1.66891,4.75624,1.28324,2.37784,2.49397,2.33493,3.65624,1.55732
NM_002332,20.0891,31.0722,18.7581,31.8201,20.32,26.476,24.7402,21.0893,27.631,19.1366
NM_007224,0.599507,0.216993,0.108655,0.332831,1.45612,0.32673,0.246192,0.38132,0.606248,0.757848
NM_001166356,2.14003,5.87868,4.00008,2.73133,1.92077,4.23273,3.23405,3.79033,2.4229,2.5357
NM_005412,1.64486,4.6486,3.1397,2.16861,1.47629,3.34922,2.54773,2.91325,1.86229,1.94897
NR_029417,2.21625,7.32909,5.11111,3.17274,2.65739,5.92379,4.13992,4.00375,2.26501,2.95071
NM_001166358,1.10143,4.52776,1.37343,1.01882,0.86806,2.74015,1.41643,1.52456,0.64371,1.17621
NR_029416,1.47928,7.19447,2.23339,1.4814,1.57363,4.8885,2.30611,2.07955,0.763361,1.7802
NM_001166359,1.81585,9.20469,3.29262,2.0021,1.66564,5.10198,2.74053,2.82816,1.34104,2.08412
NR_029415,1.91354,11.5529,4.2406,2.29568,2.38883,7.19813,3.52386,3.03567,1.25236,2.48508
NM_001166357,0.286173,2.10941,0.518925,0.925032,0.262494,1.01194,0.63474,0.445709,0.411155,0.328447
NM_020142,18.1659,6.11311,16.4919,12.1427,12.4063,10.1993,13.8075,15.1378,13.8841,12.9843
NM_145064,10.5021,36.5426,191.51,32.4638,41.3912,72.6164,66.2877,126.174,41.3312,102.231
NM_014925,9.78491,12.4608,20.9628,14.5549,25.2406,16.5129,14.9136,18.7443,19.1644,24.0204
NM_005538,2.2233,20.1138,3.20124,3.16809,1.93114,10.5642,4.31484,3.87654,0.574565,1.86475
NM_031479,1.85584,20.2796,3.51892,3.40826,2.2556,10.7831,5.30535,3.62923,0.754763,1.82325
NM_001160045,0.0367288,0.0511822,0.0659019,0.254206,0.0799576,0.139453,0.117982,0.139502,0.230279,0.0583685
NM_001167609,0.022929,0.031952,0.0411413,0.158696,0.0499159,0.0870574,0.0736539,0.0870881,0.143759,0.0364383
NM_005269,0.0114446,0.0159482,0.0205349,0.07921,0.0249145,0.043453,0.0367629,0.0434683,0.0717542,0.0181875
NM_001080156,0.86689,0.520109,0.519576,3.26883,0.506622,0.664979,2.34157,1.06402,2.69659,1.07444
NM_001080157,0.111436,0.295215,0.129098,2.11013,0.00584954,0.27157,0.14044,0.434651,1.26544,0.0144932
NM_032496,0.234127,0.286964,0.284507,0.726087,0.392875,0.44389,0.260396,0.415597,0.613494,0.213424
NM_004990,9.1002,13.6948,23.5564,12.6589,15.4892,14.8018,14.8075,19.7241,14.102,19.0441
NM_001195053,0.142861,0.521982,0.583735,0.106927,0.195864,0.469327,0.318709,0.149297,0.118947,0.323749
NM_001195054,0.395382,0.574305,0.473292,0.295934,0.542069,0.502335,0.421023,0.413201,0.329197,0.458594
NM_001195055,0.625321,0.908301,0.748546,0.468039,0.857331,0.794473,0.665882,0.6535,0.520649,0.725294
NM_001195056,0.265749,0.0734803,0.361447,0.410416,0.0275725,0.066069,0.563464,0.215183,0.409579,0.513581
NM_001195057,1.61261,3.60304,5.60535,3.50483,4.6078,4.31505,3.59159,4.89367,3.8988,5.43123
NM_004083,1.18307,2.6433,4.11225,2.57128,3.38046,3.16571,2.63492,3.59013,2.86027,3.98458
NM_052897,4.63166,6.34347,13.5084,9.79011,6.45866,8.45074,8.90639,10.7388,9.45134,9.45951
NM_006400,22.0459,20.2055,34.0199,22.1474,42.7521,26.1755,25.4355,31.622,27.6791,40.8646
NM_004984,3.60781,4.92208,5.94782,5.80347,53.5133,11.3185,6.05293,10.0869,18.9945,33.8043
NM_001146258,0.118468,0.146623,0.199508,0.776813,0.66149,0.620195,0.232455,0.205762,0.60899,0.469839
NM_001146259,1.23396,1.69392,2.06631,1.67254,4.88436,1.7458,1.8036,1.97103,2.77052,3.44534
NM_001146260,0.973404,1.37183,1.49551,1.51328,4.90315,1.75618,1.13369,1.99273,1.80765,4.34349
NM_024779,0.879746,1.20766,1.47315,1.19245,3.48211,1.24465,1.28587,1.40524,1.97527,2.45632
NM_178502,6.59015,3.88273,5.07183,7.37342,23.3755,6.87513,6.90724,7.11972,11.7359,15.9067
NM_001111270,1.36325,0.815732,1.56882,1.88159,6.72202,0.974371,1.51947,2.22292,2.98131,4.65852
NM_182947,2.84548,1.90891,2.32528,2.38295,9.8289,3.78101,2.9942,2.87633,4.97328,6.92062
NM_133489,0.524831,0.254269,0.521162,0.540906,1.58105,0.537714,0.425129,0.659253,0.642001,0.976793
NM_001478,0.886529,0.918197,1.66677,0.797207,5.61929,1.85423,1.11888,1.921,2.01309,3.77652
NM_001017956,15.0769,40.1446,18.5758,25.0842,17.4272,27.8041,20.9484,20.0324,21.4115,17.686
NM_001017957,18.7656,49.4016,20.3791,27.2287,19.1229,34.4282,25.1462,22.1563,21.8297,20.666
NM_001017958,10.128,28.454,13.0437,17.5542,10.8537,20.7816,15.4532,12.6578,13.4927,10.572
NM_006812,8.26806,23.4822,12.0169,16.3393,10.0161,17.0361,13.0542,11.5875,13.3481,9.18418
NM_001122772,3.92476,4.12955,5.44772,4.23005,38.1682,8.64858,5.46941,7.8873,13.8593,24.9476
NM_014770,2.16917,1.12527,1.92622,4.56218,9.59657,2.86576,2.95316,4.26126,5.8004,6.40397
NR_027032,0.688412,0.454507,0.455989,0.947762,0.476026,0.60827,0.581212,0.56885,0.905492,0.530098
NM_005981,3.99895,3.76243,3.58437,3.7383,4.9499,3.50763,3.93682,3.81226,4.15089,4.65699
NM_000075,10.7469,10.5192,9.56732,10.7145,9.13386,10.169,10.6078,10.4196,10.3253,9.94961
NM_138396,1.9568,1.25212,2.34867,3.23138,2.88472,2.09482,2.746,2.61445,2.90763,2.93518
NM_000785,0.533699,0.0983756,0.630524,4.14449,0.352075,0.928253,1.62707,1.36324,3.31815,0.490823
NM_005371,1.1946,2.16997,3.26261,2.71102,0.882921,2.48297,2.34032,2.50773,2.46118,2.45088
NM_023033,0.185744,1.13559,1.3531,0.810941,1.91968,0.828722,0.528469,0.888777,0.721876,1.45328
NM_015433,0.220036,0.183506,0.267737,0.774566,0.217733,0.455954,0.407229,0.293045,0.718744,0.208822
NM_206914,0.292715,0.273445,0.314775,1.13087,0.289651,0.396533,0.377246,0.326844,0.716782,0.454718
NM_001172695,4.44761,6.52139,4.20457,2.53575,4.28933,5.00697,4.2088,3.31566,2.56339,4.40567
NM_001172696,1.384,2.03705,1.45971,0.870388,1.58373,1.44873,1.46083,1.37163,0.879822,1.50632
NM_001172697,1.24926,0.370656,0.708611,0.59433,0.627024,0.702021,0.744554,1.23461,0.541824,0.724445
NM_005726,2.54363,3.74382,2.68276,1.59965,2.9107,2.66261,2.68481,2.52087,1.61698,2.76834
NM_006576,0.380501,0.333778,0.68598,0.974744,0.5612,0.480695,0.616643,0.536538,0.87566,0.598679
NM_005730,12.6326,12.0088,18.8107,18.0208,13.4598,15.0682,15.8758,17.2073,17.33,15.0469
NM_033276,0.8052,1.30767,0.929377,0.431342,0.670966,1.05859,0.935907,0.720093,0.685688,0.757661
NM_001136051,0.050265,0.515519,0.259139,0.395109,0.129768,0.056022,0.150612,0.124734,0.166634,0.11352
NM_153377,0.333067,0.078206,0.421945,1.05831,0.256753,0.718211,0.647992,0.54603,1.09642,0.467133
NM_004731,2.54058,0.773847,0.525878,0.339129,0.522031,0.624211,0.975529,0.666059,0.393094,0.59293
NM_178539,0.266711,0.434415,0.471304,0.407195,4.05475,0.726783,0.474615,0.86033,1.33629,2.57682
NM_006313,3.02783,2.45138,2.79504,3.07094,2.46865,2.80159,2.98591,2.89849,2.95406,2.75321
NM_015026,0.876243,1.05605,1.13786,1.18111,1.79976,1.06008,1.11257,1.05098,1.33633,1.46778
NM_175895,0.145961,0.203399,0.0290995,0.207987,0.0288866,0.204174,0.175824,0.175068,0.0295204,0.0869841
NM_020700,1.24485,1.52321,1.29622,1.73511,8.6698,2.24994,1.57595,2.12393,3.85672,5.938
NM_000706,0.402366,1.8376,0.342105,0.337265,0.28105,0.922301,0.439545,0.307542,0.0957388,0.211576
NM_173812,0.799737,0.120611,0.132866,0.073999,0.107914,0.181606,0.364909,0.205893,0.134788,0.180529
NM_014254,5.01421,4.35026,3.30968,2.5173,3.38604,3.68981,3.94511,3.38634,3.22051,3.60062
NM_020762,0.313229,0.288684,0.38162,1.02138,0.975771,0.579569,0.599743,0.533391,1.0793,0.702879
NM_152440,0.510504,1.01628,1.39472,0.654312,1.17871,1.11461,0.892057,1.02051,0.994247,1.18312
NM_007235,1.95542,3.31007,3.36457,2.39593,4.01781,3.12357,2.53803,3.18692,2.58197,3.57513
NM_013254,1.79949,2.58371,2.06364,2.33402,3.12009,2.06848,2.07814,2.02146,2.22232,2.54654
NM_178169,5.1476,1.57373,2.63893,6.32463,1.71004,3.12271,4.53985,2.68281,5.27985,2.33727
NM_002076,7.58293,7.53828,5.95343,12.0015,5.06561,7.84477,8.4588,7.00434,10.5571,5.66539
NM_015279,0.131947,0.187623,0.206687,0.377314,1.23105,0.401787,0.327976,0.345407,0.673506,0.748881
NR_033988,0.0155274,0.0309109,0.0464342,0.0474122,0.507039,0.0465431,0.0467604,0.0620793,0.204125,0.308446
NM_007191,0.855904,0.393204,1.05008,6.29913,2.77972,1.86387,2.44536,2.06195,6.0365,2.09259
NM_001167614,0.979751,0.749377,1.18225,1.23864,1.72978,0.973778,1.22161,1.11844,1.34014,1.57748
NM_014319,0.967574,0.74006,1.16756,1.22325,1.70829,0.961675,1.20643,1.10454,1.32349,1.55788
NM_001031679,2.47369,0.542107,1.26355,0.506343,0.65148,0.793174,1.40406,1.18331,0.737031,0.840124
NM_001193460,1.19321,0.261472,0.764668,0.384676,0.314237,0.382562,0.677201,0.721518,0.355487,0.405216
NM_198080,3.88885,0.834247,1.97688,0.907499,1.16765,1.07394,2.10871,1.86106,1.0794,1.50573
NM_001193461,2.47207,0.50825,0.865314,0.845129,0.810307,1.12719,1.37402,1.21572,1.02942,0.886485
NR_026825,0.258056,0.299671,0.300109,0.30643,0.127677,0.25784,0.259044,0.257931,0.217464,0.213592
NM_032338,7.35172,8.76514,6.362,4.68699,7.11489,8.6371,6.00121,6.54067,5.22858,6.41933
NM_016056,12.5877,23.0379,11.6842,15.5948,10.8487,17.3105,15.163,12.0945,13.3862,10.4053
NM_001142523,0.403636,0.24207,0.197314,0.353843,0.179069,0.213301,0.269032,0.247222,0.415587,0.273569
NM_007199,0.684426,0.250451,0.300815,1.39461,0.285869,0.645768,0.766926,0.618789,0.977087,0.271315
NM_033647,0.145961,0.130757,0.116398,0.772522,0.144433,0.364596,0.336995,0.29178,0.678969,0.202963
NM_001178074,0.0372134,0.0317495,0.0529933,0.0865751,0.274235,0.0743645,0.0693752,0.0690771,0.139775,0.22705
NM_021150,0.0311249,0.026555,0.044323,0.0724104,0.391545,0.0621976,0.0580247,0.0577754,0.116907,0.189902
NM_018448,2.17174,2.95679,2.24779,3.17593,7.31158,3.24242,2.79816,3.16871,4.28294,5.12403
NM_003583,1.24173,0.620777,0.980946,0.912088,0.779767,0.929802,1.01062,0.927524,0.953948,0.95676
NM_006482,1.60587,0.633629,1.9071,0.945999,0.960907,0.950883,1.23325,1.67975,1.08701,1.19103
NM_018402,0,0,0.0468038,0.477895,0,0.093827,0.0942652,0.18772,0.332365,0.0466352
