gene_name	p_value	avg_logFC	pct.1	pct.2	p value adjusted	cluster	gene
TAP1	4.93E-07	-0.297307793	0.167	0.244	0.006766283	1	TAP1
CLTB	5.17E-07	0.298346953	0.28	0.17	0.007096953	1	CLTB
SCAND1	5.35E-07	0.286653411	0.369	0.286	0.007337947	1	SCAND1
CCT4	5.36E-07	-0.348414041	0.13	0.224	0.007351946	1	CCT4
XRCC6	5.37E-07	-0.258853287	0.229	0.342	0.007362819	1	XRCC6
TESC.1	5.45E-07	0.30520647	0.14	0.066	0.007471302	1	TESC
CNN2	5.68E-07	-0.321508475	0.264	0.362	0.007795162	1	CNN2
SRSF9.1	5.74E-07	0.322084908	0.388	0.287	0.0078751	1	SRSF9
HNRNPR	5.77E-07	-0.315573099	0.122	0.224	0.007911117	1	HNRNPR
CCDC69	5.97E-07	0.30001081	0.161	0.114	0.008182707	1	CCDC69
MRPL9	6.00E-07	-0.331069255	0.072	0.153	0.00822427	1	MRPL9
CDV3	6.02E-07	0.37329633	0.142	0.091	0.00825414	1	CDV3
FLNA.1	6.11E-07	0.266591101	0.307	0.189	0.00837599	1	FLNA
ZNF32	6.15E-07	-0.292437063	0.043	0.102	0.008431914	1	ZNF32
PSTPIP1	6.29E-07	0.305519456	0.171	0.101	0.008630822	1	PSTPIP1
LINC-PINT	6.61E-07	-0.295997072	0.039	0.104	0.009070517	1	LINC-PINT
STK4	6.80E-07	-0.35023058	0.12	0.225	0.009328448	1	STK4
EHD1	7.10E-07	-0.28524958	0.047	0.126	0.009734205	1	EHD1
IK	8.12E-07	-0.295267302	0.159	0.246	0.011137799	1	IK
EIF1AY	8.86E-07	-0.337462645	0.07	0.157	0.012152787	1	EIF1AY
ATP5EP2	8.88E-07	0.286808686	0.365	0.261	0.012174809	1	ATP5EP2
NOP58	9.10E-07	-0.355266838	0.054	0.109	0.012474051	1	NOP58
GLO1	9.11E-07	-0.314630984	0.066	0.148	0.012491623	1	GLO1
TBCA	9.71E-07	-0.327086713	0.2	0.306	0.013309642	1	TBCA
G3BP1	9.81E-07	-0.252865264	0.041	0.108	0.013458441	1	G3BP1
Mar-07	1.00E-06	-0.25382631	0.049	0.113	0.013760868	1	Mar-07
RNF126	1.01E-06	-0.330338272	0.087	0.176	0.013793232	1	RNF126
ODC1	1.01E-06	-0.388907211	0.049	0.111	0.013852536	1	ODC1
CGGBP1	1.02E-06	-0.278088197	0.066	0.146	0.013947926	1	CGGBP1
COX17	1.05E-06	0.299653925	0.278	0.172	0.014448488	1	COX17
JAK1	1.09E-06	-0.355772506	0.118	0.215	0.014903112	1	JAK1
ACTR3	1.22E-06	-0.290396497	0.315	0.43	0.01666844	1	ACTR3
SMARCE1	1.24E-06	-0.296186671	0.058	0.142	0.016949522	1	SMARCE1
COMMD8	1.33E-06	-0.313681204	0.056	0.134	0.018199226	1	COMMD8
AKIRIN1	1.44E-06	-0.282656715	0.062	0.138	0.019731122	1	AKIRIN1
NDUFA4	1.51E-06	-0.255762528	0.439	0.539	0.020737385	1	NDUFA4
C7orf55-LUC7L2	1.62E-06	-0.258362368	0.047	0.11	0.022206645	1	C7orf55-LUC7L2
BAG1	1.77E-06	0.277166659	0.258	0.156	0.024319671	1	BAG1
RBM4	1.77E-06	-0.31849459	0.047	0.115	0.024324777	1	RBM4
CACYBP	1.79E-06	-0.322112952	0.12	0.208	0.024559149	1	CACYBP
DYNLT3	1.82E-06	-0.266457078	0.037	0.104	0.02492248	1	DYNLT3
PRPS1	2.01E-06	-0.262314318	0.033	0.102	0.027582303	1	PRPS1
PGAM1.1	2.01E-06	0.269693432	0.303	0.219	0.027601065	1	PGAM1
IL16	2.02E-06	-0.337309567	0.101	0.186	0.027638178	1	IL16
PSMC4	2.02E-06	-0.305401032	0.111	0.177	0.027698484	1	PSMC4
PARP14.1	2.02E-06	0.264375612	0.142	0.064	0.027721989	1	PARP14
MAT2B	2.05E-06	-0.289480199	0.085	0.166	0.028176687	1	MAT2B
CAST.1	2.09E-06	0.266161466	0.247	0.143	0.028616089	1	CAST
FGFR1OP2	2.18E-06	-0.316336141	0.097	0.173	0.029909997	1	FGFR1OP2
TRADD.1	2.23E-06	-0.344544228	0.113	0.19	0.030567075	1	TRADD
RHOC.1	2.31E-06	-0.287287784	0.159	0.192	0.031612592	1	RHOC
RAD21	2.41E-06	-0.273316717	0.056	0.112	0.033065508	1	RAD21
TUBB	2.43E-06	-0.308431339	0.241	0.33	0.03326099	1	TUBB
PAIP2	2.65E-06	-0.307398979	0.235	0.331	0.036280525	1	PAIP2
EML4	2.68E-06	-0.259363041	0.043	0.105	0.03672999	1	EML4
TMED9	2.69E-06	-0.304700059	0.186	0.265	0.036869056	1	TMED9
CHCHD7	2.70E-06	-0.278211559	0.068	0.14	0.037080707	1	CHCHD7
C11orf58	2.76E-06	-0.306833072	0.295	0.404	0.037897238	1	C11orf58
LAIR1.1	2.80E-06	0.255125666	0.113	0.085	0.038340781	1	LAIR1
TNFAIP8L2	3.05E-06	0.26914326	0.167	0.084	0.041779689	1	TNFAIP8L2
ATP5J2.1	3.11E-06	0.263744364	0.419	0.304	0.042687703	1	ATP5J2
TRMT1	3.46E-06	0.269865491	0.138	0.063	0.047418693	1	TRMT1
RNF139	3.48E-06	-0.286036343	0.089	0.137	0.047673173	1	RNF139
ARL2BP	3.67E-06	-0.28749074	0.08	0.15	0.050284664	1	ARL2BP
PPP1R12A	3.86E-06	-0.281577889	0.095	0.166	0.052936466	1	PPP1R12A
DDX6	3.92E-06	-0.258085314	0.082	0.135	0.053733458	1	DDX6
HDAC1	4.04E-06	-0.371062818	0.091	0.168	0.055466542	1	HDAC1
SHKBP1.1	4.05E-06	0.289853332	0.245	0.146	0.055573818	1	SHKBP1
SYPL1	4.56E-06	-0.298377613	0.078	0.157	0.06247842	1	SYPL1
HM13	4.60E-06	0.256065206	0.216	0.124	0.063116778	1	HM13
MRPL28.1	5.02E-06	0.298596351	0.144	0.093	0.068857156	1	MRPL28
ARPC1A	5.36E-06	0.272540947	0.192	0.107	0.073470105	1	ARPC1A
PDCD4	5.46E-06	-0.299676489	0.109	0.197	0.074834734	1	PDCD4
C1orf86	6.08E-06	0.300737534	0.227	0.175	0.08340515	1	C1orf86
CCT3	6.30E-06	-0.297160853	0.126	0.224	0.086379015	1	CCT3
TIMM8B	6.35E-06	0.256523668	0.179	0.095	0.087135027	1	TIMM8B
ZSWIM7	6.50E-06	0.2601489	0.144	0.083	0.089081246	1	ZSWIM7
RBM23	6.57E-06	-0.290177086	0.089	0.163	0.090049369	1	RBM23
RAB10	6.62E-06	0.294044282	0.204	0.137	0.090775813	1	RAB10
CYFIP2	6.66E-06	-0.259409715	0.043	0.112	0.091308603	1	CYFIP2
RPL22L1	6.97E-06	-0.328056898	0.126	0.213	0.095645266	1	RPL22L1
TTC3	8.34E-06	-0.302656163	0.066	0.132	0.114392824	1	TTC3
CCDC12.1	8.78E-06	-0.289867393	0.204	0.256	0.120345474	1	CCDC12
RNPS1	9.15E-06	-0.301178724	0.179	0.25	0.125459601	1	RNPS1
IMPDH2	1.02E-05	-0.29472923	0.099	0.174	0.139594488	1	IMPDH2
KDELR1	1.03E-05	0.250853432	0.173	0.092	0.141007461	1	KDELR1
COA3	1.14E-05	0.254270496	0.173	0.11	0.156524271	1	COA3
CCDC107	1.18E-05	-0.331783789	0.105	0.182	0.161600409	1	CCDC107
C1orf63	1.18E-05	-0.301449277	0.124	0.194	0.161858923	1	C1orf63
CDC123	1.19E-05	-0.352657401	0.068	0.146	0.163507495	1	CDC123
TMED4	1.28E-05	-0.337734597	0.095	0.176	0.175949661	1	TMED4
AKR1A1	1.30E-05	0.27196738	0.221	0.131	0.178402783	1	AKR1A1
C14orf1	1.32E-05	-0.345336766	0.043	0.11	0.181343118	1	C14orf1
CRBN	1.32E-05	-0.264684236	0.122	0.211	0.181671834	1	CRBN
CCDC109B.1	1.40E-05	-0.284556829	0.26	0.336	0.191965888	1	CCDC109B
ELOVL5	1.47E-05	-0.27118581	0.105	0.176	0.201017816	1	ELOVL5
MRPS12	1.47E-05	0.254018159	0.132	0.138	0.201418242	1	MRPS12
UXT	1.55E-05	-0.296120038	0.315	0.424	0.212306306	1	UXT
MAPRE1	1.64E-05	-0.264579976	0.101	0.168	0.224252609	1	MAPRE1
DPY30	1.64E-05	-0.289061199	0.087	0.164	0.22465269	1	DPY30
GIMAP6	1.75E-05	-0.253639233	0.045	0.111	0.240125947	1	GIMAP6
ROCK1	1.75E-05	-0.268595161	0.087	0.155	0.240386139	1	ROCK1
XRCC5	1.87E-05	-0.298562412	0.177	0.252	0.257041774	1	XRCC5
SRSF2	1.97E-05	-0.297108946	0.307	0.409	0.269809485	1	SRSF2
NKTR	2.07E-05	-0.302895307	0.072	0.145	0.28450507	1	NKTR
SNHG7	2.10E-05	-0.283911894	0.184	0.281	0.288114508	1	SNHG7
LSM14A	2.13E-05	-0.280659952	0.093	0.177	0.291449578	1	LSM14A
ZNF428	2.22E-05	-0.278630214	0.101	0.165	0.304508947	1	ZNF428
ATPIF1	2.26E-05	-0.280519058	0.235	0.326	0.309390568	1	ATPIF1
IRF9	2.55E-05	-0.314764457	0.074	0.133	0.349370311	1	IRF9
CHURC1	2.68E-05	-0.258951458	0.128	0.206	0.368104547	1	CHURC1
Sep-15	2.95E-05	-0.265453607	0.223	0.308	0.404653398	1	Sep-15
RPS27L	3.00E-05	-0.26217362	0.179	0.229	0.411645225	1	RPS27L
CCDC91	3.08E-05	-0.291946863	0.056	0.115	0.422157422	1	CCDC91
NUCKS1	3.19E-05	-0.255440879	0.111	0.192	0.437140066	1	NUCKS1
CELF2	3.24E-05	-0.27599373	0.167	0.25	0.444997458	1	CELF2
NDFIP1.1	3.71E-05	-0.279657805	0.256	0.337	0.508797067	1	NDFIP1
SF3B1	3.75E-05	-0.30100526	0.082	0.155	0.513782821	1	SF3B1
NENF	3.81E-05	0.268261097	0.196	0.137	0.522469234	1	NENF
CCNI	3.84E-05	-0.252834391	0.563	0.638	0.526643342	1	CCNI
C19orf66	3.89E-05	-0.278410169	0.101	0.185	0.533075344	1	C19orf66
FAM65B	4.01E-05	-0.254593601	0.214	0.32	0.550183231	1	FAM65B
RNF167	4.18E-05	-0.259290569	0.101	0.186	0.573194707	1	RNF167
MAGOH	4.75E-05	-0.275159225	0.111	0.189	0.651917275	1	MAGOH
LUC7L3	4.81E-05	-0.365159965	0.122	0.185	0.660281244	1	LUC7L3
ORMDL1	5.18E-05	-0.267392679	0.126	0.2	0.710039022	1	ORMDL1
NAA38	5.19E-05	-0.25474027	0.082	0.162	0.711755933	1	NAA38
LBR	5.93E-05	-0.269373592	0.054	0.104	0.812721393	1	LBR
THOC7	8.79E-05	-0.310414118	0.124	0.167	1	1	THOC7
TMEM243	8.85E-05	-0.255144218	0.14	0.215	1	1	TMEM243
TCP1	9.04E-05	-0.300538205	0.105	0.182	1	1	TCP1
ZFAND6	9.05E-05	-0.270567019	0.101	0.176	1	1	ZFAND6
CHD2	9.20E-05	-0.285293782	0.074	0.146	1	1	CHD2
MAF1	9.89E-05	-0.257705949	0.181	0.235	1	1	MAF1
HNRNPH3	0.0001739	-0.313928273	0.115	0.191	1	1	HNRNPH3
DEF6	0.000195405	-0.269168217	0.101	0.167	1	1	DEF6
CKLF	0.000209631	0.250738681	0.285	0.198	1	1	CKLF
UGP2	0.000215052	-0.265493275	0.12	0.199	1	1	UGP2
NSA2.1	0.000236391	-0.262352021	0.184	0.231	1	1	NSA2
TRAM1	0.000260794	-0.250735414	0.138	0.209	1	1	TRAM1
HLA-F	0.000311082	-0.256175101	0.252	0.346	1	1	HLA-F
YTHDF2	0.000317414	-0.27170283	0.076	0.134	1	1	YTHDF2
GOLGA7	0.000324937	-0.252089366	0.099	0.167	1	1	GOLGA7
ABRACL	0.000399128	-0.277930416	0.204	0.296	1	1	ABRACL
PCSK7	0.000466007	-0.34574672	0.093	0.154	1	1	PCSK7
NCKAP1L.1	0.000553612	0.302228201	0.146	0.097	1	1	NCKAP1L
TAPSAR1	0.000554138	-0.260624113	0.165	0.246	1	1	TAPSAR1
TAF1D	0.00056838	-0.271721571	0.103	0.16	1	1	TAF1D
SUB1	0.000770503	-0.252248822	0.243	0.312	1	1	SUB1
EPB41L4A-AS1	0.000780973	-0.257204841	0.115	0.187	1	1	EPB41L4A-AS1
C5orf56	0.00141273	-0.262823871	0.076	0.135	1	1	C5orf56
VDAC3	0.002247684	-0.332296477	0.132	0.176	1	1	VDAC3
NUDT16L1	0.003227763	-0.259985648	0.064	0.115	1	1	NUDT16L1
CD79A.2	0	2.979033257	0.929	0.041	0	2	CD79A
CD74.1	0	2.04075498	1	0.818	0	2	CD74
CD79B.2	3.39E-306	2.40366602	0.912	0.141	4.65E-302	2	CD79B
HLA-DRA.2	1.13E-303	1.927563037	1	0.489	1.55E-299	2	HLA-DRA
MS4A1.2	3.80E-293	2.359122275	0.858	0.052	5.21E-289	2	MS4A1
HLA-DQA1.2	1.37E-235	2.128581631	0.886	0.116	1.88E-231	2	HLA-DQA1
HLA-DQB1.2	1.48E-229	2.143359043	0.863	0.145	2.03E-225	2	HLA-DQB1
CD37.1	6.83E-226	1.334710915	0.963	0.734	9.36E-222	2	CD37
HLA-DPB1.2	1.71E-222	1.645757636	0.986	0.442	2.34E-218	2	HLA-DPB1
TCL1A.2	4.65E-191	2.476724607	0.615	0.022	6.38E-187	2	TCL1A
LINC00926.1	7.13E-178	1.961465498	0.561	0.009	9.78E-174	2	LINC00926
HLA-DRB1.2	2.59E-177	1.438438734	0.98	0.378	3.55E-173	2	HLA-DRB1
HLA-DPA1.2	6.44E-171	1.401389853	0.977	0.417	8.83E-167	2	HLA-DPA1
S100A4.2	2.42E-151	-2.130996562	0.359	0.88	3.32E-147	2	S100A4
VPREB3.1	1.31E-149	1.674287981	0.484	0.006	1.80E-145	2	VPREB3
TMSB4X.1	5.33E-131	-0.581624661	1	1	7.32E-127	2	TMSB4X
BANK1.2	3.90E-115	1.445335383	0.479	0.036	5.34E-111	2	BANK1
HLA-DRB5.2	1.67E-112	1.314027893	0.846	0.272	2.29E-108	2	HLA-DRB5
S100A6.2	1.91E-110	-1.658928006	0.353	0.845	2.63E-106	2	S100A6
HLA-DQA2.2	2.51E-107	1.458066954	0.519	0.064	3.44E-103	2	HLA-DQA2
FCER2	1.02E-105	1.43751013	0.379	0.009	1.40E-101	2	FCER2
CD3D.2	2.71E-94	-1.859763179	0.057	0.59	3.72E-90	2	CD3D
HVCN1.1	6.20E-93	1.287306916	0.487	0.068	8.50E-89	2	HVCN1
IL32.2	2.21E-90	-1.981133632	0.097	0.622	3.04E-86	2	IL32
HLA-DMA.2	6.26E-90	1.350531633	0.689	0.198	8.58E-86	2	HLA-DMA
FCRLA	1.16E-85	1.20033428	0.296	0.006	1.59E-81	2	FCRLA
GIMAP7.1	1.30E-85	-1.562307574	0.077	0.603	1.78E-81	2	GIMAP7
ANXA1	8.23E-83	-1.374033748	0.128	0.659	1.13E-78	2	ANXA1
HLA-DMB.2	7.59E-82	1.291873458	0.547	0.122	1.04E-77	2	HLA-DMB
HCST	1.13E-81	-1.335384733	0.085	0.607	1.55E-77	2	HCST
TSPAN13	3.49E-81	1.14062451	0.305	0.008	4.79E-77	2	TSPAN13
SRGN.2	3.19E-75	-1.498099849	0.205	0.655	4.37E-71	2	SRGN
HLA-DOB	2.54E-74	1.041254413	0.285	0.011	3.48E-70	2	HLA-DOB
EAF2.1	6.75E-72	1.151015907	0.35	0.055	9.26E-68	2	EAF2
PKIG	9.33E-72	1.056086819	0.276	0.008	1.28E-67	2	PKIG
IGLL5	1.48E-68	2.408560806	0.236	0.011	2.03E-64	2	IGLL5
LYZ.2	6.48E-68	-2.250662568	0.427	0.63	8.89E-64	2	LYZ
S100A11.2	1.25E-67	-1.629557361	0.134	0.584	1.71E-63	2	S100A11
FTL.2	9.96E-66	-1.111481523	0.994	0.986	1.37E-61	2	FTL
CD72	1.25E-65	1.073553871	0.259	0.013	1.72E-61	2	CD72
RPL18A	1.44E-65	0.413632366	1	0.992	1.97E-61	2	RPL18A
BLK	5.76E-65	1.041639232	0.285	0.015	7.89E-61	2	BLK
GNG7	1.96E-64	0.991187552	0.288	0.017	2.69E-60	2	GNG7
S100A10.2	4.45E-64	-1.217097314	0.251	0.697	6.11E-60	2	S100A10
PDLIM1	5.54E-64	0.970335679	0.316	0.024	7.60E-60	2	PDLIM1
CD3E.2	3.94E-63	-1.376325859	0.105	0.537	5.40E-59	2	CD3E
PPAPDC1B	1.23E-62	1.057298983	0.311	0.044	1.69E-58	2	PPAPDC1B
LAPTM5.1	2.60E-62	0.705759878	0.872	0.775	3.56E-58	2	LAPTM5
GIMAP4.1	1.27E-61	-1.216560394	0.074	0.512	1.74E-57	2	GIMAP4
SPIB	2.42E-61	0.957631373	0.245	0.01	3.32E-57	2	SPIB
IRF8.1	2.80E-61	1.205938966	0.373	0.07	3.84E-57	2	IRF8
P2RX5	5.35E-61	1.10042223	0.271	0.02	7.34E-57	2	P2RX5
FTH1.2	6.75E-61	-1.012152559	0.983	0.989	9.25E-57	2	FTH1
CD40	7.57E-61	0.956246315	0.291	0.026	1.04E-56	2	CD40
RPS27.2	5.13E-60	0.256065956	0.997	0.993	7.03E-56	2	RPS27
KIAA0125	4.10E-59	0.946211083	0.219	0.006	5.62E-55	2	KIAA0125
LTB.2	8.38E-59	0.500902824	0.932	0.667	1.15E-54	2	LTB
LGALS1.2	9.38E-59	-1.935195572	0.134	0.525	1.29E-54	2	LGALS1
BLNK	2.23E-58	0.951934468	0.228	0.012	3.05E-54	2	BLNK
TYROBP.2	1.22E-57	-2.284136989	0.108	0.439	1.68E-53	2	TYROBP
RPL13A.2	2.04E-57	0.284130497	1	0.999	2.80E-53	2	RPL13A
PNOC	1.13E-56	0.848557271	0.225	0.006	1.55E-52	2	PNOC
MARCH1.1	3.11E-56	0.98506649	0.288	0.044	4.27E-52	2	Mar-01
GAPDH.2	1.03E-53	-0.819968462	0.578	0.881	1.41E-49	2	GAPDH
CD19	2.58E-53	0.850816216	0.214	0.008	3.54E-49	2	CD19
RPS23.2	3.12E-53	0.432489993	1	0.979	4.28E-49	2	RPS23
SNX2.1	3.82E-52	0.8995048	0.462	0.174	5.23E-48	2	SNX2
ISG20.1	1.29E-51	0.831590702	0.687	0.423	1.77E-47	2	ISG20
FCER1G.2	4.04E-51	-1.877038605	0.074	0.398	5.54E-47	2	FCER1G
QRSL1	8.20E-51	0.917940055	0.265	0.036	1.12E-46	2	QRSL1
CYB561A3.1	3.82E-50	0.940875465	0.316	0.058	5.24E-46	2	CYB561A3
S100A9.2	5.49E-49	-2.785876178	0.137	0.389	7.53E-45	2	S100A9
SNHG7.1	8.05E-49	1.022449648	0.496	0.228	1.10E-44	2	SNHG7
RPS11	2.02E-48	0.475829785	0.991	0.939	2.77E-44	2	RPS11
CD7.2	2.13E-48	-1.2735457	0.054	0.413	2.92E-44	2	CD7
MEF2C.1	3.32E-48	0.915194485	0.265	0.042	4.55E-44	2	MEF2C
SMIM14.1	4.30E-48	1.033965718	0.325	0.069	5.90E-44	2	SMIM14
LDHB.2	3.93E-47	-0.938474267	0.405	0.709	5.39E-43	2	LDHB
AIF1.2	1.44E-46	-1.856825965	0.085	0.416	1.97E-42	2	AIF1
RPS5.2	2.50E-46	0.383988355	0.994	0.973	3.42E-42	2	RPS5
FCRL1	4.41E-46	0.825898302	0.217	0.017	6.05E-42	2	FCRL1
VIM.1	9.34E-46	-0.861931294	0.553	0.831	1.28E-41	2	VIM
RGS10.1	2.20E-45	-1.034096196	0.094	0.461	3.02E-41	2	RGS10
CST3.2	1.75E-44	-2.010416571	0.182	0.43	2.41E-40	2	CST3
PLEKHF2.1	3.78E-44	0.895031243	0.288	0.059	5.18E-40	2	PLEKHF2
FYB.1	6.24E-44	-1.092931417	0.066	0.412	8.56E-40	2	FYB
SH3BGRL3.2	6.54E-44	-0.700042629	0.664	0.886	8.97E-40	2	SH3BGRL3
CD22	7.56E-44	0.759274324	0.231	0.02	1.04E-39	2	CD22
ID2.1	1.57E-43	-1.221572097	0.083	0.43	2.16E-39	2	ID2
SWAP70	3.82E-43	0.830723339	0.231	0.024	5.24E-39	2	SWAP70
ACTB.2	7.35E-43	-0.616491533	0.974	0.994	1.01E-38	2	ACTB
CXCR4.1	2.20E-42	0.765560281	0.809	0.566	3.02E-38	2	CXCR4
LY86.2	6.14E-42	0.866207501	0.462	0.148	8.42E-38	2	LY86
CD2.2	6.65E-42	-1.139037034	0.04	0.359	9.12E-38	2	CD2
MT2A.2	1.67E-41	-1.089856257	0.037	0.356	2.29E-37	2	MT2A
TIMP1.2	3.89E-41	-1.20268904	0.054	0.367	5.33E-37	2	TIMP1
PFN1.1	9.16E-41	-0.573470688	0.838	0.958	1.26E-36	2	PFN1
ADAM28	1.74E-40	0.739832169	0.179	0.011	2.38E-36	2	ADAM28
GIMAP1	2.65E-40	-0.957713404	0.048	0.367	3.63E-36	2	GIMAP1
C10orf54.2	5.62E-40	-0.634596097	0.085	0.413	7.70E-36	2	C10orf54
S100A8.2	1.74E-39	-2.55992309	0.077	0.305	2.38E-35	2	S100A8
SNX29P2	7.48E-39	0.768364689	0.185	0.012	1.03E-34	2	SNX29P2
RARRES3.1	1.33E-38	-0.951057339	0.16	0.515	1.82E-34	2	RARRES3
ARHGAP24	1.37E-38	0.53238316	0.171	0.011	1.88E-34	2	ARHGAP24
IL7R.2	3.23E-38	-1.141667041	0.114	0.445	4.42E-34	2	IL7R
LST1.2	9.58E-38	-1.644931078	0.137	0.388	1.31E-33	2	LST1
POU2AF1	1.06E-37	0.669209073	0.157	0.006	1.46E-33	2	POU2AF1
LCK.2	6.35E-37	-0.909083649	0.077	0.401	8.71E-33	2	LCK
CCL5.2	1.22E-36	-1.937796204	0.137	0.346	1.67E-32	2	CCL5
AC079767.4	1.84E-36	0.562375161	0.123	0.001	2.52E-32	2	AC079767.4
NKG7.2	2.00E-36	-2.353353204	0.083	0.334	2.75E-32	2	NKG7
NEAT1.2	3.83E-36	-0.824912959	0.37	0.677	5.25E-32	2	NEAT1
ITGB2.2	5.79E-36	-0.892361907	0.165	0.512	7.94E-32	2	ITGB2
NOSIP.2	8.20E-36	-0.956256618	0.151	0.468	1.12E-31	2	NOSIP
CD180	1.02E-35	0.618458618	0.154	0.011	1.40E-31	2	CD180
GZMM.2	1.09E-35	-1.051925298	0.017	0.28	1.50E-31	2	GZMM
FAIM3.1	1.57E-34	0.795873069	0.41	0.177	2.15E-30	2	FAIM3
B2M.1	2.03E-34	-0.358195798	1	1	2.78E-30	2	B2M
RALGPS2	2.55E-34	0.647526444	0.162	0.014	3.49E-30	2	RALGPS2
CTSW.2	8.79E-34	-1.326663039	0.068	0.333	1.20E-29	2	CTSW
TPD52	1.15E-33	0.758521729	0.245	0.054	1.58E-29	2	TPD52
CFL1	2.20E-33	-0.515487875	0.769	0.932	3.02E-29	2	CFL1
CD247.1	5.43E-33	-1.046325209	0.04	0.301	7.44E-29	2	CD247
TLR10	6.38E-33	0.523361333	0.134	0.006	8.74E-29	2	TLR10
RPSA.2	1.69E-32	0.301658226	0.986	0.948	2.31E-28	2	RPSA
FCRL2	1.91E-32	1.233754196	0.117	0.003	2.62E-28	2	FCRL2
COTL1.2	2.46E-32	-0.921805854	0.45	0.651	3.37E-28	2	COTL1
CFD.2	4.19E-32	-1.257880491	0.023	0.259	5.75E-28	2	CFD
SAT1.2	5.15E-32	-0.795083943	0.533	0.595	7.07E-28	2	SAT1
GIMAP5.2	5.17E-32	-0.996983156	0.048	0.317	7.10E-28	2	GIMAP5
GZMA.2	6.30E-32	-1.441802236	0.011	0.228	8.64E-28	2	GZMA
FAM129C	1.42E-31	0.477710851	0.12	0.003	1.94E-27	2	FAM129C
NCF1.2	1.84E-31	0.804908301	0.387	0.131	2.52E-27	2	NCF1
FCN1.2	7.56E-31	-1.584623498	0.085	0.325	1.04E-26	2	FCN1
FCGR2B	3.97E-30	0.639477131	0.148	0.011	5.45E-26	2	FCGR2B
AMICA1.1	6.03E-30	-0.777385272	0.04	0.295	8.27E-26	2	AMICA1
RPS8.2	6.12E-30	0.29915245	1	0.985	8.39E-26	2	RPS8
CTSS.2	1.23E-29	-0.558325643	0.524	0.517	1.68E-25	2	CTSS
GAPT.1	1.55E-29	0.729697236	0.202	0.043	2.13E-25	2	GAPT
IFITM3.2	1.87E-29	-1.221399028	0.037	0.25	2.56E-25	2	IFITM3
MMADHC	1.88E-29	0.682021323	0.105	0.134	2.57E-25	2	MMADHC
C16orf74	2.58E-29	0.737882946	0.162	0.03	3.53E-25	2	C16orf74
AFF3	3.91E-29	0.544065757	0.123	0.01	5.36E-25	2	AFF3
ZFP36L2.2	6.15E-29	-0.654570968	0.393	0.687	8.43E-25	2	ZFP36L2
MAF1.1	7.86E-29	0.471933295	0.234	0.224	1.08E-24	2	MAF1
RP11-693J15.5	8.10E-29	0.510026993	0.111	0.003	1.11E-24	2	RP11-693J15.5
LAT2.1	9.48E-29	0.898460604	0.251	0.067	1.30E-24	2	LAT2
IFITM1.2	9.95E-29	-0.749339978	0.199	0.515	1.36E-24	2	IFITM1
MYL6.2	1.01E-28	-0.561338841	0.698	0.872	1.39E-24	2	MYL6
RPL8	1.16E-28	0.297073161	1	0.985	1.59E-24	2	RPL8
ANXA2.2	1.34E-28	-0.854564583	0.197	0.469	1.84E-24	2	ANXA2
STX7.1	1.56E-28	0.680900518	0.271	0.1	2.14E-24	2	STX7
RPL15	1.80E-28	0.256821899	0.997	0.993	2.47E-24	2	RPL15
ORAI2	1.99E-28	0.676699626	0.217	0.049	2.73E-24	2	ORAI2
MZB1	6.50E-28	0.633285089	0.142	0.009	8.91E-24	2	MZB1
PPP1R14A	8.01E-28	0.84504472	0.128	0.006	1.10E-23	2	PPP1R14A
GSTK1.1	8.02E-28	-0.607478914	0.271	0.59	1.10E-23	2	GSTK1
DOK2.2	3.58E-27	-0.84421016	0.04	0.27	4.91E-23	2	DOK2
PSAP.2	5.38E-27	-0.817555356	0.353	0.527	7.38E-23	2	PSAP
IGJ	6.55E-27	1.241461788	0.128	0.01	8.99E-23	2	IGJ
LGALS3.2	6.80E-27	-1.049184244	0.043	0.275	9.33E-23	2	LGALS3
BCL7A	7.19E-27	0.515086081	0.105	0.005	9.86E-23	2	BCL7A
RPL22L1.1	1.02E-26	0.665922802	0.322	0.179	1.40E-22	2	RPL22L1
STRBP	1.02E-26	0.553945817	0.148	0.014	1.41E-22	2	STRBP
LGALS2.2	1.86E-26	-1.441721797	0.031	0.24	2.55E-22	2	LGALS2
ADK	3.73E-26	0.595209751	0.222	0.099	5.11E-22	2	ADK
LCN8	9.56E-26	0.458026771	0.103	0.003	1.31E-21	2	LCN8
RPL10A.2	2.72E-25	0.254666871	0.994	0.982	3.73E-21	2	RPL10A
RPL18.2	4.28E-25	0.261362094	0.994	0.981	5.88E-21	2	RPL18
TYMP.2	4.89E-25	-1.094439526	0.148	0.377	6.71E-21	2	TYMP
C15orf57	6.84E-25	0.861149533	0.171	0.065	9.38E-21	2	C15orf57
HLA-DQB2	9.40E-25	0.484209803	0.12	0.013	1.29E-20	2	HLA-DQB2
KIAA0226L	9.56E-25	0.459318403	0.117	0.006	1.31E-20	2	KIAA0226L
IFI6.2	1.33E-24	-0.880772554	0.162	0.436	1.83E-20	2	IFI6
LAT.2	1.46E-24	-0.737427966	0.031	0.246	2.00E-20	2	LAT
CD99	1.65E-24	-0.682093417	0.268	0.537	2.26E-20	2	CD99
SAMHD1.2	2.29E-24	-0.735110698	0.046	0.27	3.14E-20	2	SAMHD1
HHEX.1	9.47E-24	0.632651661	0.199	0.058	1.30E-19	2	HHEX
