,cell1,cell2,cell3,cell4,cell5
ANKRD36C,0.182913369,0.020157468,0.064936355,0.209812279,0.037324257
GPAT2,0.046636799,0,0.053972204,0.014940983,0
DUSP2,1.99205617,0.682764442,0.775419427,3.984775165,0.370342465
STARD7,0.372331823,0.445998408,0.46374637,0.440808514,0.46967598
TMEM127,0.101750868,0.323831043,0.126992652,0.114463514,0.31050967
CIAO1,0.190408726,0.297061548,0.148456667,0.249327501,0.285318027
SNRNP200,0.43338641,0.393328252,0.453111618,0.587199578,0.280188816
AC021188.4,0.004444954,0,0.030549412,0.027701564,0
ITPRIPL1,0.016129815,0,0.010646498,0.028276206,0.018214604
NCAPH,0,0,0,0.037289919,0
ARID5A,0.62275703,0.58593997,0.362243252,0.648219358,0.191592142
KANSL3,0.06007173,0.09215967,0.110776551,0.069588905,0.074385391
LMAN2L,0.046443097,0.028644896,0.039908448,0.142819838,0.043847662
CNNM4,0.002560524,0.01873922,0.005728942,0,0
CNNM3,0.031354002,0.032796021,0.018620934,0.059559229,0.011622717
ANKRD23,0.010024646,0,0,0.01396219,0
ANKRD39,0.232200028,0.098420584,0.141139961,0.271635665,0.191489623
SEMA4C,0.038367103,0,0.003556364,0,0.019793436
FAM178B,0.010693384,0,0,0.013995899,0
FAHD2B,0.053349409,0.005477831,0.054366301,0.040608017,0
ANKRD36,0.145118861,0.005691018,0.08865256,0.302285176,0.014687113
AC159540.1,0.017748128,0,0,0.027038095,0
COX5B,2.657814496,5.364204506,2.339739224,2.606510451,6.256132715
ACTR1B,0.472510881,0.200012182,0.273936695,0.426173294,0.85983294
ZAP70,0.793954733,0.144013828,0.091994419,1.841422622,0.09583824
TMEM131,0.05068861,0.107461386,0.183876595,0,0.032159723
INPP4A,0.279239467,0.272194347,0.048079023,0.284340584,0.160587735
COA5,0.253431226,0.347279617,0.324561422,0.421044931,0.213345297
UNC50,0.263139656,0.283835525,0.325241826,0.439246144,0.435764836
MGAT4A,0.971970916,0.091679205,0.228824597,0.850870242,0.149300586
AC109826.1,0.061402973,0.005960843,0.015534367,0.053677049,0
KIAA1211L,0.003507948,0.01988289,0,0.013413007,0
TSGA10,0.107885884,0.011688524,0.061031434,0.06631108,0.036415098
C2ORF15,0.036457524,0.008785069,0,0.014940983,0.012601299
LIPT1,0.117025779,0.065424546,0.115624457,0.116276193,0.035423207
MRPL30,0.003874987,0.008755226,0,0.023413172,0
MITD1,0.491930106,0.195605777,0.705294114,0.449498373,0.230031739
LYG1,0.004010701,0.008007206,0,0.018229879,0
TXNDC9,0.426411843,0.188745889,0.293460398,0.431152407,0.123485148
EIF5B,0.73449754,0.498110622,1.296233227,0.750521804,0.442067868
REV1,0.212998089,0.124503349,0.242014601,0.185978757,0.120264035
AFF3,0.031265467,0.013108903,0.780688315,0.048575016,0.06888135
AC092667.2,0.009864696,0,0.017173013,0.01752449,0
CHST10,0.016458236,0,0,0.02750827,0
PDCL3,0.620003187,0.342343259,0.258960543,0.470723514,0.894083608
NPAS2,0.0068758,0,0,0,0
RPL31,43.28750907,16.42673773,33.66001887,30.9650938,14.44529115
TBC1D8,0.013342057,0.063477966,0,0.033241825,0.256451242
CNOT11,0.129150111,0.086516447,0.086595272,0.112219364,0.075029057
RNF149,0.581122972,0.889128321,0.304908964,0.764787475,1.654167116
MAP4K4,0.199416222,0.186637081,0.291501619,0.157763073,0.204309409
IL1R2,0,0.011529245,0,0,0
IL1RL2,0,0.015905461,0,0,0.016427348
IL18R1,0.057328924,0.011688524,0.017224927,0.173948082,0
IL18RAP,0.014593937,0,0,0.335481322,0
MFSD9,0.015556575,0.032296014,0.079969831,0.044642239,0.012706997
TMEM182,0.025620128,0,0.050716601,0.040460528,0.016053709
MRPS9,0.303220077,0.180025273,0.202368978,0.338650965,0.282929526
AC104655.3,0,0,0.045057863,0,0
TGFBRAP1,0.042396206,0.025733994,0.021274651,0.346565823,0.030352477
AC012360.4,0.007300733,0.009342346,0,0.015120244,0
RP11-332H14.2,0.049733121,0.022940688,0.092334158,0.052356433,0
C2orf49,0.089116435,0.19246247,0.085583169,0.106249474,0.19425994
NCK2,0.319644748,0.020458334,0.285021188,0.285010952,0.110350041
C2orf40,0.064835619,0,0,0,0
UXS1,0.682570193,0.107640731,0.243082842,0.284494034,0.147666789
GCC2,0.763371687,0.207940373,0.612328938,0.662466596,0.17981152
LIMS1,1.032866746,0.693393993,0.291307052,0.546650216,1.064873272
RANBP2,0.13105742,0.143157956,0.160274131,0.150322939,0.107976106
CCDC138,0.030312596,0,0.045176143,0,0
SEPT10,0.011744915,0.005950521,0.010646498,0,0.041673788
NPHP1,0.005602581,0,0.005728942,0,0
LINC00116,0.486514333,0.334332438,0.179472363,0.367696476,0.326334848
BCL2L11,0.032363715,0.179931621,0.109650182,0.105977764,0.161767818
MIR4435-1HG,0.167251364,0.629746483,0.036132263,0.504860232,0.246547563
RP11-803D5.4,0,0.014262904,0,0.026183837,0
AC017002.1,0.004884495,0,0,0.014811194,0
ANAPC1,0.08499913,0.060777747,0.073877549,0.117725765,0.017258072
MERTK,0.001897367,0.02409235,0,0,0.031736348
TMEM87B,0.198907292,0.014385752,0.162820986,0.072096426,0.076541259
FBLN7,0.135027563,0.012258496,0.011432596,0.011274021,0
ZC3H8,0.236709525,0.051728696,0.197507687,0.216699182,0.03072632
ZC3H6,0.193210986,0.074708787,0.236908234,0.134476279,0.168892497
TTL,0.040408043,0.074933278,0.084494915,0.030787742,0.09192109
POLR1B,0.059693647,0.053958912,0.048751572,0.034812201,0.112394972
CHCHD5,0.491727603,1.173364785,0.532136521,0.756244856,0.87498295
AC079922.3,0.055356612,0.023686438,0.018440148,0.083178927,0.014877078
SLC20A1,0.241838133,0.209940346,0.249430951,0.575904145,0.236294792
CKAP2L,0,0.009346581,0,0.004846264,0
IL1B,0.0918497,2.460987945,0.116308167,0.100850691,0.577484847
IL1RN,0.025741751,0.395104605,0,0,0.086334946
PSD4,0.209593722,0.116595268,0.26503828,0.32670542,0.248559313
AC016683.5,0,0,0.038581623,0.013369699,0
PAX8,0.015044588,0.0359703,0.019734688,0,0
RP11-65I12.1,0.056347172,0.064987316,0.026923334,0.04984985,0.043773415
CBWD2,0.125726309,0.300608774,0.213746542,0.121229107,0.453189764
RABL2A,0.056311259,0.068688141,0.186359239,0.058630516,0.033015517
SLC35F5,0.047402006,0.054333279,0.051869826,0.027099861,0.01647091
RP11-141B14.1,0.098567169,0,0,0.018275856,0
ACTR3,2.476700462,1.736806243,2.612923523,2.818532729,2.874418507
DDX18,1.185702878,0.312417026,1.074398482,0.830715083,0.591933516
AC009404.2,0.005380479,0,0.028771421,0,0
CCDC93,0.084296518,0.05310864,0.156920644,0.144910896,0.05174885
INSIG2,0.14041958,0.083760709,0.166851322,0.152215852,0.269981579
MARCO,0.008579808,0.756377121,0,0,0.344737233
STEAP3,0.003714563,0.030492113,0,0,0
C2orf76,0.066334892,0.081238312,0.022468477,0.370752884,0.027316341
DBI,1.435967082,2.291813505,2.970691327,2.22469291,2.299984753
TMEM177,0.084805027,0,0.042504673,0.073930154,0
PTPN4,0.431795023,0.053992821,0.24787281,0.890787638,0.061299087
EPB41L5,0.009757651,0,0.053315345,0.02555736,0
TMEM185B,0.045027043,0.032018244,0.074604541,0.119237777,0.060241578
RALB,0.239583488,0.575758392,0.4924794,0.305414608,0.841126277
CLASP1,0.056139059,0.08810617,0.059259962,0.037879554,0.034996815
NIFK-AS1,0.218597582,0.083414146,0.228083554,0.110149915,0.131823646
NIFK,0.540246034,0.264007008,0.474119244,0.431107132,0.233878379
TSN,0.429919063,0.269936392,0.570699021,0.365387942,0.355564082
GYPC,2.360232213,0.485351652,1.115579567,1.903833959,0.581522964
BIN1,1.84207762,0.209615876,1.929166879,1.948331005,0.178318465
ERCC3,0.133685811,0.076600738,0.10048636,0.139313146,0.113440677
MAP3K2,0.119097287,0.135176677,0.115224032,0.099988142,0.071875402
PROC,0,0.006875144,0,0,0
IWS1,0.193731211,0.080647966,0.149777301,0.364391199,0.084630967
MYO7B,0.011171443,0.040030447,0.177551352,0,0.050042472
LIMS2,0.049844154,0.015147497,0.234227843,0.053536983,0.056311697
WDR33,0.538521542,0.461726913,0.488683451,0.698495657,0.434838632
SFT2D3,0.073237066,0.052771963,0.095175749,0.075191568,0.017139018
RP5-935K16.1,0.008513664,0.030690085,0.01228548,0,0.018219948
POLR2D,0.150856797,0.050107906,0.095299086,0.235467082,0.185355014
AMMECR1L,0.019016071,0.048455594,0.012201297,0.073872763,0
RP11-395A13.2,0.021268736,0.152820844,0.072148727,0.029898561,0.06754077
SAP130,0.059563856,0.033570046,0.021213722,0.045316002,0.114322662
UGGT1,0.072635132,0.063734776,0.097851222,0.02736284,0.034367533
HS6ST1,0.007573778,0.055521383,0.032771451,0.013181222,0.02940451
SMPD4,0.035443596,0.016132366,0.033130342,0.043448861,0.062915607
MZT2B,2.839238034,1.660233147,1.881096753,2.511652035,1.264645815
CCDC115,0.99707062,0.578371645,0.907483371,0.996536273,1.12256424
IMP4,0.511790374,0.504333942,0.611661218,0.551688363,0.549897198
PTPN18,0.38944307,0.995620992,0.713215964,0.505773002,1.355876833
ARHGEF4,0.008762181,0,0,0.033126294,0
FAM168B,0.078758442,0.113244407,0.083452863,0.109578016,0.067591582
PLEKHB2,0.230299801,0.321401844,0.195832371,0.300247416,0.399856617
MZT2A,1.901375584,0.659470109,1.186320569,2.166608298,0.215139592
C2orf27A,0.00261358,0.006893533,0,0,0.019029351
MGAT5,0.082392269,0.03454948,0.116131121,0.103593143,0.060727091
TMEM163,0.003596372,0,0.019140332,0.013633823,0
CCNT2-AS1,0.003916841,0,0.03603753,0,0
CCNT2,0.068819078,0.052976045,0.067814924,0.109439256,0.13017988
RAB3GAP1,0.1525868,0.148255034,0.273716454,0.110174534,0.131836249
ZRANB3,0.054576136,0,0.084706023,0,0.027692554
R3HDM1,0.14353177,0.323338466,0.078805434,0.153680314,0.061745996
UBXN4,1.204101288,0.90996206,2.34688811,1.093962751,0.7639665
AC011893.3,0.003692499,0,0,0,0
MCM6,0.047068218,0.014885636,0.014528316,0.054901998,0
DARS,0.682771512,0.399924262,1.059749708,0.546597038,0.171074832
AC093391.2,0.011401604,0.006798073,0.009004434,0.018275856,0.014877078
CXCR4,8.073811355,1.350580844,14.10439987,8.70409935,1.515277809
HNMT,0.038701307,0.811789127,0.037241998,0.038006907,0.413051199
SPOPL,0.012971804,0.020727369,0.036413356,0,0.109804112
KYNU,0.038202867,0.594982414,0.347580936,0,0.688325438
ARHGAP15,2.118929259,0.434737487,1.37813117,2.214836849,0.355176613
GTDC1,0.05401473,0.049892871,0.063586712,0.08653853,0.086267089
ZEB2,0.189004237,0.671410032,0.425324762,0.302127933,0.680298151
ZEB2-AS1,0.003154484,0.118576462,0,0.064848174,0.158326947
ACVR2A,0.021782577,0.014804322,0,0,0.108884662
ORC4,0.309462476,0.121597365,0.110433333,0.205262505,0.182193362
MBD5,0.068853429,0.027403671,0.060457137,0.163729789,0.027680912
EPC2,0.083699502,0.105320033,0.04995543,0.062666012,0.154762735
KIF5C,0.016837497,0,0.010646498,0.013283917,0.019087831
MMADHC,0.59624648,0.462672348,2.19960213,0.943893358,0.401641221
RBM43,0.089584259,0.048889673,0.089612165,0.106909554,0.069094786
NMI,0.665005123,1.102483217,0.508101753,0.621676761,1.36087487
RIF1,0.108437997,0.074239423,0.176625443,0.132866387,0.034510078
NEB,0.0067101,0,0,0,0.023761209
ARL5A,0.888508974,0.777141433,1.060031343,1.179449338,0.911903485
STAM2,0.036365981,0.036361694,0.042951312,0.03060106,0.012642337
FMNL2,0,0,0.009913023,0.013724199,0.138361609
PRPF40A,0.590649913,0.540841836,0.33718004,0.647907472,0.534649249
ARL6IP6,0.428412589,0.295126654,0.413488288,0.463517441,0.192892576
NR4A2,1.101905079,1.135728876,0.941713904,1.02580422,0.967035622
GPD2,0.018361243,0.048720647,0.011409703,0.037741546,0.026332533
ERMN,0.003632396,0,0.020422959,0,0.014785004
CYTIP,2.555160447,1.001037123,2.194012666,1.739311674,3.074781549
ACVR1C,0.037739427,0.007533269,0,0.013253547,0
ACVR1,0.05568297,0.030073989,0.038446847,0.092293505,0.028107601
PKP4,0.03555124,0.027226717,0,0,0
WDSUB1,0.082981524,0.080506692,0.206891424,0.218410018,0.103135197
BAZ2B,0.109774413,0.200714704,0.168171316,0.207375795,0.154140367
AC009506.1,0.004249619,0.075887503,0,0,0.044520474
AC009961.3,0.01686364,0,0,0.014236497,0.031213873
MARCH7,0.536495987,0.18542263,0.482341068,0.675624052,0.356855164
CD302,0.035353024,0.923024784,0.063675315,0.006748663,0.866834351
LY75,0.046883299,0.059321798,0.062341678,0.06620748,0.035696437
RBMS1,0.7757448,0.570810777,0.339085723,0.640898257,0.541044984
TANK,0.505512091,0.526479622,0.773727423,0.363597552,0.734066992
AC009299.3,0.026097099,0.009639344,0,0.012153253,0
PSMD14,0.634954889,0.3428589,0.842339878,0.524047461,0.313242466
SLC4A10,0.016262132,0.00527194,0.01109857,0.361533365,0.012910372
DPP4,0.187610392,0.017642355,0.012419367,0.367576767,0.025423115
IFIH1,0.131961075,0.156033567,0.173968557,0.053751271,0.152664605
GCA,0.313350149,1.995347992,0.815220178,0.158767822,2.174531369
COBLL1,0.016106462,0.016529414,0.305311034,0,0
SLC38A11,0.003714563,0,0.063377914,0,0
GALNT3,0.020216114,0.034187133,0.056149702,0.067619092,0.034148447
TTC21B,0.054849438,0.043236227,0.065118969,0.005106679,0.01217401
STK39,0.039835443,0.011766287,0.039342206,0.087253021,0
CERS6,0.064121204,0.052171189,0.039012152,0.04158188,0.048955696
DHRS9,0.006587869,0.023741061,0.003556364,0,0.031998203
FASTKD1,0.035469385,0.004147768,0.037581363,0.144147728,0.015260885
PPIG,1.195365657,0.679461891,1.181673863,0.848807299,0.489591761
PHOSPHO2,0.021684499,0,0.025642566,0.026456986,0.011315686
KLHL23,0.011454981,0,0,0,0
SSB,1.360283171,0.833783603,0.992499273,1.4688568,1.471210002
METTL5,0.66508259,0.295410431,0.637303998,0.636266179,0.432008265
UBR3,0.113280803,0.036111077,0.095338224,0.057123852,0.121394537
GORASP2,0.446409905,0.141283179,0.302696482,0.359717719,0.179166633
TLK1,0.13588296,0.050666889,0.108409458,0.073051588,0.087824011
METTL8,0.11692215,0.052998893,0.249543039,0.085898721,0.012910372
DCAF17,0.041941357,0.0499661,0.083385057,0.067569238,0.046893085
CYBRD1,0.012487537,0.068371016,0.044034047,0.018177275,0.113114737
DYNC1I2,0.184572934,0.203092165,0.129938554,0.182837228,0.236845844
SLC25A12,0.175977181,0.014566251,0.0307743,0.161295757,0.060827363
HAT1,0.237044937,0.092646775,0.121839872,0.196315634,0.348022498
METAP1D,0.090423953,0.02124076,0.063739705,0.058709747,0.037989272
ITGA6,0.162695628,0.010568994,0.023906759,0.043702697,0.024139837
AC078883.3,0.030796921,0,0.047997656,0.04646619,0
AC093818.1,0.025193001,0.0223328,0.049509608,0.029623943,0
PDK1,0.160320219,0.022684242,0.076579939,0.107686915,0.071556395
MLTK,0.057530255,0.164184661,0.014266414,0.017717271,0.1473561
CDCA7,0.014181868,0.005162383,0.020091699,0.062025394,0
SP3,0.227178895,0.206220845,0.20953021,0.314800976,0.143041441
OLA1,0.663782078,0.816656785,0.657202628,0.40899478,0.477695305
CIR1,0.48163035,0.892307134,0.564934198,0.409162673,0.626986881
SCRN3,0.032454199,0.051593874,0.106401902,0.025230435,0.015046463
GPR155,0.351198845,0.065435867,0.061904503,0.091396427,0.284585797
WIPF1,1.089355515,0.540477878,0.928937055,1.513814259,0.805242469
AC010894.5,0.007612819,0.005327792,0,0.05232041,0
CHRNA1,0.012131768,0,0,0,0
CHN1,0.017969771,0.005094776,0,0.012112623,0
ATF2,0.140991509,0.061060572,0.171560647,0.119209704,0.133088602
ATP5G3,2.291079702,3.141329845,2.136100494,2.351382387,4.154894403
KIAA1715,0.09583318,0.051398291,0.05617418,0.272936908,0.110534647
MTX2,0.227455124,0.184053218,0.280753687,0.157573136,0.2043487
HNRNPA3,1.660113774,1.565371125,1.481163014,2.742306449,1.212736637
NFE2L2,0.310878346,0.364950348,0.321276281,2.329485236,0.288935734
AC079305.10,0.032625259,0.035104791,0.024288174,0.051858705,0.015119718
AGPS,0.128789201,0.135108784,0.019582607,0.059796981,0.041824286
TTC30B,0.006163754,0,0,0.012871007,0
TTC30A,0.006278555,0,0,0.007432181,0.011321874
RBM45,0.031058971,0.0619909,0.042529005,0.081912007,0.020884937
AC009948.5,0.027577367,0.055176381,0,0.023219637,0
PRKRA,0.455658303,0.246072922,0.647306831,0.25891709,0.254655338
FKBP7,0.018510058,0,0.021599718,0,0.017129565
PLEKHA3,0.258825359,0.135684525,0.250811541,0.560595587,0.099694742
TTN-AS1,0.060914981,0.063374155,0.523072738,0.025388852,0.069652877
TTN,0.029621,0.020895521,0.04259936,0,0.040263114
CCDC141,0.017699729,0.005891016,0.042322858,0.004312036,0
SESTD1,0.047680718,0.137645444,0.296069467,0.028628804,0.169248856
CWC22,0.136999737,0.04830263,0.132727267,0.218163486,0.168970693
UBE2E3,0.447009642,0.682902406,0.365267962,0.713558995,0.854418327
AC104820.2,0.039142301,0,0.011409703,0.098726831,0.017437339
ITGA4,0.439506273,0.411108632,0.684021538,0.494713656,0.558454436
CERKL,0,0.005417382,0.014447276,0.011122604,0
SSFA2,0.038057967,0.112064243,0.072806106,0,0.109260337
DNAJC10,0.150911646,0.112459969,0.83255177,0.139877411,0.072482865
NCKAP1,0.006432535,0,0.008984556,0.029820481,0
DUSP19,0,0,0.008984556,0.013139396,0
NUP35,0.063704077,0.015221137,0.08451646,0.066346391,0.015934274
RP11-438L19.1,0.009554183,0.007533269,0,0,0
ZNF804A,0.002100705,0.011635352,0.027374708,0,0.012657795
AC008174.3,0.005128965,0,0.019341499,0,0
AC097500.2,0.048280162,0,0.104236097,0,0.026238253
ZC3H15,0.946108214,0.99571151,1.579869144,1.114776012,1.329613316
ITGAV,0.019640813,0.017760018,0.028090243,0.014456612,0.012301803
CALCRL,0,0.017526848,0.016411307,0.015934858,0
WDR75,0.067448456,0.038236769,0.076449052,0.142102869,0.012074611
SLC40A1,0.251843467,0.114497387,0.035620587,0.051064043,0.113731807
ASNSD1,0.38535499,0.1931027,0.240484749,0.503189384,0.298609736
ANKAR,0.040992209,0.007044263,0.16749815,0.027400333,0
OSGEPL1,0.047747144,0.043264261,0.044613887,0.102777107,0
OSGEPL1-AS1,0.010011136,0,0,0.004312036,0
ORMDL1,1.014045449,0.560727459,1.188257392,1.109868132,0.751244013
PMS1,0.072934298,0.056914036,0.066134977,0.143865924,0.066752339
C2orf88,0.001694882,0.011435694,0,0,0.017101267
HIBCH,0.195995881,0.105101707,0.208849492,0.203287881,0.062747901
INPP1,0.058126475,0.20857206,0.046253173,0.082830838,0.055178944
MFSD6,0.067432539,0.042605987,0.109744636,0.106322138,0.044421075
RP11-647K16.1,0.003262077,0,0,0.013601834,0
TMEM194B,0.048110959,0,0.057520608,0.01752449,0.013452848
AC093388.3,0.013055907,0,0.019895271,0.080164502,0
NAB1,0.064548532,0.095294326,0.012180431,0.04445103,0.049908754
GLS,0.188570386,0.061237319,0.174498728,0.184668078,0.070936498
STAT1,0.801521428,0.659654443,0.533376158,0.606934075,0.567093599
STAT4,0.415829565,0.058198954,0.082016996,0.715388587,0.151762999
MYO1B,0.003484075,0,0.025436749,0,0
NABP1,0.185306068,0.206731639,0.067154342,0.140130849,0.771319727
SDPR,0.038546107,0.031387149,0,0.104643952,0.14966783
SLC39A10,0.08822964,0.054949425,0.200567509,0.140338056,0.060633553
STK17B,1.118532987,0.899722743,0.850946386,0.930785483,1.1755411
RP11-347P5.1,0.65814795,0.553224407,0.707812971,0.600164995,0.946647708
AC020571.3,0.059975703,0,0,0.024433069,0.010940955
GTF3C3,0.056093525,0.034946799,0.052762331,0.029073726,0.029160808
PGAP1,0.08322261,0.006229171,0,0.079774382,0
ANKRD44,0.815795059,0.138638678,0.872400135,0.664961308,0.443614014
AC013264.2,0.456168093,0.005464765,0.044477474,0.212487884,0
SF3B1,0.948959241,0.380149403,0.883332332,0.863335703,0.357619232
COQ10B,0.425325943,0.110540007,0.316741306,0.435806851,0.342905754
HSPD1,1.174740678,0.562554743,0.62209139,0.830334783,0.837073852
HSPE1,1.355856017,0.447382749,0.980893964,1.458198622,0.793738932
MOB4,0.389234519,0.168417387,0.425022695,0.421826265,0.340374053
MARS2,0.021803491,0,0,0.028993995,0
PLCL1,0.031996055,0,0,0.021219259,0.013585258
FTCDNL1,0.058682868,0.068322381,0.011323541,0.025139208,0.109616632
C2orf69,0.163711345,0.065140103,0.141388415,0.20691767,0.08395402
TYW5,0.036052289,0.055937081,0.19783883,0.074743521,0.070230704
C2orf47,0.117607619,0.112006248,0.120733951,0.112357859,0.117244229
SPATS2L,0.127407183,0.136725262,0.014461881,0.201723651,0.117744051
KCTD18,0.11340505,0.090651973,0.149401758,0.177749504,0.091251306
SGOL2,0.023649291,0,0.047748987,0.025422959,0
BZW1,0.787625709,0.41737196,0.736091958,1.155392954,0.565483668
RP11-469M7.1,0.00307643,0.005960843,0,0,0.065092056
CLK1,0.62329897,0.243911858,0.767965023,0.434105676,0.446218981
PPIL3,0.199920578,0.060507709,0.175909513,0.112463968,0.099430301
NIF3L1,0.111101906,0.052163703,0.149495185,0.140451504,0.183315809
ORC2,0.250396916,0.06470623,0.072112659,0.070844591,0
FAM126B,0.21619375,0.070519134,0.133454004,0.087085395,0.05841241
NDUFB3,0.566488079,0.935400743,0.505152983,0.812478613,1.03710782
CFLAR,0.870417424,1.040397405,0.661208397,1.508742687,1.010014993
CASP10,0.064475292,0.162856641,0.14391527,0.100767628,0.212484399
CASP8,0.517912321,0.285100216,0.304877653,0.65885123,0.148296698
ALS2CR12,0.008383669,0,0,0.028755464,0
TRAK2,0.095600014,0.044505508,0.158728229,0.088326973,0.04560394
STRADB,0.180064374,0.065036855,0.219267178,0.136617967,0.099074847
TMEM237,0.03934073,0,0,0.053123578,0.024139837
ALS2,0.036863066,0.009730324,0.022119587,0.006081726,0.027703747
SUMO1,1.431809173,1.227052827,1.324171304,2.067579337,1.367220651
NOP58,0.760805656,0.206346243,0.528560446,0.425166239,0.227393112
RP11-686O6.2,0.018689212,0.037929923,0.046699783,0.029180089,0.039646028
BMPR2,0.090970558,0.082097912,0.080788141,0.275975766,0.057676555
FAM117B,0.089931659,0.02660193,0.113697561,0.037836649,0.049993535
ICA1L,0.075826366,0.029253242,0.085261288,0.042716237,0.04333578
WDR12,0.086982354,0.025971621,0.124217344,0.040110415,0.039872018
CARF,0.062856271,0.020185513,0.084711287,0.110535934,0.01531356
NBEAL1,6.18807467,4.720908765,6.769032604,4.5776067,4.832506213
CYP20A1,0.22663225,0.147674704,0.206902469,0.246968897,0.193524994
ABI2,0.138168521,0.130520525,0.149950378,0.15405687,0.076167729
RAPH1,0.003138558,0.005146919,0,0,0.015306013
CD28,0.532387054,0.094096325,0.133008452,0.320770005,0.031019922
CTLA4,0.030815022,0,0,0.029477583,0
ICOS,0.322841394,0.01162185,0.017728705,0.116655826,0.013621009
NRP2,0,0.011207932,0.034561114,0,0
INO80D,0.099248473,0.039264058,0.161585254,0.025772633,0.056311697
AC007383.3,0.009609963,0.011266971,0.056060054,0.006081726,0
NDUFS1,0.12697989,0.129306885,0.052098311,0.127777642,0.177355443
EEF1B2,17.81928727,8.747440089,19.33840938,12.36836656,7.17192
ZDBF2,0.036621595,0,0.046027197,0,0
ADAM23,0.006787652,0.005289522,0.018020258,0,0
FASTKD2,0.112023369,0.057387518,0.075374051,0.198778537,0.03615799
KLF7,0.121739704,0.207874368,0.182760528,0.009106348,0.151889487
AC007879.7,0,0.02003974,0,0,0
CREB1,0.236257029,0.126400149,0.480020333,0.35100967,0.205480876
METTL21A,0.317957806,0.227338878,1.034134464,0.250995045,0.417786227
AC079767.4,0.003537894,0,0.760230891,0.009106348,0
CCNYL1,0.01051676,0.06165312,0.044731492,0,0.013796491
AC096772.6,0.012353523,0.007745513,0,0,0.027266663
PLEKHM3,0.006875258,0.006204802,0,0,0.017403138
IDH1,0.084652434,0.156489996,0.210914027,0.029721432,0.07313156
PIKFYVE,0.074741621,0.081283039,0.181919977,0.058270763,0.111395801
RPE,0.092569251,0.093727135,0.074881605,0.084391519,0.159471265
KANSL1L,0,0.02742553,0,0.043401369,0.011622717
RP11-260M2.1,0.01087109,0,0,0,0
AC006994.2,0.008632924,0.013268055,0,0.030758848,0
LANCL1,0.088983223,0.026318264,0.08058095,0.096920892,0.104198512
IKZF2,0.03669908,0.024726102,0.0676262,0.014683641,0.012601299
RP11-105N14.1,0.002711284,0,0.02532447,0.012287201,0
SPAG16,0.150263274,0.010373945,0.118467004,0.104025576,0.014785004
BARD1,0.032869012,0.023922792,0.053449717,0.031344958,0.043485183
ATIC,0.407910493,0.234807226,0.551424271,0.423908038,0.301126806
PECR,0.13728754,0.042377037,0.059572709,0.071965907,0.016166528
TMEM169,0.004346086,0.009625843,0,0,0.019029351
XRCC5,1.339832333,0.79082424,1.544329689,1.640066855,1.000958985
RP11-566E18.3,0.012844404,0.014586833,0,0,0
SMARCAL1,0.093490775,0.046675945,0.093541769,0.036067793,0.040576447
RPL37A,25.26097061,17.18609129,26.0484186,18.06845347,12.2109313
TNS1,0.005039502,0.031090717,0,0,0
CXCR2,0.00965694,0,0,0,0.014084309
CXCR1,0,0.00824083,0.02787674,0.007386725,0
ARPC2,6.841168833,12.94162629,7.534552364,9.891802413,18.34710109
GPBAR1,0.028902499,1.172319625,0.01001407,0.024449274,1.654370256
AAMP,0.384871391,0.566143023,1.046015361,0.48714727,0.690134885
PNKD,0.568255482,0.777530818,0.868224011,0.651167665,0.828268249
TMBIM1,0.454107244,0.23657736,0.468476912,0.60137921,0.489255499
C2orf62,0,0.018141837,0,0,0.02837882
SLC11A1,0.067417271,1.504719478,0.188530234,0.044044742,1.690880263
CTDSP1,0.501878183,0.520229397,0.397957199,0.47184087,0.558283823
RP11-378A13.2,0.003717736,0.056536527,0.004630266,0,0.031039906
VIL1,0.011030697,0,0.016233634,0,0
USP37,0.045246416,0.009970289,0.130586384,0.058232488,0.045699183
RQCD1,0.153334501,0.091634776,0.092776027,0.165322419,0.071849605
ZNF142,0.01430099,0.031341089,0.025060405,0.009663865,0.015665019
BCS1L,0.049604743,0.028630269,0.280540632,0.076807758,0.06838529
RNF25,0.162104063,0.097988998,0.067749347,0.087532892,0.210247483
STK36,0.01199696,0,0.012781529,0.01491024,0.041735737
TTLL4,0.00963738,0.107395024,0.037069181,0.061827413,0.04279056
CYP27A1,0,0.376769242,0,0.025673502,0.011262339
WNT10A,0.06865675,0,0.168055586,0.029045023,0.017761453
RP11-33O4.1,0.011419324,0,0,0,0
NHEJ1,0.077175139,0.050665935,0.048736724,0.049464159,0.067574036
SLC23A3,0.009596892,0,0,0,0
CNPPD1,0.278446045,0.332139569,0.367614337,0.361432431,0.678437851
FAM134A,0.308809212,0.368745486,0.403860613,0.460716418,0.323024312
ZFAND2B,0.561327009,0.363832262,0.386791946,0.474165492,0.439455902
ATG9A,0.073907652,0.075820448,0.073151978,0.028014267,0.085471428
ANKZF1,0.21445699,0.211669169,0.318973535,0.369111173,0.124201247
GLB1L,0.003228197,0.03706195,0,0,0.037128091
STK16,0.295880032,0.291323966,0.314375979,0.426730939,0.241353815
TUBA4A,1.653579171,0.714468635,0.939179202,2.198401696,0.875600189
DNAJB2,0.324092632,0.166411924,0.154017123,0.428903628,0.254545938
DNPEP,0.390780681,0.383649741,0.51360867,0.420997391,0.327823594
SPEG,0.007734056,0,0,0.013975654,0
