gse,cell.types,n.cell.types,title
GSE64914,"B cells, CD4 T cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE65010,"Naive T cells, Tregs",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE65856,"B cells, T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE65928,"B cells, Naive B cells",2,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE66792,"B cells, Macrophage",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [CDF: Broad GenePattern]
GSE6740,"CD4 T cells, CD8 T cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE6743,"Memory T cells, Naive T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE67596,"Neutrophils, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE68003,"CD8 T cells, PBMC",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE69030,"Basophils, Mast cells",2,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE71566,"CD4 T cells, Naive CD4 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE71646,"CD4 T cells, Naive CD4 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE71725,"B cells, NK cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [Gene Symbol Version]
GSE71730,"B cells, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE76492,"Neutrophils, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE76830,"fibroblast, T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE76832,"fibroblast, T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE7753,"NK cells, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE78909,"Th17 cells, Tregs",2,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [Hugene20st_Hs_ENST_20.0.0]
GSE79706,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE81408,"Memory CD4 T cells, Naive CD4 T cells",2,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE8286,"Macrophage, Monocytes",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE83441,"B cells, GC B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE84331,"CD8 T cells, Naive CD8 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE84464,"B cells, GC B cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE84688,"Monocytes, T cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE8835,"CD4 T cells, CD8 T cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE8921,"Dendritic cells, Monocytes",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE89282,"B cells, Naive B cells",2,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE93984,"B cells, GC B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE93986,"B cells, GC B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE94801,"B cells, Macrophage",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE95298,"endothelial, fibroblast",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE95502,"fibroblast, Naive CD4 T cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE95505,"fibroblast, Naive CD4 T cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE976,"Monocytes, Neutrophils",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE9801,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE9891,"endothelial, NK cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE9899,"endothelial, NK cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE99316,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE9946,"Dendritic cells, Immature Dendritic cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE995,"Monocytes, Neutrophils",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE10021,T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE100246,NK cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE100248,NK cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE10026,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10038,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10040,PBMC,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE10046,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE100534,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE100617,fibroblast,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE100712,endothelial,1,"[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [CDF: hugene10st_Hs_ENTREZG, Brainarray version 21]"
GSE100786,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE100788,endothelial,1,"[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [CDF: hugene10st_Hs_ENTREZG, Brainarray version 21]"
GSE100865,Neutrophils,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE101126,endothelial,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE101140,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE10125,fibroblast,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE10147,Plasmacytoid Dendritic Cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE101587,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE101589,B cells,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE101602,endothelial,1,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE10172,GC B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE10178,CD8 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE101855,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE101941,fibroblast,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE102042,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE102046,Monocytes,1,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE102459,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE102760,B cells,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE102765,B cells,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE102771,NK cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE102862,PBMC,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE103101,endothelial,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE10315,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE103381,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE103552,endothelial,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE10358,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE103642,fibroblast,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE103766,Tregs,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [CDF: Brainarray HGU133Plus2_Hs_ENTREZG_v18]
GSE103769,Tregs,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [CDF: Brainarray HGU133Plus2_Hs_ENTREZG_v18]
GSE103906,CD8 T cells,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE103927,PBMC,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE103944,GC B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE104190,endothelial,1,"[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [CDF: hugene20st_Hs_ENTREZG.cdf, Brainarray version 20.0.0]"
GSE104195,endothelial,1,"[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [CDF: hugene20st_Hs_ENTREZG.cdf, Brainarray version 19.0.0]"
GSE104196,endothelial,1,"[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [CDF: hugene20st_Hs_ENTREZG.cdf, Brainarray version 19.0.0]"
GSE104224,NK cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE10437,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE104373,Monocytes,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE104374,Monocytes,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE104377,Monocytes,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE104597,PBMC,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE104616,fibroblast,1,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE104617,fibroblast,1,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE104619,fibroblast,1,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE10463,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10479,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE105150,CD8 T cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE10524,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE105437,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE105457,endothelial,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE10586,Tregs,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10595,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10612,Monocytes,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE106151,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE106239,fibroblast,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE106475,CD8 T cells,1,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE106532,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE106963,PBMC,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE107105,fibroblast,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE10767,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE107677,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE107683,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10778,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE107818,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE108035,fibroblast,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE10804,endothelial,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE1081,fibroblast,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE10821,GC B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10831,GC B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE108384,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10846,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10880,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE108835,fibroblast,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE10896,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10927,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE109450,fibroblast,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE109554,Dendritic cells,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE10957,NK cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE109662,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE109696,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE109836,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE109837,B cells,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE110023,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE110064,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE110335,endothelial,1,"[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [CDF: hugene20st_Hs_ENTREZG.cdf, Brainarray version 20.0.0]"
GSE11038,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE110545,Th17 cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE110825,NK cells,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [HuGene-2_1-st_byTranscript-fsetid_pd.hugene.2.1.st  version]
GSE11118,T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE111474,PBMC,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE11151,Myeloid Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11188,CD8 T cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE11190,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE112209,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE112210,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE112211,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE112260,Macrophage,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [probe set (exon) version]
GSE112809,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11281,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE112953,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE113088,PBMC,1,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array (Brainarray ver. 19 custom CDF)
GSE11327,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11341,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE11342,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE113625,CD4 T cells,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE113645,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11373,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE113889,Memory CD4 T cells,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE113945,T cells,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE1140,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE11418,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE114378,fibroblast,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE11450,fibroblast,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE114707,PBMC,1,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE115296,Basophils,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE116276,T cells,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE116387,NK cells,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE116660,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE116912,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE117139,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11755,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11761,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11767,fibroblast,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE117676,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE117680,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE11854,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11864,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE118642,Macrophage,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE11881,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11886,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE118958,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11907,PBMC,1,[HG-U133B] Affymetrix Human Genome U133B Array
GSE11909,PBMC,1,[HG-U133B] Affymetrix Human Genome U133B Array
GSE11919,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE119374,Tregs,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE119375,Tregs,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE119416,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE119425,fibroblast,1,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE12011,endothelial,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE12039,endothelial,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE12108,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12131,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12187,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12198,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12246,endothelial,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE12293,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12484,Neutrophils,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE12488,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12583,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12585,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE12586,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE12587,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE12662,Neutrophils,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12668,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE12679,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12734,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12773,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12806,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12839,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE12846,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12875,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12891,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12907,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE12963,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13054,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13139,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13210,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13296,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13330,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13496,T cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE13501,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13576,White blood cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13591,Plasma cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE13606,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13637,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13670,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13712,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13727,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13732,Naive CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13736,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13738,T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13816,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13828,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13837,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13849,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13850,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE13887,T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13896,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13899,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13906,gamma delta T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13909,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13917,Naive B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13931,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13996,B cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE14000,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14062,White blood cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14230,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE14256,fibroblast,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE1427,NK cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE14317,CD4 T cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE14334,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14335,fibroblast,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE14340,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14347,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE14386,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14390,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14405,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
