Gene,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16
CCNYL1,15.36708822,20.25417681,13.4258862,12.57735407,12.86245377,10.78497864,8.762752125,13.86929898,13.65714546,17.53104561,16.73335841,10.30674378,12.6402339,11.47043903,14.41331119,12.43761546,14.55296948
CCP110,4.219202946,9.154002966,8.304394521,9.402099139,8.227640299,8.610374544,9.466522659,9.855545979,9.110640074,10.59307722,9.596689597,7.78072571,8.313774471,9.234912649,9.656065337,6.500951453,10.57192542
CCPG1,40.67510996,45.07650331,61.91880078,65.06310894,28.74827036,56.39841453,53.00026666,66.20996798,38.03873878,39.89258075,55.44939477,57.91033759,79.64711251,32.08821767,51.97090942,40.82781639,45.15459993
CCR1,27.06704848,26.63766989,90.17558794,73.48284173,27.78487502,62.82135474,52.65279095,179.4153417,115.7598067,52.60972509,42.5163548,35.90780838,104.7878904,17.85449613,64.07450703,54.98499423,49.78212059
CCR10,0,1.897230993,1.954257094,0,0,1.921079666,0,4.353664913,0,0.603371957,0.395497331,4.090346358,0,0,0.715687194,0.958176671,0.901635402
CCR2,8.836722641,16.90802822,30.81261141,35.36081372,5.535927402,13.61068572,9.220794989,18.8102544,33.64551616,15.25371688,10.70638208,28.34538365,18.41987737,6.504284867,9.428451847,6.453549428,22.45847654
CCR3,0,2.344274985,3.65921366,3.632935548,1.185964944,3.566163046,2.426056543,2.758040217,11.25459927,3.473326916,4.661765213,0,1.304019796,6.246314727,3.974537045,1.775630914,2.885214288
CCR4,2.655258685,13.44203471,15.34940161,18.27225606,8.155158115,13.62720901,6.839773835,15.71994296,22.82766045,8.855100569,3.802214435,14.57829919,10.42121352,4.001482653,5.330588223,4.751530111,7.377965854
CCR5,4.74291555,7.809561483,13.86484458,21.3687823,10.35505757,7.319782101,6.730078634,29.56891424,30.00979642,9.583213805,11.1025538,6.568765987,14.92641636,3.569689372,12.45138774,12.13213577,12.54075174
CCR6,2.027707306,6.238984401,4.330942338,6.188437175,2.905605045,4.375378589,4.122403893,15.835971,9.852636487,4.058161762,3.423456434,7.521750693,9.134379942,4.009872478,3.395212744,5.322166753,3.996645932
CCR7,10.72608724,22.71579192,53.58266568,51.78155483,52.99904103,48.09649526,37.2022665,94.73077111,106.4070901,24.83120204,27.57368692,48.38997855,27.60245955,26.43597488,34.0634949,36.903197,24.37469237
CCR8,0,3.052951295,3.161106447,1.991344304,0,4.640679788,3.106298152,3.547784868,1.717480485,0.983032371,0.323304996,0,0,0,0.236701425,0.894313972,2.773691934
CCR9,0,0,0,0.980895293,0,1.742846533,0,3.064368044,0.988610003,0.188563815,0.280904899,1.872523798,0,0,0.390305965,0,0.516926593
CCRL2,2.78248135,3.841067084,5.321273297,4.355866342,3.020223237,9.095757372,1.520456803,15.64589362,15.98015987,1.52425979,4.120846633,1.617931531,6.594097383,2.966662263,5.663206826,5.28225341,5.988171637
CCS,77.0791538,54.19821593,60.12946454,69.39823445,45.90972805,36.39895398,51.21362885,65.82328567,73.3981563,66.55929529,69.59252802,73.97713014,60.90701693,75.52329972,67.45927665,77.13244595,73.54369672
CCSAP,3.864124134,6.657672047,12.36226231,9.922404261,7.153294519,7.161021233,10.3725663,11.93436838,12.8335425,10.50042876,10.26273987,12.14187919,12.00903605,8.52817736,8.981472345,6.524686685,9.953335636
CCSER1,0.770188282,2.303370851,0,2.383398776,2.371884551,1.168032015,0.79452075,1.355929038,1.208304484,1.233044943,1.41416278,5.00670064,1.754105653,2.284440638,1.269179356,1.744630816,1.310001236
CCSER2,10.37468436,9.401548592,18.07839919,19.74353112,14.31066935,14.64549449,13.24707431,30.71514989,22.72813478,12.40612846,13.56001782,24.76935423,13.30194634,20.43190676,15.54691801,14.23741617,13.85914107
CCT2,269.7923764,269.8520995,184.9040531,148.7723367,227.3639739,207.5653435,267.1797801,64.25111345,110.8669857,268.9782934,267.8896724,201.9505484,112.6240541,305.5139858,251.4117958,235.1002429,262.3562188
CCT3,298.6374943,260.962483,186.2658343,182.0512741,232.4648722,212.6225046,231.5554622,69.24941568,111.7149758,264.45158,273.2602953,195.674964,138.6926745,251.1915123,264.5931603,271.2435816,277.3559246
CCT4,185.064354,181.0951944,124.7075046,126.0000391,155.7083021,140.4532684,144.308811,64.86339102,89.10108215,170.1687815,164.6542547,109.2523836,95.3803719,201.0540008,163.3168193,140.0465394,170.9711891
CCT5,310.3982918,295.4839969,181.169001,173.1515152,232.6583016,233.2109922,262.8170886,44.38794402,97.56862692,276.793074,272.0515349,229.7605983,158.0371614,272.7928905,262.0511984,261.7101769,271.6182796
CCT6A,173.3081952,159.0296978,106.756228,117.9644553,145.990113,118.2709376,130.6467928,55.69535179,72.56780222,154.6962371,150.5728188,115.722399,84.83818132,163.2575027,146.3806991,147.8181581,153.0966337
CCT6B,5.229602328,0,2.749130706,0,1.33861413,4.026121996,1.347166423,1.549175964,1.4997372,2.50179469,1.429825361,1.412850555,0,2.626919677,1.625938209,0.668457417,2.61799445
CCT7,420.0269383,387.7698329,232.615844,214.3716079,342.9256806,242.1217934,337.7218123,80.11959989,155.7102963,333.2114323,335.0152393,233.6445721,176.4234073,310.6666044,328.1752619,302.9153728,341.3070669
CCT8,209.4893322,224.9591042,158.6214676,188.7273285,215.9799076,164.9613668,193.8193348,140.2416342,139.0762239,207.9569304,209.0757939,187.7849717,151.5350794,210.4816533,205.0244779,181.9365312,212.8410704
CCT8L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011068713,0,0.057168693
CCZ1,37.7969558,34.27809521,36.31580944,57.61313069,36.60253957,53.15759589,51.16538878,29.74083235,42.18214477,57.609548,45.42246329,63.85596873,31.54473795,52.79517495,48.04914361,49.32550529,52.0003766
CCZ1B,94.92379827,64.24661289,71.87156204,55.91469587,68.29135377,75.81578266,89.61056183,77.89380524,53.49443918,75.55457854,80.17688465,58.21671207,55.0997363,61.04894173,76.19628201,66.72676056,76.98871107
CD101,5.649891505,5.724686033,11.68958187,14.07771228,3.766806735,5.866267982,9.069141394,14.11452138,10.33258113,9.735593737,6.464953232,4.171479162,14.35425334,4.410039965,5.100193253,5.314656008,9.360526932
CD109,2.354764319,2.385533881,4.875805179,4.819722043,2.212548437,3.65942743,4.858160087,5.053690662,6.422674283,3.435521489,3.173866254,3.470492213,4.849372868,1.749855048,2.962755813,4.817921136,3.724962441
CD14,70.90838837,81.11281893,232.3679128,253.445311,49.87238969,244.2856461,129.3395549,568.888816,372.6197105,155.3152241,121.1002669,244.4957021,479.3554139,103.9147595,150.2566532,204.1399705,166.994361
CD151,152.6231041,170.1352439,85.83134779,93.9950064,138.8896811,108.7486622,126.3820083,37.82489786,60.22145246,143.4982554,141.6997576,109.2026004,89.3722112,138.989879,135.6358528,119.5687269,136.9801822
CD160,0.607950391,4.64829187,10.1912646,12.61793737,23.77661591,6.288484783,6.296420786,10.81922706,17.55683091,5.741705195,7.595823056,9.38330723,49.00069407,1.222415507,11.54448532,9.242287347,7.039753908
CD163,8.690899771,12.18769792,25.06385033,23.28576506,26.35220997,21.12358092,12.07722996,50.36422233,31.308011,15.72861943,29.32783113,17.84797042,41.96704034,8.804623205,9.81369872,17.51238426,15.58260668
CD163L1,0,1.320824451,0,1.01322424,7.147034914,1.341623996,0.448479504,4.784494368,0,0.539523666,5.601364438,0.482275948,2.996268756,0.435855022,0.360594863,1.555967987,0.489077165
CD164,152.0493901,134.5447935,154.2138697,167.4965677,130.8657617,145.0205403,154.2199373,208.5960502,186.5465938,148.6260493,164.6225971,158.1510709,174.953239,147.1633997,155.6626176,147.7132237,164.6200083
CD164L2,1.448905855,1.466813868,0,0,1.482478848,0,1.492531917,1.70808316,0,0.788755697,0.46720488,0,0,0,0.638262371,0,0.628784824
CD177,0,0,0,0,0.913983907,0.915714228,4.593926794,3.215446922,0,0.395737838,0.491061605,7.867729245,3.033272224,0,2.808348117,0,0.14793274
CD180,3.805901858,6.169191226,14.52670538,19.40923985,8.595570973,3.913655187,1.570486059,11.96220894,16.02981037,11.04039881,8.146311326,10.94114542,18.20728912,2.292174654,4.126648056,6.229722939,8.381841202
CD19,2.204112787,10.08834225,8.13630859,8.884812499,16.94235634,2.264016648,16.68345457,43.4166623,33.02706412,2.186414652,2.784117106,49.61187641,31.08718714,4.427249281,3.034880359,11.27129061,5.042214088
CD1A,1.016040683,6.174393498,8.584201029,11.92861638,51.66024578,16.70315158,2.095181752,45.02130547,12.95552322,11.86574116,55.68041206,4.479695441,34.47470203,0,5.320801742,19.20436001,9.04029513
CD1B,14.66073525,16.48780029,32.25085951,51.00534245,47.17320756,23.38551527,5.032130079,93.59940316,41.91423426,28.98249737,57.12893634,3.56437104,48.91561612,4.020037507,15.11770109,21.84269184,27.70471137
CD1C,10.41622785,8.928763881,19.49435398,28.81114697,17.27014129,4.119126981,5.862221653,22.17813686,22.62605919,18.58707876,26.50356869,20.36636164,27.10627063,4.021620493,8.411116656,4.918064397,14.70949478
CD1D,7.925972073,6.418197552,9.957407866,24.27275683,1.990862881,7.295562324,5.316463394,21.51585181,22.65220995,11.08071134,7.931268153,31.00832064,25.07082062,11.17851384,5.686471142,6.97710839,13.60452509
CD1E,0,11.47734419,11.75896476,13.29803897,32.46248964,3.770427109,1.533603921,17.64563708,12.583951,11.03464644,30.54271436,0,14.88475858,3.286063556,3.946915296,7.127998103,6.077953773
CD2,16.0364227,21.8760501,53.23277847,55.65221838,41.76424582,47.36430432,40.83748574,75.12115869,117.5591881,27.23394077,28.69380515,47.59992791,30.76427482,27.64334071,43.50730633,22.09633412,34.91512906
CD200,0,1.010926128,5.507762707,0,3.070392923,0,2.844805264,11.13282081,1.157728372,0.837505577,0.682271112,11.55623993,11.56854798,0,0.705680686,4.083795893,0.972955473
CD200R1,4.796203542,5.295504306,7.415747908,6.646228962,9.968561487,8.572242706,0,23.38342071,11.94401558,5.1392726,12.42889368,5.661723681,12.20003769,1.085230571,2.581242893,6.635739534,4.12729403
CD200R1L,0,0,0,0,0,0,0,0,0,0,0.198861291,0,0,1.789045252,0.149423111,0,0.199606852
CD207,0,0,2.438009212,0,0,0,0,0,0,0.254499635,0.944882059,0,0,0,0.220909525,0,0.507303784
CD209,8.203508489,12.62128061,28.56337523,38.03502481,41.2340612,18.31630958,2.95402101,44.34331537,29.05853887,15.66509069,46.43159686,6.218935298,36.30796781,4.653864997,12.31291278,11.97263753,17.63116664
CD22,2.382508752,14.9751067,19.29205825,10.19967559,27.26372869,3.33754627,23.13437016,80.11981117,49.10881995,6.170187661,5.873524901,69.57370701,54.08956044,12.32270611,6.168790215,23.07152752,7.845852201
CD226,3.66121592,3.709264873,3.334456288,13.9912229,7.518119623,10.5426221,5.679645444,19.49502448,17.4682146,3.48616337,9.598230242,7.824732598,8.057575206,3.947796823,7.285933988,4.869331158,5.314461898
CD24,743.5113148,627.2216602,382.461713,314.6957792,538.1476312,465.8126037,580.3427652,12.4503852,99.46826408,600.7455756,589.8581671,431.9310584,219.1596516,668.2755202,575.4033943,544.2286931,583.567007
CD244,5.317987011,10.78062529,6.13578746,20.10942289,9.923312883,11.93197663,13.11442374,20.37792695,16.80612797,12.39573405,13.4660396,22.98636996,32.3843668,10.7075982,14.6459442,5.432545435,12.86377234
CD247,26.15727567,43.6996468,71.97201404,126.7980389,91.54383111,105.1848887,63.51182325,185.406232,206.5606884,50.07724606,54.89874756,94.90306,155.5731112,57.95960938,85.33738563,69.13243442,75.06456199
CD248,0,0.823228287,3.44360664,0.940967791,0,1.671001753,0.838228971,1.961011842,2.846872125,0.633492459,0.719279166,0,0,1.631538171,0.681763732,0,0
CD27,14.5480744,5.937650478,26.25849954,30.39896028,22.05005741,39.25698727,10.21956827,51.82096699,64.62659184,9.541173659,14.85927776,38.75884296,23.29928179,15.78748989,19.60777938,17.64400787,14.0930899
CD27-AS1,47.87296819,59.599083,39.9356953,33.33899264,34.76130394,45.71997844,49.11721279,36.09468553,31.01924054,43.87905344,42.31454959,45.41753368,28.01024778,46.08993004,43.59473862,55.42808093,49.67419223
CD274,20.74729951,2.933616402,30.90750206,69.4881825,22.60523808,21.71075413,8.95518018,123.1972299,113.8867921,11.33532149,15.92742619,8.07226639,38.50596489,2.911890956,39.01338223,44.14018975,33.29907047
CD276,82.28487865,63.56633391,39.28081173,57.93125034,54.73247038,55.53739983,45.58646948,21.25113573,28.13232225,61.51172614,63.57493408,39.19045225,36.61944335,59.77261425,60.82465556,60.88035519,63.05735235
CD28,7.065644429,9.54775486,19.9716974,23.56481738,19.58073051,18.48604709,20.39099839,32.53505768,44.26420821,12.95219929,10.19985385,21.18373811,12.72667014,8.96608775,13.69887888,11.09296947,13.47530419
CD2AP,14.8249082,24.80599431,14.11311253,8.938837477,14.65386881,12.03374739,14.39241361,12.62341533,10.43296323,15.36055389,16.16292236,16.66366489,12.71679171,16.17483519,16.29663386,16.23324079,16.17217763
CD2BP2,50.9703569,45.04101679,42.21149979,45.48081173,43.84293738,35.36782437,44.03763532,30.28071749,39.07045125,53.39098619,51.59697938,46.62366044,47.30286178,54.71793727,52.0201945,40.0234514,50.01267672
CD300A,23.06791369,26.93642081,52.57398387,120.8024791,38.55213464,51.63909687,59.24825227,102.9157857,94.84376921,52.9456403,47.53387367,78.56852623,108.1944212,30.98954642,76.97227333,48.41465598,57.45763696
CD300C,4.41794634,10.43563184,20.07715514,28.63649503,1.506598018,16.61940959,6.067626966,20.81499082,18.47324409,17.0333638,11.8178945,9.685292111,50.98941238,14.79854216,11.27497374,8.281276433,15.15979793
CD300E,26.12032539,26.38220322,45.44414602,73.87048302,18.8943316,91.25435131,45.91650678,101.9056278,75.08425138,68.28140764,61.70629848,95.65660598,165.23803,48.90860575,31.11943263,32.38021711,49.96023699
CD300LB,3.667366721,2.786082704,11.63694278,19.07235577,7.981529565,9.423225722,15.1281313,22.03999076,15.40036108,17.05445153,10.8156464,19.22431631,19.9643134,17.51150835,15.0767061,8.641585232,13.33724305
CD300LD,0,0,0,0,0,0,0,0,0,0,0.217300212,0,0,0,0.473994926,0,0.224980806
CD300LF,11.88510974,21.02325161,40.44275902,65.02975496,15.23497304,42.04247794,24.38903462,79.51079182,51.3514915,40.81682119,32.30515898,57.22882021,74.02208888,27.95601432,30.1310183,15.0273715,34.06532158
CD300LG,0,0,0,2.010030141,1.716586669,0,0,0,0,1.17692676,0.567085344,1.198785036,1.240483546,0,0.408346577,0.427992103,0.22561637
CD302,13.11575866,13.55764074,27.58164873,39.88954652,15.29912459,31.3196192,25.35932928,38.75886024,46.87490346,29.53466898,26.9502763,40.84522834,50.18982102,13.05036056,17.9802742,22.89764892,25.17367165
CD320,68.82530197,58.35146463,37.15255773,21.12678723,54.77631098,48.53220127,68.92113179,10.8636789,21.73176605,52.61571311,48.50929615,35.87881538,33.6817337,61.72253608,52.06368121,41.3334004,48.2351983
CD33,19.02238073,30.07638264,24.67487103,59.07673484,18.25182209,16.13235533,19.60025758,54.24461981,43.07871824,33.80635384,31.02665744,38.30440409,80.62829856,19.08941722,19.66385434,15.8168872,33.62155728
CD34,0,0,0,0,0,0,0,0,0,0,0.048928935,0,0,0,0,0,0
CD36,26.40353509,27.02425986,35.10472876,50.23798563,27.66851817,29.08999981,33.84444055,83.31990111,48.13685744,50.58919614,44.26418883,50.91515633,54.02094466,14.46627346,16.74039555,24.8221001,32.35572304
CD37,98.5879361,179.0624324,305.5916709,383.3018307,225.573715,241.1572409,267.2333764,613.0238202,609.5255272,202.0022808,179.2610631,622.0532462,520.0059464,174.0853739,196.2458867,231.4010381,213.5174276
CD38,0,12.17297516,1.635448275,10.31049473,4.612711793,10.56801483,6.101247803,21.22265693,13.22550063,4.237732482,7.769742245,6.491315374,10.43961209,4.531703726,7.734417541,4.78951122,5.12331303
CD3D,22.30239479,53.71271593,114.6580401,85.8668131,56.46696501,68.18016717,45.74279723,129.9916649,157.5257635,40.60155715,46.78568669,91.3322423,58.80437116,52.46817532,77.02223625,51.22939696,44.37597681
CD3E,39.91721987,52.38222651,176.734904,108.2188478,126.7529219,113.7562985,68.5273977,223.8760785,329.8127782,54.43434978,79.08929367,121.1617864,99.06019843,111.42467,127.590666,77.84620288,65.63327026
CD3EAP,34.46117523,28.77388802,18.9801969,27.74353884,21.24481718,21.6305239,23.41679451,14.70811703,13.36681359,27.67173116,28.52800132,24.17294146,19.3109789,33.81042701,26.72394948,23.7127188,27.34319728
CD3G,1.765416292,7.78119267,32.68438563,23.07566168,16.84816917,14.51899374,14.92509269,34.16611128,38.01240131,12.38177043,12.25536958,21.05192873,16.26078987,14.18943187,14.93712134,17.61279745,12.00431603
CD4,42.78262902,51.42624444,117.4244544,159.1224221,72.42188619,106.2975204,52.57038649,239.0663678,141.4500095,79.90949906,107.830374,96.28914953,261.702903,41.01527352,69.88247599,73.17873282,81.57329719
CD40,13.91478294,8.69424231,26.44237793,21.96079994,26.58651047,11.0444325,12.676183,68.68162999,52.42754817,13.1537766,19.91751758,30.5395269,52.44269747,9.614625699,15.56053261,19.8647162,15.79406874
CD40LG,2.47085972,1.249995888,11.22492125,2.832644937,5.057953018,1.266665229,3.67138641,8.453333606,17.74106769,2.097056787,2.131312745,5.524689572,2.768283403,1.238347128,4.209682067,1.211571515,3.322351519
CD44,124.640341,172.6796367,271.5873658,339.8712394,141.7724275,246.7553259,148.3942694,500.3974524,480.2769979,175.9373144,199.2077791,164.7299204,377.3001708,98.83126086,179.4032404,176.8183152,195.5696601
CD46,75.59640717,62.22891362,122.871085,124.2229755,89.32243653,105.3038721,108.153388,175.8050614,126.156251,113.8726277,113.2747303,128.7912836,132.24837,80.20467475,113.1767455,101.6766215,111.6508052
CD47,54.32879652,40.82968172,53.13864541,57.49597364,60.57002334,42.89627486,48.73322863,59.15871219,66.80643444,53.66299541,50.57436002,53.79976114,52.65224361,54.57189553,52.64241967,47.3232024,56.31829137
CD48,59.8495212,139.6395627,235.0820247,274.521633,153.3645377,222.4526106,188.4440589,335.6594693,479.8136375,155.7619458,152.3957414,299.4388795,359.8886404,133.1530375,176.3161141,128.8797446,142.6576329
CD5,7.757660693,21.61549451,41.19800089,49.55879362,36.52138672,31.9210083,19.34506081,59.64746671,83.54640424,18.54130597,17.01056099,26.48457488,21.42271731,18.81514233,25.19996431,20.50417547,23.25148468
CD52,204.336314,348.7244622,883.5864816,733.4424761,530.7938914,534.4996689,511.3702679,1227.396564,1174.714808,408.0612509,392.7052214,1022.019759,914.8622951,521.1024077,506.6425382,464.0059548,394.1431205
CD53,123.5770371,145.8414636,321.4820879,437.6943832,184.5895683,299.9275766,194.3231087,678.190481,522.0283427,212.3075781,249.464647,362.5856418,447.413406,150.9781466,268.2323604,234.5063453,242.5382201
CD55,96.72071894,108.041204,98.9200071,91.31681159,107.55667,87.69120815,99.51552784,147.6288395,97.77116052,112.7082742,106.585098,95.96251097,110.3989046,96.91909324,106.3651897,136.5048375,108.4659674
CD58,22.6489316,20.98363954,19.26130535,68.33649933,59.36331682,41.63478723,22.32420222,57.40173356,74.61279628,40.33685533,34.18861747,47.36235303,48.71322061,16.56778151,34.88431461,32.35062626,41.37544487
CD59,34.39428726,27.18243498,26.75645182,22.70732385,36.75727401,27.89690147,27.63400712,27.35626366,16.59466559,31.77665827,37.55528291,23.56472301,32.44396672,26.88702405,31.33311042,32.37091585,31.69560556
CD5L,0,0,0,0,0,0,0,0,0,0.10462313,0.103803716,0,0,0,0.010099232,0,0
CD6,17.03427361,27.35143513,57.39678866,62.69766609,35.73121191,32.52990491,27.43377686,67.57055638,128.3172273,22.26916973,26.31498216,47.75400206,38.21837913,33.07117267,36.42589064,28.10315282,28.60383053
CD63,979.0799405,967.0107962,750.8108747,805.684832,839.0164284,757.3534982,742.5139909,652.770143,584.9205361,845.8423368,947.0357608,562.6649973,633.3096978,820.1591007,894.029303,936.8127973,915.8259078
CD68,124.8794493,139.8413638,314.5046474,496.8284557,138.3077948,208.9385321,142.9366868,631.4632275,550.195627,264.6884618,223.9077633,216.3054236,539.2277778,122.4529924,229.1950442,259.5768128,268.0941239
CD69,22.30307695,120.8020471,204.0231656,140.9448573,192.4812513,181.9320759,173.3547688,639.4673166,307.7558239,115.1245959,116.8499257,154.1961724,298.6051095,103.4257187,135.1092544,244.3749779,73.01833815
CD7,28.54350219,62.2822284,104.2450403,93.36450537,126.0041849,134.0023893,76.1467356,259.3601545,211.8140934,63.91672023,70.90575482,70.17486698,201.8143675,67.35400784,99.14750906,71.82576406,64.63768439
CD70,0,2.818769743,2.866798936,0,0,0,0,0,3.038532046,1.140124716,0.565605212,3.008405702,0,0,0.738005559,0,1.155065073
CD72,3.023135699,6.566275278,8.918734233,18.88295953,9.276756159,3.101188988,14.04856156,40.94732441,26.83811791,5.539070109,4.637481356,29.00588919,35.14985888,3.038111455,4.667972396,10.81799164,5.447359238
CD74,1799.663633,2644.00747,5498.10652,6694.758912,4375.203827,4184.429643,2235.30252,12527.08225,8100.971407,3722.586982,4104.350718,3806.27686,10427.78829,1488.591845,2830.641564,4421.862293,3592.642876
CD79A,12.9318031,29.91090734,44.30651314,37.77638493,54.71073132,24.60956663,125.4932586,217.9301138,164.2465542,11.09945575,14.04586938,231.9975569,149.101394,32.59559852,18.55104232,75.49940446,17.76681362
CD79B,5.937353335,27.93234411,40.8640401,45.99714274,51.5497147,19.5774718,40.27038026,115.0783915,116.4299874,19.75025387,15.4717665,139.5623572,98.58502361,18.63469213,14.82403674,39.16491188,22.01283382
CD80,0.749098198,1.517827863,7.539702303,12.58739322,3.867205044,0.770336322,3.916697359,12.48771567,8.07842143,1.155858985,2.510639547,2.485160869,10.21483296,0,2.143418487,3.49273133,4.035186929
CD81,198.9664715,193.8429809,176.4135699,189.8622573,201.7272691,168.8166611,183.3643568,167.7863993,240.6407026,185.091368,209.8783574,152.4585188,184.2854008,174.3907544,183.6553427,178.1895491,174.7512353
CD82,12.93396327,21.93411458,54.32567373,66.80972941,22.1101486,30.0075487,36.96156441,92.96755406,103.6950719,26.72582786,33.08878761,77.69159857,54.92001627,23.29431354,39.81360636,38.24406399,34.66043392
CD83,14.34190547,20.51644383,71.41530796,55.62899571,51.02361449,58.04727305,55.63121894,251.8967289,77.68124219,55.0368444,42.04019669,22.36409122,181.0143279,22.86769889,50.75795825,81.89962063,31.87020939
CD84,3.277802732,13.53519957,25.59944466,33.08798592,22.21969633,18.26533376,7.980289128,40.28202579,36.66952377,11.18904479,20.92015154,17.09290976,42.20724787,24.85220896,12.58548621,18.02134462,13.30590248
CD86,22.14572559,37.98682739,42.10016082,72.8314202,14.89472047,34.5513399,20.48232623,94.15296613,91.12113863,29.41897964,37.27237585,36.30593807,79.14831927,15.64758787,35.02800113,32.87538865,39.20430206
CD8A,1.471905985,10.99034812,93.68524598,6.76166791,12.84643856,19.84599771,14.63354602,34.76512246,50.63632209,22.55547463,20.18233369,8.29727651,32.25396415,51.53100254,19.18303706,6.829764598,2.610640222
CD8B,0,9.651562261,79.87454147,0,19.43733026,36.62401059,36.60929865,44.24456032,107.669471,26.37870971,19.4505761,11.91983748,26.60403116,29.66177191,20.65842469,15.43459153,3.036609837
CD9,290.0324329,286.2894639,187.6465722,148.6623777,199.3447077,180.6215812,204.8402472,57.7286115,127.7848885,236.4912875,229.5000166,146.7743507,100.4685479,232.8403657,223.1953206,216.3010785,238.3692966
CD93,12.71567237,10.56202777,26.04164669,62.59160375,13.82941938,20.91411337,21.34702372,65.07289537,35.83451914,28.04679963,24.32584359,42.74501167,40.54174039,15.05871718,17.01607555,19.92889157,28.7413149
CD96,0.98425123,10.92244657,22.20038483,24.69360366,21.98370398,22.47376303,15.28475073,38.46155088,59.76054528,12.85852238,13.47690927,28.72889788,30.18716112,9.483845071,18.35087044,13.86257636,11.44977465
CD99,152.979514,181.5673204,167.4283353,171.4627714,206.2653679,162.4932399,145.7314401,212.5323744,225.8536151,170.1683981,166.6812009,154.4378374,198.0894145,156.1702155,172.2561821,170.1946212,175.8948466
CD99L2,29.59098017,29.74840153,22.84389491,23.4668964,30.0834704,34.30848811,22.35495809,23.10200211,23.48427148,28.12053904,29.78518814,23.84320986,23.7466174,32.70215608,28.9895346,33.56059508,30.59581651
CDA,10.45980644,13.22068316,67.38409643,85.9323932,21.28528026,69.62392871,42.2461735,115.3841856,77.38288986,39.54761022,42.65645586,42.40591031,113.4557616,31.58859345,50.02376469,50.75421133,43.67860869
CDADC1,8.136650079,8.68502783,8.375108236,4.454337561,4.010469282,22.39720214,8.08655317,10.88673438,5.926506248,9.955217229,6.863841799,11.71661459,14.86538339,13.65410001,8.778091221,7.238758531,8.026232655
CDAN1,12.97909946,17.31094017,11.24263222,9.482545936,12.60068598,13.19778815,12.16328073,18.01818563,9.903286738,11.29922648,13.47246331,10.97188327,12.86850415,10.55643437,13.05094954,11.42391461,13.61321039
CDC123,107.9718299,102.7310336,75.54865504,79.11453303,92.83035304,78.81336344,81.58969895,50.94591938,85.49220963,89.22798963,89.31698586,83.69356791,59.56489783,109.7592672,94.04191295,81.31781347,91.82185482
CDC14A,2.807607543,15.11111379,11.46275117,11.58597158,10.58336251,15.72670966,9.177514813,19.73727778,18.81461937,8.883178831,8.976033061,18.1895707,10.36066325,13.72078781,10.86063351,8.84059972,8.388898023
CDC14B,0.385701831,0,0.411322301,1.350579539,1.983382311,1.985518232,1.59285088,0.945669707,1.830036598,0.959705052,1.05572222,0.856869355,1.775883096,0.386931465,1.106190355,1.326234651,1.009907556
CDC16,28.59087813,41.36503968,40.74871734,38.56573354,32.34979051,33.24587651,55.57377249,52.08787375,64.05914414,38.70008177,39.24929791,39.79098908,50.05006372,31.37333001,39.71286084,47.40587907,40.53945243
CDC20,62.1989225,55.48392501,40.60550247,21.10051027,41.29705025,37.75942375,47.37990215,0,9.040221735,49.31366709,47.68637142,37.51403621,13.26380964,55.05243346,49.47585025,48.72503936,49.53526822
CDC20B,0,4.7843103,2.113566102,1.249929803,4.143793431,1.921507381,1.034653251,0,1.731881377,1.447317751,1.872582009,3.898623234,1.170155877,0,1.627318915,1.385117337,1.923868614
CDC23,41.9113641,28.89699711,24.75238181,28.34889708,30.89888873,22.77911742,26.51276521,15.71771892,18.25273745,36.506274,37.19107021,27.97788978,14.05453287,40.20823347,34.01488946,37.15333021,38.53881395
CDC25A,3.943209108,2.283253134,2.892714429,1.310647545,2.315383584,4.057457304,1.744105016,0.686002191,0,3.730487891,4.782720932,4.994907436,1.869672031,7.348502467,4.411104317,3.060566591,4.817126978
CDC25B,133.0271572,123.9792523,106.2762246,96.83766841,128.045247,112.9055484,148.785167,90.47060557,153.8039319,116.8985951,128.3099105,119.710144,86.81826672,130.0446415,130.8443621,117.4344857,124.4638737
CDC25C,8.033184739,12.70693222,3.59427341,8.125054659,13.57373465,5.158833391,15.16375648,0,0,7.999885805,7.200965825,2.218025364,5.758595692,7.990697167,7.803530169,8.501273319,6.435731108
CDC26,47.54046112,33.03646376,45.70801489,49.94205542,51.32271342,54.62195526,54.92381115,46.51274512,54.72878151,43.01683574,48.39510222,38.39039738,35.08604199,42.44346586,49.19702573,44.00173921,50.05647639
CDC27,29.85423104,28.23189974,20.47254317,26.76947225,32.00474358,35.01002237,24.74886942,26.84116541,18.43010881,27.13490622,28.92133698,23.38890695,19.56294952,35.7117964,26.47221818,23.2581208,27.81492867
CDC34,35.91647064,34.77520115,24.53161189,44.58290334,44.71340365,32.03288941,32.16434988,23.83501156,30.17840593,32.17627422,33.98501844,22.22819009,50.45811014,26.68065925,33.18417728,30.33360105,32.9888539
CDC37,270.5738456,278.7217457,217.7876592,212.0326778,281.2189848,237.188646,249.7332945,180.1402223,182.5862362,264.9534005,256.6796379,257.9994817,219.5662387,239.6516028,245.4348341,225.0824189,258.4054059
