Symbol,myeloid.dendritic.cells,macrophages,neutrophils,B.cells,NK.cells,memory.CD4.T.cells
CDC20,3.7,52.2,2.5,21.5,2.9,11.4
CDC23,269.2,157.9,19.1,229.3,306.9,129.1
CDC25A,3.0,7.0,3.5,3.3,2.5,3.3
CDC25B,120.1,131.3,100.0,429.8,796.4,987.2
CDC25C,2.5,11.5,4.9,5.2,6.6,9.1
CDC27,26.0,72.5,43.5,41.1,35.8,73.5
CDC34,62.7,103.4,261.0,51.1,68.0,87.7
CDC37,92.3,218.0,25.7,32.2,13.0,108.1
CDC37L1,39.0,64.5,30.5,67.8,86.5,102.2
CDC37P1,2.0,2.1,3.8,1.7,3.3,7.9
CDC40,46.6,61.6,64.8,58.0,47.7,75.3
CDC42,29.7,41.8,112.7,47.3,64.4,44.5
CDC42BPA,2.5,1.6,2.0,0.8,4.7,16.2
CDC42BPB,52.2,73.5,1.9,8.1,2.4,5.2
CDC42EP1,16.7,5.4,70.4,40.4,45.0,68.2
CDC42EP2,2.5,3.6,35.0,1.1,5.2,9.8
CDC42EP3,18.2,70.2,970.6,33.1,107.9,134.6
CDC42EP4,1.2,2.7,3.2,1.3,2.5,3.8
CDC42SE1,171.7,284.3,2898.6,3124.3,2282.1,2202.5
CDC45,1.0,1.7,2.8,6.5,14.2,4.8
CDC5L,10.3,25.0,5.7,31.6,34.3,7.6
CDC6,14.1,23.4,18.9,16.6,28.9,31.5
CDC7,36.8,51.0,20.9,123.2,250.3,170.9
CDC73,364.2,488.6,200.9,226.5,109.4,95.4
CDCA3,13.2,5.1,7.0,3.2,5.2,8.3
CDCA4,89.9,112.6,71.0,121.6,173.5,222.2
CDCA8,8.4,41.2,13.0,9.4,13.6,23.1
CDCP1,81.9,45.8,41.5,7.0,48.8,20.9
CDH1,7.0,1.5,0.8,0.9,15.8,5.6
CDH10,11.7,15.9,20.7,15.6,31.7,43.8
CDH11,2.6,2.5,6.7,8.3,5.8,3.1
CDH12,8.6,12.9,8.4,6.2,11.9,3.5
CDH13,1.4,2.3,2.2,1.5,11.2,4.8
CDH15,1.5,1.6,7.6,5.1,2.6,6.5
CDH16,0.8,3.1,37.7,1.8,2.6,19.1
CDH17,7.6,3.0,7.7,19.7,13.1,44.6
CDH18,12.9,18.0,68.1,24.3,59.4,46.4
CDH19,7.0,2.9,9.1,3.1,5.6,40.5
CDH2,14.9,2.9,14.4,10.6,1.8,35.5
CDH20,2.1,1.2,3.9,2.2,4.8,4.2
CDH22,13.6,6.0,10.5,11.8,9.6,15.3
CDH3,1.6,3.2,3.6,2.9,5.1,12.1
CDH4,1.0,2.9,1.8,3.6,5.3,9.8
CDH5,12.4,1.2,5.3,9.3,1.6,20.5
CDH6,1.0,1.2,1.9,1.7,8.5,2.7
CDH7,1.0,2.2,26.2,4.8,2.8,12.2
CDH8,6.9,6.0,19.0,9.3,2.5,48.8
CDH9,5.8,8.2,2.4,1.1,25.5,35.4
CDHR1,0.6,1.9,2.5,1.7,70.7,5.0
CDHR2,37.5,22.4,20.8,28.6,66.1,101.1
CDHR5,1.0,1.6,2.0,1.0,2.0,1.8
CDIP1,28.1,24.5,44.0,49.0,116.0,37.6
CDIPT,2115.3,2057.5,2413.5,987.2,1314.6,632.7
CDK1,24.5,139.4,3.6,18.4,16.5,38.9
CDK10,2.2,3.9,2.5,10.2,39.0,7.7
CDK11A,14.1,6.9,57.5,11.1,5.4,87.7
CDK11B,14.1,6.9,57.5,11.1,5.4,87.7
CDK12,68.4,62.5,101.6,53.0,115.1,68.4
CDK13,1.4,1.0,4.6,1.0,3.3,6.2
CDK14,41.6,50.9,102.6,78.5,36.4,15.4
CDK16,43.1,47.6,68.7,32.7,38.5,10.6
CDK17,25.7,42.3,63.7,22.0,59.5,134.2
CDK18,14.2,21.2,42.1,12.6,7.1,46.5
CDK19,3.1,5.9,3.5,3.7,2.6,4.0
CDK2,3.0,2.6,7.0,6.3,3.1,60.8
CDK20,25.4,28.7,45.2,14.3,45.6,69.2
CDK2AP1,2071.6,1617.4,342.8,136.9,481.3,77.5
CDK2AP2,68.0,56.1,38.2,111.5,153.9,11.0
CDK3,27.2,6.1,10.6,16.6,40.7,84.9
CDK4,252.7,376.9,12.9,176.7,159.6,225.5
CDK5,127.6,192.7,3.8,16.2,9.5,20.8
CDK5R1,2.0,3.7,4.5,9.2,12.7,4.2
CDK5R2,9.3,4.7,5.2,1.2,6.8,7.3
CDK5RAP1,164.0,143.5,17.9,381.0,327.9,345.3
CDK5RAP2,34.9,100.2,240.8,130.0,93.2,84.9
CDK5RAP3,212.1,174.2,496.7,899.4,545.3,648.9
CDK6,6.9,4.9,7.1,4.3,30.4,14.1
CDK7,112.9,105.6,63.4,154.8,103.6,104.3
CDK8,191.1,149.7,17.8,170.0,120.5,83.0
CDK9,28.5,88.8,87.6,17.8,40.0,81.9
CDKAL1,19.1,16.4,3.4,12.2,12.8,27.6
CDKL1,9.5,12.2,3.3,1.6,1.0,34.8
CDKL2,12.5,1.9,21.2,3.6,4.2,7.5
CDKL3,48.8,45.1,2.4,47.9,43.7,3.9
CDKL5,1.3,3.7,5.4,0.9,2.6,2.5
CDKN1A,1271.1,724.3,147.0,123.1,77.5,20.6
CDKN1B,471.1,286.2,717.9,1140.0,946.6,794.3
CDKN1C,3.4,2.3,5.7,0.9,76.0,3.3
CDKN2A,1.9,3.6,4.8,18.4,5.2,47.7
CDKN2AIP,58.4,120.6,60.4,226.7,216.0,271.0
CDKN2B,1.1,2.3,2.6,5.3,2.0,21.7
CDKN2C,4.8,22.9,28.4,10.0,27.0,36.3
CDKN2D,0.7,1.6,39.4,10.2,21.6,8.0
CDKN3,16.1,68.1,41.0,33.3,41.0,113.7
CDO1,14.0,25.0,35.1,16.4,45.5,66.8
CDON,1.2,1.8,3.1,1.4,10.8,7.4
CDR1,1.6,0.8,13.8,3.8,3.1,1.7
CDR2,456.1,213.4,19.5,321.7,171.2,592.5
CDR2L,15.5,4.7,4.7,2.5,1.6,7.6
CDRT1,6.3,7.2,9.4,9.5,3.2,15.7
CDS1,7.2,5.7,1.2,2.2,3.9,1.1
CDS2,117.0,183.0,383.5,143.7,81.0,122.5
CDSN,2.9,2.4,4.5,3.3,4.7,4.5
CDT1,5.1,15.8,4.2,5.2,3.5,41.5
CDV3,46.6,136.9,227.9,27.9,37.0,199.1
CDX1,3.2,3.0,8.7,6.4,8.0,24.2
CDX2,2.5,2.1,3.9,1.5,3.0,16.1
CDX4,2.6,5.1,5.6,1.9,3.3,19.3
CDY1,1.2,3.6,4.2,1.8,6.0,29.2
CDY1B,15.5,20.1,43.0,7.8,36.7,71.2
CDY2A,15.5,20.1,43.0,7.8,36.7,71.2
CDY2B,15.5,20.1,43.0,7.8,36.7,71.2
CDYL,39.2,53.9,3.9,22.2,12.3,17.0
CEACAM1,4.6,9.6,94.3,18.0,16.5,62.3
CEACAM21,3.0,51.9,29.1,3.9,5.5,53.1
CEACAM3,9.2,11.6,100.8,20.5,4.3,13.0
CEACAM4,28.4,29.0,160.2,68.5,42.7,82.3
CEACAM5,11.6,24.6,48.3,22.7,11.1,122.6
CEACAM6,4.1,4.1,12.0,7.0,29.2,7.5
CEACAM7,2.8,0.5,13.1,1.8,2.9,5.8
CEACAM8,0.3,26.5,33.1,4.2,5.5,24.3
CEBPA,461.9,719.8,143.6,8.2,81.3,14.5
CEBPA-AS1,86.1,39.2,148.5,53.4,65.0,202.8
CEBPB,3717.6,3703.5,12811.7,573.8,2098.3,318.8
CEBPD,9.3,8.7,115.1,14.1,22.6,23.9
CEBPE,18.8,26.3,61.6,31.3,55.4,65.0
CEBPG,283.0,125.7,35.2,92.3,95.9,69.8
CEBPZ,160.0,124.7,76.0,264.9,240.8,151.0
CECR1,2264.8,1361.9,14.3,1181.5,1029.1,846.1
CECR5,464.5,414.8,44.7,272.8,263.4,290.0
CEL,1.1,1.3,4.6,1.5,3.5,6.2
CELA2A,0.6,1.4,2.2,1.6,1.8,9.6
CELA2B,0.6,1.4,2.2,1.6,1.8,9.6
CELA3A,7.4,9.5,15.1,3.8,23.6,49.9
CELA3B,5.7,4.1,25.8,16.6,14.0,4.3
CELF1,49.7,51.5,27.1,38.4,36.8,140.3
CELF2,116.3,106.2,539.3,182.1,311.9,130.5
CELF3,2.7,2.0,15.2,2.9,12.7,63.7
CELP,2.3,2.7,38.5,1.3,9.6,15.8
CELSR1,1.9,2.9,3.3,0.5,2.0,4.2
CELSR2,29.3,25.2,21.0,16.5,62.6,53.9
CELSR3,12.1,2.4,6.8,15.0,4.7,12.5
CELSR3-AS1,0.9,1.2,3.3,2.1,2.9,8.9
CEMIP,13.3,16.7,14.8,6.1,22.7,21.3
CEMP1,2.3,3.4,5.1,4.0,2.6,41.7
CEND1,38.8,65.0,101.3,12.9,54.4,90.5
CENPA,27.3,44.7,19.6,28.8,10.3,35.5
CENPB,30.6,35.6,5.4,28.9,24.9,60.9
CENPBD1P1,57.0,29.2,15.7,34.6,38.0,30.7
CENPC,118.0,76.8,23.4,224.5,203.5,135.9
CENPE,19.7,66.8,8.5,25.8,3.2,4.6
CENPF,3.2,0.6,0.8,2.0,7.0,4.0
CENPI,6.1,6.0,14.9,9.4,3.3,10.4
CENPJ,11.0,12.1,4.4,23.9,28.5,61.7
CENPM,18.9,51.2,4.2,28.8,33.7,22.9
CENPN,40.1,41.6,6.3,22.1,6.2,6.6
CENPO,29.8,34.5,51.7,24.4,50.9,68.3
CENPQ,43.9,39.4,15.9,49.3,35.6,48.5
CENPT,14.0,28.9,19.0,40.6,97.6,15.2
CENPU,123.0,143.3,412.8,84.9,80.4,70.1
CEP104,15.5,19.1,2.0,24.9,51.1,14.9
CEP112,41.9,8.4,19.9,27.2,17.4,25.3
CEP131,6.3,3.9,5.3,28.5,21.8,14.2
CEP135,3.0,4.4,1.6,21.5,13.8,10.7
CEP152,1.5,10.7,5.8,9.3,3.0,37.6
CEP162,28.9,20.2,12.1,73.6,55.3,32.0
CEP164,24.2,13.8,36.1,26.1,16.3,53.5
CEP170,170.7,219.1,5.5,81.5,13.9,41.3
CEP170B,33.2,96.0,60.6,41.5,70.2,207.9
CEP170P1,170.7,219.1,5.5,81.5,13.9,41.3
CEP192,165.3,109.7,65.2,365.3,245.7,267.9
CEP250,8.2,15.8,30.3,19.6,23.4,120.3
CEP290,0.9,4.8,0.6,0.9,3.2,18.4
CEP350,21.4,21.1,38.8,10.6,12.7,102.1
CEP41,15.0,42.9,43.2,35.7,50.3,114.8
CEP55,15.2,63.0,18.1,14.9,6.3,9.7
CEP57,19.9,24.8,12.6,8.9,17.0,81.0
CEP63,34.8,32.0,213.5,64.7,52.8,16.2
CEP68,57.1,9.0,45.7,39.6,33.5,123.3
CEP70,33.1,69.5,25.8,51.0,70.6,45.0
CEP72,21.2,9.6,3.7,83.7,98.1,55.2
CEP76,74.1,70.9,1.2,92.8,64.7,10.0
CEP83,43.6,30.4,35.3,52.7,59.7,29.6
CEP85,8.8,62.7,27.5,42.3,110.5,94.8
CEP97,24.2,25.2,35.4,78.5,43.0,77.4
CEPT1,818.2,331.5,127.1,702.2,266.7,177.6
CER1,23.6,29.4,98.6,34.6,83.6,106.3
CERK,332.2,151.8,579.6,530.7,712.2,1600.5
CERS1,1.5,2.5,4.1,3.3,3.6,7.0
CERS2,308.5,458.5,563.0,220.1,368.3,277.5
CERS4,0.7,0.9,8.6,12.0,2.2,5.7
CERS6,245.6,181.7,19.8,110.6,80.3,70.7
CES1,27.1,179.3,9.3,3.2,4.9,13.2
CES1P1,0.7,1.3,5.0,1.7,1.6,3.4
CES2,69.5,107.1,99.6,77.4,102.5,170.4
CES3,75.6,98.0,92.2,56.6,83.0,180.4
CETN1,30.5,32.7,62.7,36.6,37.4,100.4
CETN2,345.5,249.9,91.9,231.3,221.3,74.3
CETN3,505.2,280.0,19.3,531.2,293.4,92.4
CETP,1.2,1.5,2.5,2.4,2.7,5.3
CFB,2.7,4.9,5.7,1.4,7.6,19.0
CFD,148.3,285.6,2061.6,52.6,145.1,10.2
CFDP1,35.7,30.4,29.0,8.1,9.9,81.5
CFH,18.6,16.5,1.0,1.8,1.5,45.1
CFHR1,18.6,16.5,1.0,3.1,1.5,122.3
CFHR2,18.7,16.8,47.8,24.1,45.0,110.5
CFHR4,2.0,2.9,1.9,2.8,4.8,59.0
CFHR5,1.0,0.3,1.0,0.5,0.6,1.9
CFI,13.0,17.4,12.8,7.0,28.7,16.4
CFL1,5292.6,5260.4,12250.2,6434.8,6359.2,8126.6
CFLAR,14.3,14.2,54.4,15.9,25.8,50.8
CFP,2.5,1.0,519.4,1.5,66.2,3.5
CFTR,1.1,0.5,5.0,1.1,0.8,13.5
CGA,6.6,6.1,10.7,4.2,32.1,11.1
CGB,1.4,1.0,4.1,5.9,1.7,7.4
CGB1,1.4,1.0,4.1,5.9,1.7,7.4
CGB5,1.4,1.0,4.1,5.9,1.7,7.4
CGB7,1.4,1.0,4.1,5.9,1.7,7.4
CGB8,1.4,1.0,4.1,5.9,1.7,7.4
CGGBP1,210.3,243.4,549.6,465.3,355.1,650.9
CGREF1,2.0,1.3,30.3,2.5,5.8,5.3
CGRRF1,167.8,131.5,123.3,275.4,216.5,183.4
CH17-132F21.1,31.6,20.7,74.0,562.1,87.4,212.3
CH25H,1014.2,280.7,15.5,18.1,15.7,12.3
CHAC1,25.8,10.3,20.2,11.1,11.8,81.8
CHAD,1.0,2.1,7.1,8.6,3.1,5.7
CHAF1A,6.4,4.6,4.3,4.3,1.6,6.8
CHAF1B,2.1,13.7,2.0,13.5,2.6,3.4
CHAT,9.4,17.1,33.0,14.1,23.7,23.6
CHCHD2,1983.3,2087.4,1512.5,2261.2,2370.7,2156.8
CHCHD3,363.9,314.2,2.6,241.0,318.1,142.9
CHCHD7,495.5,103.7,161.1,786.7,530.5,483.8
CHD1,220.4,179.1,1167.9,561.8,352.3,367.6
CHD1L,30.9,63.6,29.5,6.6,5.1,19.3
CHD2,2.1,19.7,39.6,22.6,42.7,115.2
CHD3,14.7,41.3,13.3,36.8,140.6,96.7
CHD4,15.7,67.5,132.8,5.0,9.1,90.1
CHD5,10.9,8.3,6.9,3.3,5.4,5.0
CHD7,0.7,1.2,40.9,13.3,21.8,23.8
CHD8,31.3,79.1,129.0,39.5,28.1,209.0
CHD9,4.2,2.9,6.3,4.8,18.7,2.5
CHEK1,15.4,16.9,0.6,11.4,16.1,42.1
CHEK2,60.7,31.9,85.9,93.0,53.6,59.4
CHERP,23.3,37.5,86.8,23.6,11.0,70.4
CHFR,700.2,495.7,817.2,539.8,653.6,492.1
CHGA,9.5,4.5,21.3,2.5,22.2,75.1
CHGB,17.6,25.3,32.2,13.9,53.4,42.8
CHI3L1,36.2,45.4,27.1,0.8,4.4,1.9
CHI3L2,54.6,52.3,29.9,101.7,59.4,82.2
CHIA,12.9,27.8,39.1,12.5,28.5,14.0
CHIC2,172.4,182.0,584.0,113.4,171.6,131.1
CHIT1,49.4,4410.3,12.1,4.1,6.8,7.9
CHKA,57.7,57.0,30.5,2.6,5.5,3.8
CHKB,171.1,191.6,348.3,561.2,870.7,446.1
CHKB-CPT1B,15.2,19.7,120.1,68.7,101.5,86.3
CHL1,4.4,3.7,3.5,33.6,9.9,4.7
CHM,2.8,5.3,5.0,2.6,4.1,12.7
CHML,10.0,7.4,5.6,25.4,6.2,14.6
CHMP1A,93.6,134.5,238.9,88.2,124.9,92.3
CHMP1B,70.0,68.4,333.3,69.9,121.7,138.3
CHMP2A,357.2,533.4,1254.9,178.9,260.3,259.3
CHMP2B,70.7,139.1,195.5,74.9,53.2,87.3
CHMP3,581.8,481.2,1368.7,358.2,342.8,219.0
CHMP4A,114.9,71.5,30.2,153.3,173.4,79.4
CHMP5,711.3,512.5,450.2,330.0,244.5,83.2
CHMP6,72.3,86.7,33.6,26.5,69.2,74.4
CHMP7,105.0,122.2,53.6,386.2,201.8,534.3
CHN1,4.3,6.0,12.2,5.1,8.1,90.9
CHN2,35.1,13.3,21.2,2.5,45.0,21.1
CHODL,6.3,18.2,13.9,30.0,34.6,8.8
CHORDC1,430.7,183.5,95.4,413.3,346.4,230.5
CHP1,49.0,131.4,124.0,32.7,39.0,47.5
CHP2,4.6,3.1,10.4,2.4,7.8,12.0
CHPF,49.9,56.7,88.7,68.1,102.0,93.9
CHPF2,160.1,142.2,232.2,142.7,110.5,189.4
CHPT1,408.2,459.1,491.3,673.8,243.6,132.2
CHRD,4.1,10.2,5.5,3.6,16.4,60.1
CHRDL1,2.2,19.8,53.7,15.6,35.6,65.4
CHRFAM7A,7.3,53.7,5.1,3.9,9.2,8.8
CHRM2,4.0,3.6,51.5,13.6,11.7,74.4
CHRM3,2.8,4.6,19.9,1.3,10.8,15.2
CHRM4,20.9,14.7,62.9,24.0,24.2,15.1
CHRM5,30.9,22.6,22.2,11.2,21.3,55.3
CHRNA1,1.9,2.1,22.4,10.2,9.3,37.8
CHRNA10,15.7,17.5,51.4,20.1,39.8,103.0
CHRNA2,61.2,54.2,81.5,53.2,95.5,103.4
CHRNA3,2.2,3.9,4.9,2.8,7.3,23.2
CHRNA4,0.7,0.7,1.4,0.6,1.2,2.3
CHRNA5,15.0,16.0,39.9,14.4,35.9,55.6
CHRNA6,20.9,33.5,141.2,50.3,79.7,183.9
CHRNA7,7.3,53.7,5.1,3.9,9.2,8.8
CHRNA9,12.3,21.1,45.0,20.8,50.0,86.0
CHRNB1,22.8,20.3,4.3,10.8,25.7,60.4
CHRNB2,34.5,27.4,19.0,29.1,18.1,27.7
CHRNB3,0.8,0.5,1.8,0.8,1.2,5.3
CHRNB4,4.3,10.8,37.8,8.6,22.8,38.8
CHRND,10.2,2.5,4.7,6.4,4.6,12.1
CHRNE,12.9,14.5,5.4,9.6,6.5,30.8
CHRNG,37.3,18.7,7.1,25.6,48.6,10.6
CHST1,33.8,30.0,48.0,28.3,32.8,101.4
CHST10,30.1,39.4,119.5,58.5,88.9,207.4
CHST11,223.2,319.6,470.6,58.2,102.0,115.4
CHST12,167.3,106.5,8.7,175.4,825.4,55.0
CHST15,526.7,528.0,2741.3,708.1,298.2,16.0
CHST2,74.7,63.3,72.0,113.2,989.1,6.8
CHST3,1.0,6.1,4.9,3.5,6.3,20.9
CHST4,35.2,39.5,77.7,39.0,81.2,139.6
CHST5,49.5,61.7,52.1,37.0,66.1,80.4
CHST7,226.9,91.2,270.4,33.0,69.1,6.3
CHST8,15.8,24.2,17.1,3.2,8.2,8.6
CHSY1,536.9,313.2,4015.4,528.0,611.7,221.1
CHTOP,33.8,75.7,119.2,91.3,130.0,219.3
CHUK,229.4,154.4,120.9,139.2,128.7,82.3
CHURC1-FNTB,33.6,41.1,27.2,8.8,21.1,67.8
CIAO1,117.4,169.8,46.2,72.4,102.0,63.2
CIAPIN1,136.1,112.6,38.7,122.6,123.9,79.3
CIB1,320.1,465.7,116.5,646.8,459.3,592.4
CIB2,3.0,3.0,14.6,3.9,7.1,14.4
CIC,46.8,61.9,258.3,17.1,68.0,172.1
CIDEA,13.7,9.8,54.8,19.3,20.4,94.0
CIDEB,49.9,50.0,212.6,76.6,245.3,127.1
CIDEC,45.1,61.2,98.6,62.9,87.6,162.2
CIITA,9.6,15.3,23.1,2.4,11.1,6.8
CILP,25.3,45.6,172.8,59.7,114.6,99.8
CINP,35.4,22.6,32.8,27.2,27.3,14.4
CIR1,199.2,920.3,300.4,118.0,74.6,162.9
CIRBP,280.5,311.3,362.3,627.6,504.5,1086.6
CISD1,250.7,143.3,111.4,95.8,113.0,82.0
CISH,317.0,296.6,198.4,89.8,225.3,416.8
CIT,59.9,103.2,95.8,53.3,154.2,160.3
CITED1,4.0,11.3,10.4,1.8,5.6,11.8
CITED2,185.4,175.1,45.6,41.8,59.9,71.7
CIZ1,5.1,2.5,4.0,2.1,8.8,46.8
CKAP2,2.3,2.0,5.5,46.6,2.8,5.3
CKAP4,80.2,284.1,2558.0,106.2,46.0,147.1
CKAP5,210.2,164.5,55.2,166.0,231.5,211.3
CKB,49.0,24.0,50.0,45.2,69.1,104.2
CKLF,379.7,190.7,601.7,67.4,133.8,128.2
CKLF-CMTM1,480.2,251.5,912.3,224.8,361.4,222.1
CKM,4.0,3.5,3.2,1.7,5.3,7.2
CKMT1A,24.8,36.3,42.0,4.9,8.8,13.3
CKMT1B,24.8,36.3,42.0,4.9,8.8,13.3
CKMT2,41.2,17.4,28.2,35.1,25.0,106.0
CKS1B,112.6,185.5,73.1,165.2,130.2,99.0
CKS2,219.6,459.9,37.8,171.8,112.2,75.6
CLASP1,102.4,108.1,190.5,179.0,252.0,145.6
CLASP2,59.6,27.9,6.5,68.7,77.6,53.7
CLASRP,69.2,67.7,226.4,177.7,150.1,219.6
CLC,14.4,9.0,173.0,3.5,27.7,68.2
CLCA1,28.6,34.6,8.2,23.4,43.7,64.0
CLCA2,0.7,2.9,2.1,0.4,7.6,7.9
CLCA3P,0.1,0.7,10.7,0.1,2.2,3.1
CLCA4,1.9,13.1,2.9,7.9,20.6,5.8
CLCC1,109.9,54.3,0.3,51.7,24.4,15.6
CLCF1,31.3,15.9,50.2,58.3,84.8,33.9
CLCN1,9.5,6.7,8.1,11.7,4.0,8.6
CLCN2,40.0,24.2,30.6,46.4,88.9,60.1
CLCN3,42.5,24.1,2.3,4.2,4.8,10.9
CLCN4,8.1,5.7,3.7,9.3,1.0,2.9
CLCN5,30.9,20.7,45.7,14.3,40.9,63.2
CLCN6,84.1,39.7,10.0,193.6,90.5,152.1
CLCN7,36.4,34.9,4.6,25.6,27.9,14.1
CLCNKA,1.7,10.7,6.3,12.6,17.6,5.5
CLCNKB,1.7,2.3,6.3,2.0,3.5,5.1
CLDN1,2.4,5.5,4.1,1.6,2.2,26.3
CLDN10,29.3,28.7,68.8,32.7,55.6,125.8
CLDN11,19.3,31.0,11.1,33.2,39.5,54.0
CLDN14,24.4,14.1,6.5,21.3,63.1,8.3
CLDN15,36.5,45.2,12.3,59.1,68.8,220.8
CLDN16,4.7,5.6,10.2,8.1,11.5,25.7
CLDN17,30.7,6.4,19.2,23.3,23.0,26.4
CLDN18,1.6,1.9,4.0,2.0,2.9,4.4
CLDN22,6.8,10.2,3.5,1.3,4.1,14.8
CLDN3,1.7,1.5,1.5,0.5,1.0,1.2
CLDN4,3.5,2.3,4.5,2.8,13.2,5.6
CLDN5,5.9,3.9,6.9,2.4,8.7,13.1
CLDN6,19.9,37.3,26.0,27.3,68.6,91.6
CLDN7,18.2,27.3,7.1,19.4,6.6,9.2
CLDN8,0.9,5.1,19.6,15.6,24.6,40.6
CLDN9,32.7,37.6,45.5,21.9,35.3,74.0
CLDND1,150.5,166.0,46.8,251.3,270.4,459.7
CLEC10A,409.9,4.5,16.5,7.7,39.0,51.6
CLEC11A,31.2,34.0,13.6,8.2,17.0,29.6
CLEC16A,72.7,89.9,92.8,81.5,123.9,73.1
CLEC1A,86.1,58.4,77.6,46.0,87.1,64.1
CLEC1B,23.6,65.6,36.6,16.2,28.0,104.4
CLEC2B,944.4,1332.0,3785.8,444.4,1728.6,742.9
CLEC2D,11.7,13.3,20.6,140.3,90.1,226.6
CLEC3B,2.2,4.0,9.6,8.5,20.1,8.7
CLEC4A,281.8,139.3,712.1,99.6,49.9,4.3
CLEC4E,10.0,60.2,204.3,17.2,43.5,27.1
CLEC4M,1.7,3.4,3.3,3.6,3.3,14.0
CLEC5A,124.1,1246.9,124.8,8.6,38.9,35.1
CLEC7A,1492.5,1022.8,2618.2,38.5,262.8,63.3
CLGN,6.4,3.0,0.9,8.8,1.2,1.8
CLIC1,916.9,1551.1,3398.4,1404.5,1200.2,831.2
CLIC1P1,0.4,0.5,6.6,1.1,1.2,11.1
CLIC2,305.1,151.9,6.4,4.8,5.7,4.5
CLIC3,1.0,2.1,1.5,1.8,171.0,3.0
CLIC4,111.3,180.9,14.4,47.0,10.5,12.1
CLIC5,0.5,10.8,10.0,19.1,23.3,8.4
CLINT1,144.3,182.9,148.0,161.5,153.4,370.2
CLIP1,79.0,105.0,44.4,69.0,56.1,87.2
CLIP2,27.7,29.7,26.2,31.2,16.8,40.2
CLIP3,24.1,9.2,9.8,10.9,19.1,27.5
CLIP4,84.1,151.8,3.1,18.8,25.8,75.5
CLK1,102.8,107.0,587.9,578.9,371.0,165.2
CLK2,187.1,132.6,86.7,435.4,522.6,366.9
CLK3,86.2,100.4,209.0,98.2,161.4,218.8
CLK4,182.2,155.2,335.9,1326.3,657.6,517.3
CLMN,40.0,53.1,4.1,48.2,3.9,9.1
CLN3,101.3,148.2,137.4,70.9,112.6,155.1
CLN5,88.0,70.6,35.3,75.1,20.5,90.8
CLN6,36.3,29.2,5.7,10.6,2.0,12.1
CLN8,3.0,29.8,3.0,1.1,18.9,3.7
CLNS1A,536.8,283.3,8.1,737.1,419.0,285.8
CLOCK,9.9,17.1,47.3,24.7,28.1,106.1
CLP1,695.1,601.7,380.0,231.8,275.7,204.7
CLPB,86.0,72.3,19.7,18.7,10.8,2.6
CLPP,77.7,123.1,15.3,134.8,57.7,183.8
CLPS,13.6,21.9,22.7,12.2,6.3,101.5
CLPTM1,85.3,145.3,86.7,23.1,39.0,73.9
CLPX,247.4,141.8,108.3,257.2,183.7,94.3
CLSPN,2.9,4.1,4.9,1.9,5.4,15.6
CLSTN1,360.4,260.0,35.5,224.2,344.4,542.0
CLSTN2,4.5,4.8,38.0,7.1,10.7,14.3
CLSTN3,27.0,11.4,23.7,25.1,66.9,40.2
CLTA,16.1,36.0,23.0,11.2,15.0,112.9
CLTB,12.3,2.3,21.6,9.7,4.6,5.7
CLTC,6.2,1.1,26.8,4.2,25.3,18.5
CLTC-IT1,1.9,0.9,25.2,2.3,4.0,23.9
CLTCL1,34.8,10.3,35.4,8.2,14.6,17.0
CLU,14.6,68.3,2.2,0.8,3.2,8.7
CLUAP1,16.6,9.0,13.2,26.0,48.9,161.5
CLUH,123.1,171.2,14.8,136.9,146.1,204.9
CLUHP3,33.9,53.7,81.3,66.6,96.1,324.0
CLUL1,16.2,7.8,23.5,11.6,20.2,17.0
CMA1,12.2,11.2,28.7,6.1,12.1,14.9
CMAHP,10.1,15.7,17.9,36.9,41.5,91.5
CMAS,51.0,99.0,2.0,47.3,23.2,51.0
CMC2,652.9,601.8,67.7,360.2,389.2,180.7
CMC4,11.4,17.3,13.0,20.0,16.1,49.4
CMKLR1,2.2,5.4,45.4,10.8,40.5,46.3
CMPK1,906.6,638.4,86.9,1152.0,1019.0,742.1
CMTM6,2201.2,1385.8,4307.8,234.6,711.6,859.0
CMTR1,52.0,91.0,103.0,140.3,202.6,196.8
CNBP,1353.4,1258.4,3494.4,1435.5,1373.2,1564.5
CNDP2,2325.8,1610.8,167.5,2451.5,848.7,727.3
CNGA1,68.7,37.9,35.5,10.2,31.0,60.8
CNGA3,3.3,1.2,1.7,1.9,1.4,2.2
CNGB1,1.7,1.4,21.1,1.3,3.6,2.1
CNGB3,23.9,15.2,12.2,21.3,51.1,41.6
CNIH1,1486.4,1479.6,117.5,935.0,695.2,360.5
CNIH3,103.8,271.6,1.9,7.9,15.1,11.0
CNIH4,281.0,561.6,399.0,113.2,232.9,133.5
CNKSR1,10.0,3.6,37.7,57.1,40.6,84.5
CNKSR2,8.4,4.0,33.7,24.1,32.4,39.8
CNN1,2.2,1.7,1.6,10.3,23.5,11.3
CNN2,190.1,127.0,1050.2,380.4,284.7,460.6
CNN3,7.6,1.1,8.7,10.3,13.8,17.3
CNN3P1,1.7,0.6,4.0,0.8,4.2,2.4
CNNM1,14.0,33.4,21.7,17.2,20.9,40.7
CNNM2,72.7,40.9,54.7,63.6,63.0,131.1
CNNM3,35.9,66.6,133.4,62.5,122.5,179.1
CNNM4,35.0,27.3,26.7,106.4,54.2,17.0
