Gene Name,tumor-mcf7,cafs-hs,normal_breast,lymphocytes
CFAP65,2,0,3,5
IHH,1,0,1,1
MIR3131,0,0,0,0
AC097468.3,9,10,5,6
NHEJ1,3,4,5,3
AC068946.1,5,12,6,4
RN7SL764P,0,0,0,0
SLC23A3,5,7,6,5
CNPPD1,1908,641,2076,1396
RETREG2,2797,1377,3130,2288
ZFAND2B,676,289,722,515
ABCB6,105,6,148,82
ATG9A,1926,1672,2412,1770
ANKZF1,1121,858,1268,970
GLB1L,102,60,121,101
STK16,791,343,830,614
TUBA4A,83,1693,452,448
TUBA4B,0,0,1,0
DNAJB2,1257,521,1493,1035
PTPRN,1,23,5,3
MIR153-1,0,0,0,0
AC114803.1,0,0,0,0
RESP18,0,0,0,0
AC053503.3,0,0,0,0
DNPEP,4577,847,4555,3313
AC053503.2,19,2,18,18
DES,8,0,2,4
AC053503.4,0,0,0,0
AC053503.6,0,0,0,0
SPEG,546,867,636,535
AC053503.1,2,0,1,1
AC053503.5,4,0,5,3
GMPPA,1531,781,1763,1309
ASIC4,33,4,46,25
CHPF,5133,1200,5629,4283
TMEM198,66,37,88,72
AC009955.3,1,0,3,1
MIR3132,1,1,0,1
OBSL1,4890,855,4949,3691
AC009955.4,3,1,0,1
INHA,163,5,146,111
RN7SKP213,0,0,0,0
STK11IP,1534,349,1625,1153
AC009955.1,1,0,1,1
SLC4A3,387,279,414,321
AC009955.2,5,3,4,0
AC009502.2,2,0,1,1
AC009502.1,8,0,7,2
RPL23P4,0,0,0,0
LINC01803,0,0,0,0
MIR4268,0,0,0,0
AC009310.1,0,0,0,0
AC019211.1,1,0,0,1
AC093083.1,0,0,0,0
AC067956.1,0,0,1,1
AC093843.1,0,0,0,0
AC011233.1,0,0,0,0
EPHA4,975,8,947,732
TMEM256P2,0,0,0,0
AC079834.2,48,0,35,31
AC079834.1,0,0,0,0
AC068489.1,0,0,0,0
AC009302.1,3,1,1,1
HSPA9P1,2,1,6,2
RPL23AP28,0,0,0,0
PAX3,0,0,0,0
CCDC140,0,0,0,0
AC010980.2,3,0,7,2
AC010980.1,19,1,9,6
SGPP2,48,23,62,45
NANOGP2,0,1,0,0
RNU6-619P,0,0,0,0
GAPDHP49,0,0,0,0
AC097461.1,7,15,14,8
FARSB,1846,1934,2206,1638
MOGAT1,0,0,0,0
AC104772.2,0,0,0,0
AC104772.1,0,0,0,0
AC016712.1,3,0,3,3
ACSL3,4496,2832,5267,3940
ATG12P2,2,0,0,0
AC013476.1,7,1,9,4
AC013476.2,0,0,0,0
KCNE4,7,3,110,65
RN7SL807P,0,0,0,0
HIGD1AP4,0,0,0,0
AC013448.1,0,0,0,0
AC013448.2,0,0,0,0
SCG2,7,55,36,23
AC012512.1,2,0,4,4
AP1S3,430,147,480,327
WDFY1,1546,1430,1888,1386
MRPL44,716,469,810,556
AC073641.1,0,0,0,1
SERPINE2,29,2700,9471,4471
AC019109.1,0,0,0,0
AC008072.1,0,0,0,0
FAM124B,0,0,1,0
AC073052.2,0,0,0,0
CUL3,2497,1225,2806,2084
AC073052.1,3,0,1,2
CCDC195,0,0,1,0
DOCK10,223,1210,465,363
MIR4439,0,0,0,0
NYAP2,10,0,8,4
AC016717.1,0,0,1,0
AC016717.2,16,0,30,11
AC016717.3,0,0,0,0
AC068138.1,0,0,1,0
AC062015.1,0,1,1,0
MIR5702,0,0,0,0
IRS1,8704,2366,9247,6833
AC010735.2,264,3,284,207
AC010735.1,170,2,179,147
RHBDD1,522,467,705,542
COL4A4,17,5,19,10
COL4A3,20,0,24,8
AC097662.1,4,7,14,7
MFF,1357,1184,1541,1130
TM4SF20,1,1,1,2
AC097662.2,0,0,0,0
MIR5703,0,0,0,0
AGFG1,2477,1954,2778,2104
AC064853.4,0,0,0,0
AC064853.2,0,0,0,0
C2orf83,0,0,0,0
AC064853.6,0,0,0,0
AC064853.1,0,0,0,0
AC064853.3,0,0,0,0
AC064853.5,0,0,0,0
SLC19A3,2,6,1,2
AC093762.3,0,0,0,0
AC093762.2,0,0,0,0
AC093762.1,0,0,0,0
RNA5SP121,0,0,0,0
SNRPGP8,0,0,0,0
AC073065.1,0,0,0,0
CCL20,0,19,2,7
TDGF1P2,0,0,0,0
DAW1,0,4,1,1
SPHKAP,0,0,0,0
RNU6-624P,0,0,0,0
AC074019.1,0,0,0,0
LINC01807,8,0,16,10
AC012070.1,0,0,0,0
RPL7L1P10,0,0,0,0
PID1,12,2204,276,328
AC007677.1,0,0,0,0
RN7SKP283,0,0,0,0
DNER,20,7714,709,1007
RNU7-9P,0,0,0,0
AC007559.1,0,0,0,0
TRIP12,6016,4559,7169,5337
RNU6-613P,0,0,0,0
FBXO36,131,14,146,102
RNU6-964P,0,0,0,0
FBXO36-IT1,0,0,0,0
RNU6-1027P,0,0,0,0
SLC16A14,712,3,688,535
RNY4P19,1,0,0,0
AC009950.1,2,10,5,3
AC009950.2,0,0,0,0
SP110,166,400,301,191
SP140,3,29,10,5
SP140L,453,264,484,347
AC009949.1,0,2,0,2
SP100,296,1410,593,455
RN7SL834P,0,4,0,0
HMGB1P3,0,0,0,0
AC010149.1,0,0,0,0
TPM3P8,1,0,1,1
AC010149.2,0,0,0,0
RNU6-451P,0,0,0,0
LINC01907,1,1,1,1
CAB39,1876,5201,2684,2132
BANF1P3,1,0,0,0
RNU6-268P,0,0,0,0
AC012507.3,0,0,0,0
ITM2C,237,393,373,277
AC012507.2,0,0,0,0
GPR55,1,0,0,0
AC012507.1,0,0,0,0
AC012507.4,0,0,0,0
COX20P2,1,1,1,0
SPATA3-AS1,1,0,3,0
SPATA3,0,0,0,0
C2orf72,30,1,42,25
AC009407.1,0,0,1,0
PSMD1,3518,2403,4004,2924
HTR2B,4,1,3,1
RNU1-93P,0,0,0,0
ARMC9,851,265,841,614
AC018738.1,0,0,0,1
MIR4777,0,0,0,0
AC017104.1,5,5,3,9
B3GNT7,5,7,16,6
ZBTB8OSP2,0,0,2,0
AC017104.2,0,0,0,0
AC017104.3,0,0,0,0
NCL,23392,16654,26618,20064
SNORD20,4,2,5,4
SNORD82,2,2,0,1
AC017104.4,8,6,9,3
AC017104.5,10,4,10,10
RNU2-22P,2,1,3,2
LINC00471,29,8,28,16
NMUR1,0,0,1,1
AC104634.1,0,0,0,0
RPL23AP26,0,0,0,0
TEX44,0,0,0,1
RN7SL499P,0,0,0,0
PTMA,22500,6555,24696,18017
MIR1244-1,0,0,0,0
PDE6D,492,220,562,394
AC073476.4,0,0,0,0
COPS7B,850,440,913,651
AC073476.1,8,0,4,3
AC073476.3,0,1,0,0
AC073476.2,0,0,0,0
MIR1471,0,0,0,0
NPPC,5,0,7,6
DIS3L2,482,313,545,391
AC019130.1,0,0,0,0
MIR562,0,0,0,0
AC068134.3,10,3,5,5
ECEL1P3,0,0,1,0
AC068134.4,0,0,0,0
ALPP,3,3,1,0
AC068134.1,0,0,0,0
ECEL1P2,1,0,1,0
ALPPL2,0,0,4,1
ECEL1P1,3,0,5,0
AC068134.2,3,0,5,0
DIS3L2P1,0,0,0,0
ALPI,0,0,0,1
ECEL1,69,0,115,84
PRSS56,2,0,0,0
CHRND,3,1,5,1
CHRNG,8,0,5,8
TIGD1,195,44,211,140
EIF4E2,1987,957,2049,1491
MIR5001,0,0,0,0
AC073254.1,15,8,12,14
EFHD1,1287,0,1264,987
RN7SL359P,0,0,0,0
GIGYF2,2555,1352,2903,2033
EEF1B2P7,1,0,0,2
AC064852.1,0,0,0,0
KCNJ13,3,0,3,2
RNU6-107P,0,0,0,1
C2orf82,30,8,22,29
NGEF,136,5,133,100
AC106876.1,0,0,0,0
NEU2,0,0,0,0
INPP5D,6,16,84,53
RN7SL32P,0,0,0,0
ATG16L1,403,151,504,319
SCARNA5,0,0,0,0
SCARNA6,0,0,0,0
SAG,1,0,0,0
AC013726.1,0,0,0,0
DGKD,1311,624,1933,1293
USP40,1152,865,1307,991
AC019072.1,0,0,1,1
UGT1A12P,1,0,1,0
UGT1A11P,0,0,0,0
UGT1A8,0,0,0,0
UGT1A10,0,0,0,0
UGT1A13P,0,0,0,0
UGT1A9,0,0,0,0
UGT1A7,4,1,5,2
UGT1A6,9,0,5,12
AC114812.2,0,0,0,0
UGT1A5,0,0,0,0
UGT1A4,0,0,0,1
RPL17P11,0,0,0,0
UGT1A3,0,0,0,0
AC114812.3,0,0,0,0
DNAJB3,1,0,0,1
UGT1A2P,0,0,0,0
AC114812.4,0,0,0,0
AC114812.1,0,0,0,0
UGT1A1,1,0,5,1
MROH2A,4,2,5,1
HJURP,1590,1245,1627,1323
MSL3P1,14,1,13,6
AC005538.2,0,0,0,0
TRPM8,0,1,0,0
AC005538.1,0,0,0,0
SPP2,0,0,0,0
AC006037.2,0,0,0,0
AC006037.1,0,0,0,0
AC122134.1,0,0,0,0
AC097713.2,1,0,1,0
AC097713.1,0,0,0,0
LINC01891,0,0,0,0
HSPE1P9,0,0,0,0
ARL4C,278,1337,443,358
LINC01173,0,0,0,0
AC104394.1,0,0,0,0
AC010148.1,15,1,18,6
SH3BP4,1570,1743,1801,1428
AC114814.1,0,0,0,0
AC114814.2,0,0,0,0
AC114814.3,0,0,0,0
AGAP1,1819,408,1832,1308
AGAP1-IT1,14,2,10,6
AC064874.1,0,0,0,0
TMSB10P1,0,2,2,2
RNU7-127P,0,0,0,0
RN7SL204P,0,0,0,0
GBX2,30,1,35,27
AC019068.1,8,0,5,1
ASB18,2,0,4,0
RNU1-31P,0,0,0,0
IQCA1,12,3,6,4
AC093915.1,3,0,5,2
IQCA1-AS1,1,0,3,1
RPL3P5,0,0,0,0
ACKR3,2608,17,2763,1921
AC084030.1,5,1,4,7
RNU6-1051P,0,0,0,0
AC105760.1,1,0,1,0
AC105760.2,19,18,18,9
COPS8,1337,2440,1767,1327
AC107079.1,0,0,1,0
AC112715.1,0,0,0,0
COL6A3,52,305,3627,1662
AC112721.1,3,2,2,3
AC112721.2,2,13,3,2
MLPH,14393,1728,14008,10411
MIR6811,0,0,0,0
RNU6-1140P,0,0,0,0
PRLH,9,0,4,4
RAB17,1143,29,1150,874
AC104667.2,110,1,89,57
AC104667.1,1,0,5,1
LRRFIP1,3803,3457,4644,3331
RBM44,6,22,8,4
RAMP1,316,43,306,226
SNORD39,0,0,0,1
UBE2F,264,209,264,201
UBE2F-SCLY,1,0,0,1
RNU6-1333P,0,0,0,0
SCLY,50,26,74,44
ESPNL,1,0,23,9
KLHL30,3,2,3,6
KLHL30-AS1,0,0,2,0
ERFE,89,62,102,78
ILKAP,695,442,821,635
AC016757.1,1,0,0,0
AC012485.1,2,0,2,0
HES6,1223,19,1309,980
PER2,700,297,828,533
AC012485.3,4,0,5,0
AC012485.2,0,0,0,0
TRAF3IP1,485,317,587,414
RNU6-234P,0,0,0,0
ASB1,665,847,928,686
AC016999.1,0,2,2,2
AC016999.2,0,0,0,0
LINC01107,0,0,0,0
LINC01937,0,0,0,0
AC113618.1,0,0,0,0
AC145625.1,0,0,0,0
TWIST2,0,515,146,118
LINC01940,0,1,2,3
HDAC4,337,330,432,355
MIR4440,0,0,0,0
MIR4441,0,0,0,1
MIR4269,0,0,0,0
MIR2467,0,0,0,0
AC062017.1,6,12,12,3
AC079612.1,0,0,0,0
AC079612.2,0,0,0,0
AC093802.2,0,0,0,0
AC093802.1,0,0,0,0
NDUFA10,3099,1321,3298,2386
MIR4786,0,0,0,0
OR6B2,0,0,1,0
PRR21,0,0,0,0
OR6B3,0,0,1,0
AC013469.1,0,0,0,0
OR5S1P,1,0,0,0
COPS9,1114,331,1117,856
OTOS,1,0,1,0
AC124861.1,1,0,1,0
GPC1,2831,1807,3500,2556
PP14571,575,2,572,360
MIR149,29,0,17,18
ANKMY1,392,149,448,307
DUSP28,170,31,151,107
RNPEPL1,1736,806,1825,1403
CAPN10-AS1,126,27,140,93
CAPN10,562,227,612,472
GPR35,13,6,18,8
AC011298.3,0,0,0,0
AQP12B,0,0,0,0
AC011298.1,0,0,0,0
AQP12A,1,0,0,0
AC011298.2,0,0,0,0
KIF1A,1061,0,1035,757
AGXT,11,0,20,7
C2orf54,169,0,133,112
CROCC2,8,0,8,4
AC104809.2,8,0,16,5
AC104809.1,0,0,0,0
SNED1,359,10,370,256
AC093585.1,3,0,0,0
AC005237.1,0,0,1,2
MTERF4,682,329,771,539
PASK,1203,232,1316,933
AC005237.2,2,0,0,0
PPP1R7,2112,978,2238,1700
ANO7,84,12,83,55
HDLBP,20555,14715,23408,17253
02-Sep,10795,7980,12362,9032
AC005104.1,4,7,10,1
FARP2,1649,846,1805,1351
MIR3133,0,0,0,0
AC005104.2,1,1,0,1
STK25,3338,1506,3712,2683
BOK-AS1,1,0,2,0
BOK,1703,155,1745,1308
AC133528.1,6,0,9,6
THAP4,1519,850,1634,1240
RNA5SP122,0,0,0,0
ATG4B,2618,749,2800,2048
DTYMK,2289,688,2382,1747
ING5,1575,605,1762,1327
AC114730.3,12,0,18,11
D2HGDH,1481,190,1508,1115
AC114730.1,1,0,7,3
AC114730.2,5,0,3,3
GAL3ST2,2,0,1,0
AC131097.1,0,0,0,0
AC131097.3,0,0,0,0
NEU4,0,0,0,0
AC131097.4,0,0,0,0
PDCD1,0,0,0,0
RTP5,0,0,0,0
LINC01237,1,1,14,5
AC131097.2,0,0,0,0
LINC01238,1,2,3,1
AC093642.2,0,0,0,0
AC093642.1,0,0,0,0
LINC01880,0,0,0,0
LINC01881,35,7,30,31
CICP10,0,0,0,0
SEPT14P2,0,0,0,0
RPL23AP88,0,0,0,0
LINC01986,0,0,0,0
AC066595.1,0,0,0,0
CHL1-AS2,0,0,0,0
CHL1,0,0,1,2
RNU6-1194P,0,0,0,0
RPS8P6,0,0,0,0
CHL1-AS1,0,0,0,0
LINC01266,0,0,0,0
RPSAP32,0,0,0,0
AC090044.1,0,0,0,0
AC087430.1,0,0,0,0
RN7SL120P,0,0,0,0
CNTN6,0,0,0,0
CRB3P1,0,0,0,0
RPL23AP38,0,0,0,0
RPL23AP39,0,0,0,0
RPL21P17,0,1,0,0
AC018814.1,0,0,0,0
RN7SKP144,0,0,0,0
CNTN4,0,0,0,1
CNTN4-AS2,0,0,0,0
HINT2P1,0,0,0,0
DNAJC19P4,0,0,0,0
CNTN4-AS1,0,0,0,0
IL5RA,1,0,0,0
TRNT1,1361,81,1285,1026
CRBN,809,231,865,620
AC024060.1,40,7,30,26
AC034195.1,0,0,0,1
SUMF1,988,133,1010,726
LRRN1,52,0,48,35
PNPT1P1,0,0,2,0
SETMAR,434,58,468,344
MRPS10P2,0,0,0,0
ITPR1-AS1,13,7,16,15
ITPR1,192,106,228,174
EGOT,1,0,1,0
AC018816.2,0,0,0,0
AC018816.1,0,1,2,0
BHLHE40-AS1,20,2,10,13
BHLHE40,1997,606,2222,1458
RNF10P1,0,0,0,0
UBTFL8,0,0,0,0
AC090955.1,0,0,0,0
ARL8B,4098,869,4537,3142
AC026202.2,2,1,5,9
AC026202.3,0,0,1,0
EDEM1,1314,865,2422,1406
MIR4790,0,0,0,0
RN7SL553P,0,0,0,0
AC026202.1,0,0,0,0
AC087857.1,0,0,0,0
AC026167.1,0,0,0,0
AC027119.1,0,0,0,0
AC069277.1,1,0,0,1
GRM7-AS3,0,0,0,0
AC069277.2,0,0,0,0
GRM7,0,0,0,0
MRPS36P1,0,0,0,1
GRM7-AS2,0,0,0,0
GRM7-AS1,0,0,0,0
AC068313.1,0,0,0,0
LMCD1-AS1,20,1,29,15
AC018832.1,0,0,0,0
RNU4ATAC17P,0,0,0,0
AC023481.1,0,0,0,0
LMCD1,305,34,352,246
AC034187.1,0,0,0,0
SSUH2,3,9,12,5
OR7E122P,4,0,2,2
CAV3,1,1,0,0
OXTR,144,49,139,116
RAD18,1070,784,1346,957
SRGAP3,54,350,87,88
SRGAP3-AS1,0,0,0,0
SRGAP3-AS2,0,0,0,0
SRGAP3-AS3,0,0,0,0
SRGAP3-AS4,0,0,0,0
AC026191.1,0,0,0,1
PGAM1P4,0,0,1,0
THUMPD3-AS1,622,238,750,447
THUMPD3,1696,717,2011,1394
SETD5,5513,2244,6153,4729
LHFPL4,0,4,0,2
DUSP5P2,0,0,1,0
MTMR14,1830,409,1957,1549
CPNE9,1,0,1,2
BRPF1,1528,392,1718,1199
OGG1,708,232,795,618
CAMK1,26,12,54,27
TADA3,3782,908,3828,2883
ARPC4,3225,861,3317,2541
ARPC4-TTLL3,0,1,0,0
TTLL3,391,164,450,340
AC022382.1,0,0,0,1
RPUSD3,1283,465,1407,1059
CIDEC,1,0,1,3
JAGN1,1334,539,1442,1089
IL17RE,229,29,245,166
IL17RC,974,336,1017,686
RNU6-882P,5,1,3,3
CRELD1,552,342,645,474
AC018809.1,11,2,14,10
PRRT3,1604,22,1618,1184
PRRT3-AS1,6,0,3,4
AC018809.2,52,13,66,35
EMC3,2606,895,2760,1973
EMC3-AS1,280,61,320,235
CYCSP10,13,4,15,12
AC022007.1,109,14,100,70
CIDECP,398,71,404,268
FANCD2,2850,712,3187,2310
RNU6-670P,0,0,0,0
CYCSP11,1,0,0,0
FANCD2OS,0,2,4,2
BRK1,6261,1561,6676,4860
VHL,3514,1151,3762,2857
IRAK2,10,480,51,53
TATDN2,1286,306,1374,1008
AC022384.1,0,0,0,0
LINC00852,11,6,14,6
GHRL,3,0,5,1
GHRLOS,11,4,4,5
SEC13,4303,1657,4612,3424
ATP2B2,3,1,2,1
MIR378B,0,0,0,0
MIR885,0,0,0,0
ATP2B2-IT1,0,0,0,0
ATP2B2-IT2,0,0,0,0
LINC00606,0,0,0,0
AC018495.1,0,0,0,0
SLC6A11,1,7,1,3
SLC6A1,0,0,0,0
SLC6A1-AS1,0,0,0,0
HRH1,4,589,58,78
CHCHD4P4,1,1,0,0
ATG7,929,545,984,787
AC083855.1,0,0,0,0
AC026185.1,0,0,0,0
AC022001.1,0,0,0,0
VGLL4,1622,379,1829,1259
AC022001.2,0,0,0,0
AC022001.3,0,0,0,0
TAMM41,256,112,291,209
FANCD2P2,0,7,0,1
CYCSP12,0,0,0,0
NUP210P2,0,0,0,0
MARK2P14,0,0,0,0
AC090958.1,0,0,0,0
RN7SL147P,0,0,0,0
SYN2,1,14,1,4
ACTG1P12,0,0,0,0
TIMP4,7,0,5,2
MTCO1P5,0,0,0,0
GSTM5P1,0,0,0,0
PPARG,267,89,256,173
AC091492.1,0,0,1,0
TSEN2,469,287,575,437
RNA5SP123,0,0,1,1
RNU6-377P,0,0,0,1
MKRN2OS,153,2,123,110
MKRN2,1365,738,1494,1121
RAF1,5948,1511,6258,4637
CRIP1P1,0,0,0,0
TMEM40,32,97,56,42
KRT18P17,23,0,20,18
CAND2,7,1,13,14
AC034198.2,6,2,5,6
RPL32,18040,9443,18642,14467
SNORA7A,0,0,0,0
AC034198.1,0,0,0,0
LINC02022,0,0,0,0
IQSEC1,2552,430,2710,1957
AC069271.1,0,0,0,0
NUP210,8005,0,8931,6194
AC027124.2,0,0,0,0
AC027124.1,0,0,0,0
HDAC11-AS1,3,0,1,3
HDAC11,1226,157,1206,945
FBLN2,16,9,306,144
LINC00620,0,0,0,0
WNT7A,0,15,3,4
VN1R20P,0,1,3,0
FGD5P1,0,0,1,0
TPRXL,1,1,3,2
VN1R21P,0,0,0,0
CHCHD4,564,348,594,399
TMEM43,2206,3227,2868,2089
AC090004.1,6,11,9,6
AC093495.1,28,13,38,29
XPC,1468,438,1615,1153
LSM3,2681,841,2781,1998
AC093496.1,0,0,0,0
LINC01267,0,0,0,0
RNA5SP124,0,0,0,0
SLC6A6,2531,686,2784,2019
GRIP2,0,2,3,3
RNU6-905P,0,0,0,0
RHBDF1P1,0,0,0,1
AC090952.2,0,0,0,0
AC090952.1,1,0,0,0
CCDC174,642,330,760,551
C3orf20,0,0,4,1
AC090957.1,0,0,0,0
LINC02011,0,0,0,0
FGD5,1,0,3,1
FGD5-AS1,7507,1155,7989,5705
NR2C2,1842,536,2148,1517
MRPS25,1898,269,1856,1427
RBSN,1806,353,1967,1492
AC090954.1,0,0,1,1
RPS3AP53,1,0,0,1
COL6A4P1,29,0,38,23
CAPN7,2290,362,2478,1732
SH3BP5-AS1,152,10,176,110
SH3BP5,1293,28,1333,1032
RNU6-454P,0,0,0,0
HMGN2P7,4,2,2,2
METTL6,701,72,709,544
EAF1,1754,191,1847,1364
RNU6-1024P,0,2,0,1
EAF1-AS1,2,0,5,3
COLQ,23,2,17,17
MIR4270,0,0,0,0
RN7SL110P,0,0,0,0
HACL1,554,178,637,441
BTD,473,132,516,388
ANKRD28,2324,1152,2875,2035
MIR3134,0,0,0,0
AC090950.2,0,0,0,0
AC090950.1,0,0,0,1
RN7SL4P,0,0,0,0
MIR563,0,0,1,0
IMPDH1P8,3,2,8,8
GALNT15,1,75,48,23
DPH3,880,231,915,662
OXNAD1,551,89,639,434
AC090953.1,0,0,0,0
RFTN1,85,345,310,243
AC090948.1,3,0,7,5
AC090948.2,6,0,9,2
AC090948.3,2,0,2,0
AC010139.1,0,0,0,0
LINC00690,0,0,0,0
DAZL,0,0,1,0
AC091493.1,0,0,0,0
CDYLP1,0,0,0,0
PLCL2,0,0,10,1
MIR3714,0,0,0,0
PLCL2-AS1,0,0,0,0
TBC1D5,3226,788,3535,2525
AC090960.1,0,0,0,0
AC140076.1,0,0,0,0
RNU7-10P,0,0,0,0
AC104451.1,1,0,0,0
AC104297.1,1,3,2,1
PDCL3P3,0,0,0,0
AC132807.1,0,0,0,0
AC132807.2,2,0,5,0
SATB1,7,42,186,72
AC144521.1,0,0,0,0
SATB1-AS1,1,0,10,5
RAD23BP1,3,0,3,1
RNU6-138P,0,0,0,0
KCNH8,0,0,2,2
MIR4791,0,0,0,0
EFHB,3,1,10,7
HSPA8P18,1,0,0,0
RAB5A,2749,963,3050,2172
PP2D1,15,6,9,15
RNU4-85P,0,0,0,0
SAP18P3,0,0,0,0
AC097635.1,1,1,1,0
KAT2B,588,156,643,432
MIR3135A,0,0,0,0
SGO1,756,219,855,579
SGO1-AS1,2,2,0,0
RNU6-822P,0,0,0,0
AC116096.1,0,0,0,0
RNU6-815P,0,0,0,0
AC099753.1,0,0,0,0
VENTXP7,0,0,0,0
ZNF385D,0,14,5,5
ZNF385D-AS1,0,0,0,0
ZNF385D-AS2,0,0,0,0
HMGB1P5,33,8,29,16
AC092421.1,0,0,0,0
AC114477.1,0,0,0,0
RANP7,0,0,0,0
SALL4P5,0,0,0,0
RPL24P7,0,0,0,0
UBE2E2-AS1,0,0,0,1
UBE2E2,445,257,468,406
AC121251.1,0,0,0,0
RNU6-922P,0,0,0,0
RNU6-788P,0,0,0,0
UBE2E1-AS1,0,0,2,0
UBE2E1,2183,1026,2588,1816
ARL4AP4,0,0,0,0
NKIRAS1,293,120,325,225
RPL15,17828,10011,18871,14708
NR1D2,1707,753,1875,1333
LINC00691,0,0,0,0
NPM1P23,0,0,0,0
THRB,772,29,715,508
RPL31P20,0,0,0,0
THRB-IT1,1,0,0,1
THRB-AS1,10,0,13,10
AC012087.1,1,0,0,0
MIR4792,0,0,1,0
EIF3KP2,0,0,0,0
AC092422.1,0,0,0,0
RN7SL216P,0,0,0,0
RNA5SP125,0,0,0,0
RARB,3,6,3,2
CFL1P7,0,0,0,0
RNA5SP126,0,0,0,0
AC133141.1,0,0,0,0
SNORD5,0,0,0,0
TOP2B,8337,2400,9939,7054
MIR4442,7,3,1,2
CRIP1P2,0,0,0,0
NGLY1,643,391,876,600
AC092798.1,1,0,3,2
TAF9BP1,0,0,0,0
OXSM,392,212,453,297
LINC00692,0,0,0,0
RPEP2,0,0,0,0
HMGB3P12,0,0,0,0
VENTXP4,0,0,0,0
AC099754.1,0,0,0,0
LRRC3B,0,0,0,0
AC114877.1,0,0,0,0
NEK10,3,9,11,9
MINOS1P3,0,0,0,1
RNU6-342P,0,0,0,0
SLC4A7,1444,1627,1789,1213
RPS20P15,0,0,0,0
AC099535.1,0,1,1,2
RNU1-96P,0,0,0,0
AC137675.1,0,0,0,0
AC098614.2,0,0,0,0
AC098614.1,63,19,68,46
AC098614.4,0,1,2,4
AC098614.3,0,0,0,0
LINC02084,0,1,0,0
EOMES,52,0,51,42
LINC01980,2,0,2,3
LINC01981,0,0,0,0
LINC01967,0,0,0,0
CMC1,635,194,676,495
AZI2,664,556,769,562
ZCWPW2,4,6,7,3
AC098650.1,0,4,1,1
FAM96AP1,0,0,0,0
AC093142.1,0,1,0,1
RBMS3,1,439,52,65
MESTP4,0,0,1,0
RBMS3-AS3,0,1,1,0
RPS12P5,0,0,0,0
RBMS3-AS2,0,0,0,0
MTND4LP9,0,0,0,0
RBMS3-AS1,0,0,0,0
ACEA_U3,0,0,0,0
LINC01985,0,0,0,0
AC116035.1,0,0,0,0
TGFBR2,891,4770,2654,1839
AC096921.1,0,0,0,0
AC096921.2,2,25,2,5
GADL1,0,0,0,0
MIR466,0,0,0,0
CNN2P6,1,0,0,0
RNA5SP127,0,0,0,0
AC115283.1,0,0,0,0
THRAP3P1,2,1,4,2
STT3B,6706,3901,7713,5594
OSBPL10,1388,1099,1705,1274
OSBPL10-AS1,0,0,0,1
ZNF587P1,0,0,0,0
ZNF860,237,171,263,172
RPL21P40,3,1,1,1
NIFKP7,0,0,0,0
GPD1L,3868,209,3907,2904
AC094019.1,5,2,4,5
RPSAP11,2,1,1,2
AC097639.1,8,1,8,6
CMTM8,137,33,133,110
AC097639.2,0,0,0,0
KRT18P15,5,0,3,4
CMTM7,16,255,125,62
CMTM6,3193,1608,3641,2538
MIR548AY,0,0,0,0
AC104306.1,0,0,0,0
DYNC1LI1,1874,914,1960,1458
AC104306.2,0,0,0,0
IGBP1P3,0,0,0,0
RPL30P4,5,3,5,4
CNOT10,1204,616,1419,997
CNOT10-AS1,0,0,0,0
SUGT1P2,0,0,0,0
RPL23AP43,0,1,3,0
TRIM71,36,0,57,29
CCR4,0,3,1,2
GLB1,2989,763,3044,2319
SEC13P1,0,0,1,0
SUMO2P10,0,0,0,0
TMPPE,89,36,85,53
RN7SL296P,0,0,0,0
CRTAP,3833,5100,4820,3698
AC112211.1,0,0,0,0
SUSD5,2,66,11,9
AC123900.1,0,0,0,0
FBXL2,64,166,104,79
UBP1,4378,2161,4980,3635
RNU7-110P,0,0,0,0
RNA5SP128,0,0,0,0
CLASP2,1826,1166,2147,1559
COX6CP10,0,0,0,0
AC112220.1,0,0,0,0
SDAD1P3,0,0,0,0
AC112220.3,31,10,26,12
AC112220.4,104,65,120,92
AC112220.2,74,59,90,45
PDCD6IP,4582,3820,5314,4024
LINC01811,0,0,1,0
AC123023.1,0,0,0,0
AC018359.1,0,0,0,0
FECHP1,0,0,0,0
KRT8P18,2,0,2,3
RNU6-243P,0,0,0,0
ARPP21,1,0,66,32
ARPP21-AS1,0,0,0,0
MIR128-2,0,0,0,0
AC104308.1,0,0,0,0
RFC3P1,0,0,0,0
STAC,0,7,9,14
NBPF21P,0,0,0,0
RN7SKP227,0,0,0,0
DCLK3,1,0,0,0
HSPD1P6,2,0,3,0
LINC02033,0,0,0,0
AC105749.1,2,0,2,0
TRANK1,313,3,716,385
AC011816.1,0,0,3,0
RNU6ATAC4P,0,0,0,0
AC011816.2,0,2,0,0
PRADC1P1,3,1,0,1
EPM2AIP1,1969,431,2073,1531
MLH1,2028,893,2225,1646
RPL29P11,2,2,1,3
LRRFIP2,1459,1291,1655,1286
UBE2D3P2,2,1,1,1
RNU6-1301P,0,1,0,0
UBE2FP1,19,14,32,23
AC126118.1,5,0,1,3
AC097359.1,0,0,1,0
AC097359.3,0,0,0,0
AC097359.2,38,35,47,44
GOLGA4,4950,2130,5654,3964
TCEA1P2,9,7,17,12
RNA5SP129,0,0,0,0
C3orf35,8,5,5,4
ITGA9,3,6,1,4
RNU7-73P,0,0,0,0
