"","Cell","Batch","Group","ExpLibSize","sizeFactor"
"Cell779","Cell779","Batch1","Group2",202330.050331724,1.0424752094564
"Cell780","Cell780","Batch1","Group1",134729.543946287,0.698644240742713
"Cell781","Cell781","Batch1","Group1",534159.165435971,2.73425402574418
"Cell782","Cell782","Batch1","Group3",216883.136660685,1.10756657533568
"Cell783","Cell783","Batch1","Group1",80742.5992399485,0.411972688628565
"Cell784","Cell784","Batch1","Group1",199912.004286417,1.04570045731528
"Cell785","Cell785","Batch1","Group1",70644.0814760379,0.367827430056098
"Cell786","Cell786","Batch1","Group3",209845.626935794,1.08609064262302
"Cell787","Cell787","Batch1","Group3",116619.640596775,0.603080198123358
"Cell788","Cell788","Batch1","Group3",94061.7623732974,0.485356079306125
"Cell789","Cell789","Batch1","Group1",174431.094934268,0.89442244410651
"Cell790","Cell790","Batch1","Group2",395177.130089252,2.02323861897177
"Cell791","Cell791","Batch1","Group3",84479.9657779016,0.435701665300063
"Cell792","Cell792","Batch1","Group1",173420.416619674,0.896690919873285
"Cell793","Cell793","Batch1","Group1",491223.637544224,2.54437591694838
"Cell794","Cell794","Batch1","Group1",115944.016017462,0.602426918254015
"Cell795","Cell795","Batch1","Group2",246449.398802985,1.25929725491062
"Cell796","Cell796","Batch1","Group3",55483.0053758329,0.286743567217854
"Cell797","Cell797","Batch1","Group3",275291.439915097,1.41764303615465
"Cell798","Cell798","Batch1","Group2",161768.851085651,0.826105830368344
"Cell799","Cell799","Batch1","Group1",244686.929940005,1.25221405506742
"Cell800","Cell800","Batch1","Group3",135293.423108063,0.698006392681307
"Cell801","Cell801","Batch1","Group3",264551.093020111,1.35309692748915
"Cell802","Cell802","Batch1","Group1",98842.4211513105,0.509049048425769
"Cell803","Cell803","Batch1","Group2",165394.117451988,0.849423292161516
"Cell804","Cell804","Batch1","Group3",273598.315715425,1.40757120950761
"Cell805","Cell805","Batch1","Group3",268273.354290037,1.37189286955671
"Cell806","Cell806","Batch1","Group2",90887.6185809609,0.470824460165224
"Cell807","Cell807","Batch1","Group1",118428.473546197,0.611814601415837
"Cell808","Cell808","Batch1","Group1",115532.438198169,0.592962076052507
"Cell809","Cell809","Batch1","Group3",143484.405495295,0.74872045749906
"Cell810","Cell810","Batch1","Group1",89428.5445642161,0.460639466926644
"Cell811","Cell811","Batch1","Group3",64769.6422631243,0.330924833342175
"Cell812","Cell812","Batch1","Group3",48757.4246028478,0.253179384954355
"Cell813","Cell813","Batch1","Group3",129648.646906912,0.667405117541758
"Cell814","Cell814","Batch1","Group3",61357.5074007881,0.314999207550943
"Cell815","Cell815","Batch1","Group3",240655.467724585,1.24372141676596
"Cell816","Cell816","Batch1","Group1",222654.896326279,1.15024066821813
"Cell817","Cell817","Batch1","Group3",175407.951348148,0.901181575983022
"Cell818","Cell818","Batch1","Group3",277102.124622655,1.42455648611053
"Cell819","Cell819","Batch1","Group2",185545.829601458,0.958145523015358
"Cell820","Cell820","Batch1","Group1",92137.7564819766,0.472336777343073
"Cell821","Cell821","Batch1","Group1",85883.7651282481,0.441097654142118
"Cell822","Cell822","Batch1","Group1",194693.388598742,1.00227020584391
"Cell823","Cell823","Batch1","Group1",253059.200589001,1.29502703422131
"Cell824","Cell824","Batch1","Group3",556347.406604487,2.83608338238605
"Cell825","Cell825","Batch1","Group3",184748.022960155,0.954292714967026
"Cell826","Cell826","Batch1","Group3",212452.094919411,1.08890437560358
"Cell827","Cell827","Batch1","Group2",162242.893871611,0.834505877822183
"Cell828","Cell828","Batch1","Group1",69637.4611120322,0.363434508729963
"Cell829","Cell829","Batch1","Group1",347392.033703337,1.7828264831175
"Cell830","Cell830","Batch1","Group3",191449.14168187,0.980187288685717
"Cell831","Cell831","Batch1","Group3",247629.426103282,1.27252745824881
"Cell832","Cell832","Batch1","Group2",149969.830974581,0.772300260027164
"Cell833","Cell833","Batch1","Group1",115142.861264206,0.588399404839063
"Cell834","Cell834","Batch1","Group1",709585.802473962,3.62653659248339
"Cell835","Cell835","Batch1","Group1",356212.719203266,1.83631827336395
"Cell836","Cell836","Batch1","Group3",261000.752415794,1.35070499725887
"Cell837","Cell837","Batch1","Group3",107941.395801709,0.557510069284685
"Cell838","Cell838","Batch1","Group1",127602.134291044,0.659704645381074
"Cell839","Cell839","Batch1","Group2",254133.60602215,1.30900310827647
"Cell840","Cell840","Batch1","Group1",115469.351148305,0.586635034798238
"Cell841","Cell841","Batch1","Group2",229904.647543619,1.17979772435393
"Cell842","Cell842","Batch1","Group3",255432.491888803,1.31042797854267
"Cell843","Cell843","Batch1","Group3",260715.31665628,1.34244898001245
"Cell844","Cell844","Batch1","Group3",97811.4586729545,0.504455513596451
"Cell845","Cell845","Batch1","Group1",161392.88544064,0.835334051514815
"Cell846","Cell846","Batch1","Group3",194372.755641155,1.00115911567243
"Cell847","Cell847","Batch1","Group2",191901.052028205,0.986015368150015
"Cell848","Cell848","Batch1","Group2",82665.3116156269,0.431247016742179
"Cell849","Cell849","Batch1","Group3",145260.043163006,0.741863590838946
"Cell850","Cell850","Batch1","Group2",38126.1220631007,0.19537183242145
"Cell851","Cell851","Batch1","Group2",112935.022186679,0.576923283669735
"Cell852","Cell852","Batch1","Group3",93355.8477859024,0.477290387690927
"Cell853","Cell853","Batch1","Group3",66271.5362722361,0.341295008276001
"Cell854","Cell854","Batch1","Group3",66863.8711235596,0.341737386770202
"Cell855","Cell855","Batch1","Group1",220901.599433865,1.1381524186673
"Cell856","Cell856","Batch1","Group2",269780.232314393,1.38266941543288
"Cell857","Cell857","Batch1","Group1",704472.607511145,3.6345508447388
"Cell858","Cell858","Batch1","Group3",165706.009826385,0.862329427533028
"Cell859","Cell859","Batch1","Group1",189353.314406802,0.982831271778964
"Cell860","Cell860","Batch1","Group3",38274.5726150197,0.195983960802961
"Cell861","Cell861","Batch1","Group2",81127.7146340672,0.419853198548516
"Cell862","Cell862","Batch1","Group1",161879.808131049,0.832072796104078
"Cell863","Cell863","Batch1","Group2",290211.016667475,1.49829995230663
"Cell864","Cell864","Batch1","Group2",188153.822563095,0.961020983227663
"Cell865","Cell865","Batch1","Group1",185743.573221143,0.947590166386285
"Cell866","Cell866","Batch1","Group2",187975.932560591,0.968577425180932
"Cell867","Cell867","Batch1","Group1",69071.3962680661,0.357992224464096
"Cell868","Cell868","Batch1","Group3",134275.637121299,0.694925175029838
"Cell869","Cell869","Batch1","Group3",471339.368219088,2.42299445965002
"Cell870","Cell870","Batch1","Group1",228529.845073578,1.17261678972713
"Cell871","Cell871","Batch1","Group1",87883.2575971733,0.449096474589588
"Cell872","Cell872","Batch1","Group3",179795.871340304,0.925764446027047
"Cell873","Cell873","Batch1","Group3",627993.200530675,3.19705394578203
"Cell874","Cell874","Batch1","Group3",580270.356187131,2.96030429234486
"Cell875","Cell875","Batch1","Group3",178543.776106741,0.915137074294267
"Cell876","Cell876","Batch1","Group2",197636.311720699,1.01604052245991
"Cell877","Cell877","Batch1","Group3",188829.750347596,0.964822351916204
"Cell878","Cell878","Batch1","Group3",133765.116692359,0.689035368333791
"Cell879","Cell879","Batch1","Group3",192675.521405874,0.985645004759521
"Cell880","Cell880","Batch1","Group1",55017.7375288808,0.282823888001795
"Cell881","Cell881","Batch1","Group1",116502.513421645,0.600971184371935
"Cell882","Cell882","Batch1","Group2",277269.020927639,1.4301222248399
"Cell883","Cell883","Batch1","Group1",222174.738882951,1.14055463676953
"Cell884","Cell884","Batch1","Group2",106752.803915567,0.554145935154367
"Cell885","Cell885","Batch1","Group2",229326.404360481,1.18760107523419
"Cell886","Cell886","Batch1","Group2",133927.876003864,0.685023098270108
"Cell887","Cell887","Batch1","Group2",188700.70779749,0.967198850338539
"Cell888","Cell888","Batch1","Group3",211409.025675541,1.08620895315054
"Cell889","Cell889","Batch1","Group3",75948.1111577933,0.391355793224411
"Cell890","Cell890","Batch1","Group1",168174.240951164,0.869109135153456
"Cell891","Cell891","Batch1","Group1",110303.128440724,0.565169389957536
"Cell892","Cell892","Batch1","Group1",118683.470189402,0.614911250875243
"Cell893","Cell893","Batch1","Group2",263375.090651778,1.36070480880221
"Cell894","Cell894","Batch1","Group3",415127.229514739,2.11801049545035
"Cell895","Cell895","Batch1","Group2",166494.115141862,0.855364538217353
"Cell896","Cell896","Batch1","Group3",334876.103271976,1.69744228980074
"Cell897","Cell897","Batch1","Group3",490760.99637616,2.51569847386501
"Cell898","Cell898","Batch1","Group3",487784.616095397,2.52644415612531
"Cell899","Cell899","Batch1","Group3",285022.3347338,1.47289405250595
"Cell900","Cell900","Batch1","Group2",90910.8642695345,0.462290670375929
"Cell901","Cell901","Batch1","Group3",273803.028964619,1.3970724361743
"Cell902","Cell902","Batch1","Group1",182518.234970982,0.934684031014772
"Cell903","Cell903","Batch1","Group3",109602.19847739,0.564727011463335
"Cell904","Cell904","Batch1","Group3",142103.238030738,0.731606582496659
"Cell905","Cell905","Batch1","Group2",132372.078869487,0.680048912178337
"Cell906","Cell906","Batch1","Group2",128196.538609735,0.661571894141481
"Cell907","Cell907","Batch1","Group1",387066.768347272,1.99625353082552
"Cell908","Cell908","Batch1","Group2",125953.428040177,0.649946598828759
"Cell909","Cell909","Batch1","Group2",121510.155843107,0.626263917581073
"Cell910","Cell910","Batch1","Group3",122758.429332705,0.636093979237096
"Cell911","Cell911","Batch1","Group1",183750.794945884,0.938125324184777
"Cell912","Cell912","Batch1","Group2",125663.246220773,0.641752308814084
"Cell913","Cell913","Batch1","Group2",196013.184326168,1.00636477888326
"Cell914","Cell914","Batch1","Group1",112161.517447323,0.573363679972211
"Cell915","Cell915","Batch1","Group3",99621.5393928333,0.515093173201189
"Cell916","Cell916","Batch1","Group3",205586.935041237,1.05662103339887
"Cell917","Cell917","Batch1","Group3",124206.652522655,0.632128004597225
"Cell918","Cell918","Batch1","Group3",118379.551808191,0.612452449477242
"Cell919","Cell919","Batch1","Group2",153223.293711924,0.791096202094724
"Cell920","Cell920","Batch1","Group2",245459.891142845,1.26031061029849
"Cell921","Cell921","Batch1","Group2",152124.144989147,0.777948301732194
"Cell922","Cell922","Batch1","Group3",146181.480859966,0.754414794627902
"Cell923","Cell923","Batch1","Group2",107649.128786243,0.550118233282747
"Cell924","Cell924","Batch1","Group3",93148.6401929236,0.483488830545719
"Cell925","Cell925","Batch1","Group3",108960.669504337,0.561825831571134
"Cell926","Cell926","Batch1","Group1",147207.713250478,0.759270670192154
"Cell927","Cell927","Batch1","Group1",123670.197731464,0.643794451397779
"Cell928","Cell928","Batch1","Group3",261839.04334622,1.35815856049256
"Cell929","Cell929","Batch1","Group3",191211.33608874,0.984240710237232
"Cell930","Cell930","Batch1","Group3",104922.827762135,0.534238902915326
"Cell931","Cell931","Batch1","Group2",117465.278253706,0.603640887145078
"Cell932","Cell932","Batch1","Group3",127261.213775905,0.655430034582459
"Cell933","Cell933","Batch1","Group1",274088.017274937,1.40318343211745
"Cell934","Cell934","Batch1","Group3",161959.17878048,0.838476996398033
"Cell935","Cell935","Batch1","Group1",122637.251710408,0.633979821549694
"Cell936","Cell936","Batch1","Group2",56492.3792110633,0.286522377970754
"Cell937","Cell937","Batch1","Group1",90645.5288271083,0.461354474027737
"Cell938","Cell938","Batch1","Group2",122118.28742149,0.638768825946218
"Cell939","Cell939","Batch1","Group1",130508.592217485,0.677430648764985
"Cell940","Cell940","Batch1","Group3",101521.239659833,0.523205160240199
"Cell941","Cell941","Batch1","Group3",156426.083773205,0.809557788323643
"Cell942","Cell942","Batch1","Group1",118641.626390575,0.608188126550585
"Cell943","Cell943","Batch1","Group2",83619.4379256104,0.431180145574451
"Cell944","Cell944","Batch1","Group2",390599.050759262,2.01560501797882
"Cell945","Cell945","Batch1","Group3",150556.47663673,0.772176805563666
"Cell946","Cell946","Batch1","Group2",202412.978998833,1.03062872489658
"Cell947","Cell947","Batch1","Group1",231506.046373018,1.19372750298528
"Cell948","Cell948","Batch1","Group2",222821.533040965,1.14772528352436
"Cell949","Cell949","Batch1","Group2",42469.004504463,0.21634880334414
"Cell950","Cell950","Batch1","Group2",51783.3891700962,0.267983632702148
"Cell951","Cell951","Batch1","Group3",193233.592299838,1.00255312232276
"Cell952","Cell952","Batch1","Group3",190175.752984681,0.974045429126695
"Cell953","Cell953","Batch1","Group1",94929.9870431665,0.486976419139536
"Cell954","Cell954","Batch1","Group3",69059.237098239,0.353882219616811
"Cell955","Cell955","Batch1","Group1",186741.065153378,0.969482757913251
"Cell956","Cell956","Batch1","Group2",83677.4955454517,0.43085093367179
"Cell957","Cell957","Batch1","Group2",125220.467940395,0.644056792132712
"Cell958","Cell958","Batch1","Group3",147213.502417693,0.760176002924472
"Cell959","Cell959","Batch1","Group3",174495.228411657,0.899730986036921
"Cell960","Cell960","Batch1","Group2",289958.598275472,1.50020320861889
"Cell961","Cell961","Batch1","Group2",125340.222180404,0.650044333612362
"Cell962","Cell962","Batch1","Group1",349154.257933035,1.80441043848572
"Cell963","Cell963","Batch1","Group3",315985.581089034,1.62018037139496
"Cell964","Cell964","Batch1","Group2",63864.1263880201,0.32760185069969
"Cell965","Cell965","Batch1","Group2",225248.934276969,1.15230853048172
"Cell966","Cell966","Batch1","Group3",378617.266077657,1.94043668151652
"Cell967","Cell967","Batch1","Group3",74479.6138929733,0.38940624148834
"Cell968","Cell968","Batch1","Group3",220631.199089462,1.13260211174587
"Cell969","Cell969","Batch1","Group2",88982.5950010863,0.457018135997372
"Cell970","Cell970","Batch1","Group3",49275.8116861426,0.2559468225111
"Cell971","Cell971","Batch1","Group3",115198.701882985,0.588810919717389
"Cell972","Cell972","Batch1","Group1",144718.910123859,0.748252359324963
"Cell973","Cell973","Batch1","Group2",266908.076432325,1.37883718312846
"Cell974","Cell974","Batch1","Group3",205648.513563094,1.05376614893048
"Cell975","Cell975","Batch1","Group3",107441.107928105,0.548688219080563
"Cell976","Cell976","Batch1","Group3",217873.802072677,1.11260763259518
"Cell977","Cell977","Batch1","Group1",224154.555816558,1.16196369831446
"Cell978","Cell978","Batch1","Group2",203296.013229131,1.05096270382188
"Cell979","Cell979","Batch1","Group3",372997.816042162,1.91306579817183
"Cell980","Cell980","Batch1","Group2",187658.85923425,0.959544673601668
"Cell981","Cell981","Batch1","Group3",179720.08080748,0.930193374905035
"Cell982","Cell982","Batch1","Group1",98603.6741903318,0.504939043578484
"Cell983","Cell983","Batch1","Group3",124781.379318456,0.635445843303732
"Cell984","Cell984","Batch1","Group3",37904.3054452095,0.196277165153769
"Cell985","Cell985","Batch1","Group3",340751.971143736,1.74802261228304
"Cell986","Cell986","Batch1","Group3",99636.2450561881,0.50910048778556
"Cell987","Cell987","Batch1","Group3",317760.803232715,1.63565847475601
"Cell988","Cell988","Batch1","Group1",377046.945074682,1.9233279504501
"Cell989","Cell989","Batch1","Group3",180496.639378528,0.930707768502943
"Cell990","Cell990","Batch1","Group3",89726.0398834308,0.467614644114277
"Cell991","Cell991","Batch1","Group3",102345.777448862,0.524918090921232
"Cell992","Cell992","Batch1","Group2",263455.43272354,1.34487691779458
"Cell993","Cell993","Batch1","Group1",117556.029005176,0.607226210522497
"Cell994","Cell994","Batch1","Group1",102652.446248132,0.522999402801035
"Cell995","Cell995","Batch1","Group2",159949.462500808,0.827031738844579
"Cell996","Cell996","Batch1","Group3",110048.31723641,0.560190059929786
"Cell997","Cell997","Batch1","Group3",186104.805411574,0.95880394682068
"Cell998","Cell998","Batch1","Group1",526475.294541635,2.70843146712919
"Cell999","Cell999","Batch1","Group3",171077.162462087,0.878975204361332
"Cell1000","Cell1000","Batch1","Group3",139153.269432323,0.717249857179046
"Cell1001","Cell1001","Batch1","Group3",62335.1880730375,0.319762492267571
"Cell1002","Cell1002","Batch1","Group1",127376.828815475,0.65833121447466
"Cell1003","Cell1003","Batch1","Group3",151867.369832413,0.788086999546962
"Cell1004","Cell1004","Batch1","Group1",54301.5126951121,0.275179999136882
"Cell1005","Cell1005","Batch1","Group1",166355.75299844,0.853281244145826
"Cell1006","Cell1006","Batch1","Group1",172776.512330351,0.885518290926722
"Cell1007","Cell1007","Batch1","Group1",159917.135454709,0.821671757554377
"Cell1008","Cell1008","Batch1","Group2",180313.801111261,0.932821926190345
"Cell1009","Cell1009","Batch1","Group3",650365.640240149,3.32523054250876
"Cell1010","Cell1010","Batch1","Group1",415538.122253745,2.1358753851057
"Cell1011","Cell1011","Batch1","Group3",1042203.30562773,5.36045967624777
"Cell1012","Cell1012","Batch1","Group1",101013.256601453,0.51877623136221
"Cell1013","Cell1013","Batch1","Group2",240701.499393901,1.23787276155775
"Cell1014","Cell1014","Batch1","Group1",113056.459600914,0.582118659008606
"Cell1015","Cell1015","Batch1","Group3",54598.1265848535,0.282772448642004
"Cell1016","Cell1016","Batch1","Group1",103037.410569726,0.533282130823217
"Cell1017","Cell1017","Batch1","Group3",178809.063883604,0.913506446588898
"Cell1018","Cell1018","Batch1","Group1",66760.5927763753,0.342956499597244
"Cell1019","Cell1019","Batch1","Group1",107745.231927095,0.561820687635155
"Cell1020","Cell1020","Batch1","Group3",336168.342277526,1.73169575948544
"Cell1021","Cell1021","Batch1","Group1",302059.413720352,1.55478036935693
"Cell1022","Cell1022","Batch1","Group3",134273.466214865,0.695254386932499
"Cell1023","Cell1023","Batch1","Group2",240563.713852375,1.24177186502989
"Cell1024","Cell1024","Batch1","Group3",75577.9639836436,0.392183966917043
"Cell1025","Cell1025","Batch1","Group1",113087.876263707,0.590991948572519
"Cell1026","Cell1026","Batch1","Group1",306534.886457812,1.57715649086593
"Cell1027","Cell1027","Batch1","Group3",181568.057210287,0.929565814715587
"Cell1028","Cell1028","Batch1","Group3",176440.301630065,0.912961189375116
"Cell1029","Cell1029","Batch1","Group3",218572.86298666,1.13406813349991
"Cell1030","Cell1030","Batch1","Group3",140254.256815078,0.727512009457312
"Cell1031","Cell1031","Batch1","Group3",187147.772570204,0.962908807731986
"Cell1032","Cell1032","Batch1","Group1",174456.946191198,0.895173458759456
"Cell1033","Cell1033","Batch1","Group1",181287.661431507,0.938655149590622
"Cell1034","Cell1034","Batch1","Group3",175544.308090993,0.907544624789144
"Cell1035","Cell1035","Batch1","Group3",150801.833940524,0.768246838475649
"Cell1036","Cell1036","Batch1","Group3",318775.251758783,1.62869358544033
"Cell1037","Cell1037","Batch1","Group3",234089.652060597,1.21447299678891
"Cell1038","Cell1038","Batch1","Group2",274958.476362751,1.418784989942
"Cell1039","Cell1039","Batch1","Group3",268122.23525296,1.37711396457547
"Cell1040","Cell1040","Batch1","Group1",139152.733672521,0.724091292031223
"Cell1041","Cell1041","Batch1","Group1",219365.932521305,1.12856412200229
"Cell1042","Cell1042","Batch1","Group2",142799.609513593,0.737882184391138
"Cell1043","Cell1043","Batch1","Group3",236299.328262692,1.22135558312892
"Cell1044","Cell1044","Batch1","Group1",127138.210274514,0.649982606380613
"Cell1045","Cell1045","Batch1","Group3",142888.803870496,0.7321621275824
"Cell1046","Cell1046","Batch1","Group2",161941.805055306,0.831090304332073
"Cell1047","Cell1047","Batch1","Group1",158932.035198703,0.820612106742687
"Cell1048","Cell1048","Batch1","Group1",143106.965307755,0.741488083512473
"Cell1049","Cell1049","Batch1","Group3",225443.984963743,1.16051310836836
"Cell1050","Cell1050","Batch1","Group2",124090.332133672,0.635363540328066
"Cell1051","Cell1051","Batch1","Group3",72567.1679833911,0.375975424646961
"Cell1052","Cell1052","Batch1","Group2",436300.146887818,2.2407705275911
"Cell1053","Cell1053","Batch1","Group3",84905.1169139562,0.432759333920029
"Cell1054","Cell1054","Batch1","Group3",74536.2804528083,0.389318794576695
"Cell1055","Cell1055","Batch1","Group3",96670.5497141835,0.499234418577684
"Cell1056","Cell1056","Batch1","Group2",151008.72869611,0.773221024567419
"Cell1057","Cell1057","Batch1","Group1",60953.975490823,0.312792459015917
"Cell1058","Cell1058","Batch1","Group1",189172.579459698,0.973993989766904
"Cell1059","Cell1059","Batch1","Group3",170893.859814618,0.876310645524168
"Cell1060","Cell1060","Batch1","Group3",234947.147926895,1.2078373193759
"Cell1061","Cell1061","Batch1","Group2",139685.200064911,0.716750895389075
"Cell1062","Cell1062","Batch1","Group3",163109.151868861,0.835951323832304
"Cell1063","Cell1063","Batch1","Group1",236833.871362557,1.21483307230745
"Cell1064","Cell1064","Batch1","Group2",95126.1143620356,0.49321601348216
"Cell1065","Cell1065","Batch1","Group2",278164.483579115,1.41325011482851
"Cell1066","Cell1066","Batch1","Group1",299678.459294144,1.54206970355262
"Cell1067","Cell1067","Batch1","Group1",163033.148402675,0.841717676064853
"Cell1068","Cell1068","Batch1","Group1",59105.2091196951,0.302777215664648
"Cell1069","Cell1069","Batch1","Group2",54571.0333954365,0.280442245643481
"Cell1070","Cell1070","Batch1","Group2",429657.20450392,2.20068897844211
"Cell1071","Cell1071","Batch1","Group2",273262.0762438,1.40959277634739
"Cell1072","Cell1072","Batch1","Group2",251189.9829429,1.28464657141552
"Cell1073","Cell1073","Batch1","Group1",315760.581882693,1.6234159071258
"Cell1074","Cell1074","Batch1","Group3",365637.945585388,1.88720208806902
"Cell1075","Cell1075","Batch1","Group2",270352.660217188,1.37287536132871
"Cell1076","Cell1076","Batch1","Group2",117973.318078128,0.603599735657245
"Cell1077","Cell1077","Batch1","Group3",110810.942928401,0.572844142438324
"Cell1078","Cell1078","Batch1","Group3",78303.9633846066,0.396936963761714
"Cell1079","Cell1079","Batch1","Group3",390543.880011111,1.99844484755261
"Cell1080","Cell1080","Batch1","Group2",136051.141432966,0.703181192276262
"Cell1081","Cell1081","Batch1","Group3",171713.740016644,0.885003897328814
"Cell1082","Cell1082","Batch1","Group2",91120.1614324992,0.466884205205248
"Cell1083","Cell1083","Batch1","Group3",109568.166823995,0.559392749853029
"Cell1084","Cell1084","Batch1","Group1",237838.434121868,1.21289380844333
"Cell1085","Cell1085","Batch1","Group1",522639.54979953,2.70703231654288
"Cell1086","Cell1086","Batch1","Group3",240277.193459047,1.23636558831588
"Cell1087","Cell1087","Batch1","Group2",174094.458835525,0.896217677763209
"Cell1088","Cell1088","Batch1","Group1",418110.975317123,2.15506226630767
"Cell1089","Cell1089","Batch1","Group3",222058.312890602,1.14885694943976
"Cell1090","Cell1090","Batch1","Group1",35368.2032696677,0.181606659741431
"Cell1091","Cell1091","Batch1","Group2",165774.371850009,0.852175297910324
"Cell1092","Cell1092","Batch1","Group1",348212.96097285,1.78682846530922
"Cell1093","Cell1093","Batch1","Group3",326160.193865267,1.6713625343868
"Cell1094","Cell1094","Batch1","Group1",397054.988288528,2.053181470306
"Cell1095","Cell1095","Batch1","Group2",125196.069652009,0.642889118665461
"Cell1096","Cell1096","Batch1","Group3",308722.51543863,1.58148768496031
"Cell1097","Cell1097","Batch1","Group3",78074.0550361986,0.407785524741594
"Cell1098","Cell1098","Batch1","Group1",963527.688561287,4.96512762051153
"Cell1099","Cell1099","Batch1","Group2",117496.837684401,0.611989495239125
"Cell1100","Cell1100","Batch1","Group1",87401.6554552719,0.453684865482928
"Cell1101","Cell1101","Batch1","Group3",82591.8298248338,0.426252254906492
"Cell1102","Cell1102","Batch1","Group2",158291.803633356,0.816687283590648
"Cell1103","Cell1103","Batch1","Group3",79290.9047420165,0.40803243366859
"Cell1104","Cell1104","Batch1","Group1",79685.7417013906,0.408500531842686
"Cell1105","Cell1105","Batch1","Group3",100685.609388922,0.521214457016295
"Cell1106","Cell1106","Batch1","Group3",237770.434390621,1.21500796613073
"Cell1107","Cell1107","Batch1","Group3",165176.03959696,0.865961046334259
"Cell1108","Cell1108","Batch1","Group1",374687.128609493,1.92182592114421
"Cell1109","Cell1109","Batch1","Group1",75805.4965845636,0.389972074446039
"Cell1110","Cell1110","Batch1","Group3",196985.378106125,1.0107319805295
"Cell1111","Cell1111","Batch1","Group3",27854.7356614114,0.145547668528078
"Cell1112","Cell1112","Batch1","Group3",193907.418638505,0.998232216100331
"Cell1113","Cell1113","Batch1","Group2",56556.1512863167,0.291151920351926
"Cell1114","Cell1114","Batch1","Group1",343990.406886289,1.77380401941019
"Cell1115","Cell1115","Batch1","Group3",33423.7616948417,0.172836248897099
"Cell1116","Cell1116","Batch1","Group2",139140.624762138,0.718973075732038
"Cell1117","Cell1117","Batch1","Group3",212111.020663251,1.08838483806969
"Cell1118","Cell1118","Batch1","Group3",131559.074386375,0.67096986517526
"Cell1119","Cell1119","Batch1","Group1",168903.608160967,0.857072324962408
"Cell1120","Cell1120","Batch1","Group3",119661.11757712,0.615225030969967
"Cell1121","Cell1121","Batch1","Group3",153548.787107007,0.794352313569481
"Cell1122","Cell1122","Batch1","Group2",253351.339903976,1.30537663341122
"Cell1123","Cell1123","Batch1","Group3",354368.276096049,1.83449217609138
"Cell1124","Cell1124","Batch1","Group3",248893.231523216,1.28373609474723
"Cell1125","Cell1125","Batch1","Group2",250542.019908861,1.29556200356313
"Cell1126","Cell1126","Batch1","Group1",128951.158823924,0.664956604015716
"Cell1127","Cell1127","Batch1","Group3",207733.918089851,1.07132240242708
"Cell1128","Cell1128","Batch1","Group3",188826.734932778,0.97848978981262
"Cell1129","Cell1129","Batch1","Group2",154261.565406052,0.795715456603938
"Cell1130","Cell1130","Batch1","Group2",89238.8569158656,0.459775285682159
"Cell1131","Cell1131","Batch1","Group1",118204.056323147,0.610569768908899
"Cell1132","Cell1132","Batch1","Group2",133194.038997315,0.679143579446019
"Cell1133","Cell1133","Batch1","Group3",103397.388514705,0.532207048203589
"Cell1134","Cell1134","Batch1","Group1",222330.061521191,1.13384180031683
"Cell1135","Cell1135","Batch1","Group3",89817.0096211154,0.463144563748457
"Cell1136","Cell1136","Batch1","Group1",172837.16094726,0.886531646314601
"Cell1137","Cell1137","Batch1","Group3",144101.843853008,0.734291717077739
"Cell1138","Cell1138","Batch1","Group2",76982.0882893019,0.394863957562144
"Cell1139","Cell1139","Batch1","Group2",240330.598783709,1.23932335150385
"Cell1140","Cell1140","Batch1","Group2",511988.378427248,2.6324503887822
"Cell1141","Cell1141","Batch1","Group1",342659.374916096,1.75886602932694
"Cell1142","Cell1142","Batch1","Group1",217985.727081003,1.1276279256541
"Cell1143","Cell1143","Batch1","Group1",165991.733495685,0.851758639096018
"Cell1144","Cell1144","Batch1","Group2",318353.754312758,1.63980963109113
"Cell1145","Cell1145","Batch1","Group3",175481.948230588,0.903594081957211
"Cell1146","Cell1146","Batch1","Group2",61392.4477329369,0.315086654462587
"Cell1147","Cell1147","Batch1","Group2",119961.913273747,0.619386475177043
"Cell1148","Cell1148","Batch1","Group3",125779.593291432,0.647688410933943
"Cell1149","Cell1149","Batch1","Group2",171329.492502704,0.880266332292081
"Cell1150","Cell1150","Batch1","Group2",81917.5748843634,0.418150555739441
"Cell1151","Cell1151","Batch1","Group3",201339.243736972,1.0355411837566
"Cell1152","Cell1152","Batch1","Group3",231002.775881321,1.19030678555919
"Cell1153","Cell1153","Batch1","Group2",167211.078568441,0.853790493807755
"Cell1154","Cell1154","Batch1","Group2",120758.632388738,0.621433761696717
"Cell1155","Cell1155","Batch1","Group3",83260.3392775626,0.42715758763881
"Cell1156","Cell1156","Batch1","Group3",110243.935062556,0.569984114033955
"Cell1157","Cell1157","Batch1","Group1",198772.441982045,1.02107643578343
"Cell1158","Cell1158","Batch1","Group2",119973.915612328,0.622246503581411
"Cell1159","Cell1159","Batch1","Group2",87140.5220544615,0.449250792668961
"Cell1160","Cell1160","Batch1","Group3",401055.749138628,2.05275966755572
"Cell1161","Cell1161","Batch1","Group3",211745.188524422,1.09727870337752
"Cell1162","Cell1162","Batch1","Group2",194512.134041996,1.00748101299072
"Cell1163","Cell1163","Batch1","Group3",127199.940685421,0.659071941255648
"Cell1164","Cell1164","Batch1","Group3",58146.4361807822,0.298337998914702
"Cell1165","Cell1165","Batch1","Group3",257582.019692251,1.32768073981651
